timestamp,event,side,bid,ask,spread_usd,ounces,synthetic_lots,equity_inr,realized_inr,trade_pnl_inr,reason
2026-09-23T16:58:20,START,,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,challenge_started
2026-09-23T16:58:53,ENTRY,BUY,4307.2,4307.53,0.33,0.121289,0.00121289,496.17,0.0,-3.83,upside_breakout
2026-09-23T16:59:06,EXIT,BUY,4306.68,4307.01,0.33,0.121289,0.00121289,490.13,-9.87,-9.87,momentum_reversal
2026-09-23T16:59:26,ENTRY,SELL,4305.88,4306.14,0.26,0.118941,0.00118941,487.17,-9.87,-2.96,downside_breakout
2026-09-23T16:59:31,EXIT,SELL,4306.27,4306.61,0.34,0.118941,0.00118941,481.82,-18.18,-8.31,momentum_reversal
2026-09-23T17:00:01,ENTRY,SELL,4306.18,4306.47,0.29,0.116916,0.00116916,478.58,-18.18,-3.24,downside_breakout
2026-09-23T17:00:05,EXIT,SELL,4306.67,4306.98,0.31,0.116916,0.00116916,472.87,-27.13,-8.95,momentum_reversal
2026-09-23T17:00:26,ENTRY,SELL,4305.81,4306.16,0.35,0.114754,0.00114754,469.03,-27.13,-3.84,downside_breakout
2026-09-23T17:00:43,EXIT,SELL,4304.11,4304.43,0.32,0.114754,0.00114754,488.03,-11.97,15.16,momentum_reversal
2026-09-23T17:01:01,ENTRY,SELL,4302.36,4302.69,0.33,0.118527,0.00118527,484.28,-11.97,-3.74,downside_breakout
2026-09-23T17:01:10,EXIT,SELL,4302.07,4302.57,0.5,0.118527,0.00118527,485.65,-14.35,-2.38,momentum_reversal
2026-09-23T17:02:40,ENTRY,SELL,4301.12,4301.45,0.33,0.117982,0.00117982,481.92,-14.35,-3.73,downside_breakout
2026-09-23T17:02:51,EXIT,SELL,4301.61,4302.02,0.41,0.117982,0.00117982,475.48,-24.52,-10.16,momentum_reversal
2026-09-23T17:03:09,ENTRY,BUY,4302.23,4302.57,0.34,0.115475,0.00115475,471.73,-24.52,-3.76,upside_breakout
2026-09-23T17:03:21,EXIT,BUY,4301.82,4302.19,0.37,0.115475,0.00115475,467.2,-32.8,-8.29,momentum_reversal
2026-09-23T17:03:57,ENTRY,SELL,4301.49,4301.83,0.34,0.11349,0.0011349,463.5,-32.8,-3.69,downside_breakout
2026-09-23T17:04:07,EXIT,SELL,4302.18,4302.5,0.32,0.11349,0.0011349,456.23,-43.77,-10.97,momentum_reversal
2026-09-23T17:04:24,ENTRY,BUY,4302.77,4303.1,0.33,0.110784,0.00110784,452.73,-43.77,-3.5,upside_breakout
2026-09-23T17:04:27,EXIT,BUY,4302.41,4302.73,0.32,0.110784,0.00110784,448.91,-51.09,-7.32,momentum_reversal
2026-09-23T17:04:49,ENTRY,SELL,4301.41,4301.72,0.31,0.10905,0.0010905,445.67,-51.09,-3.24,downside_breakout
2026-09-23T17:04:53,EXIT,SELL,4302.03,4302.34,0.31,0.10905,0.0010905,439.2,-60.8,-9.71,momentum_reversal
2026-09-23T17:05:40,ENTRY,SELL,4301.26,4301.56,0.3,0.106696,0.00106696,436.14,-60.8,-3.06,downside_breakout
2026-09-23T17:05:45,EXIT,SELL,4301.51,4301.9,0.39,0.106696,0.00106696,432.67,-67.33,-6.54,momentum_reversal
2026-09-23T17:06:11,ENTRY,BUY,4302.46,4302.78,0.32,0.105072,0.00105072,429.45,-67.33,-3.22,upside_breakout
2026-09-23T17:06:23,EXIT,BUY,4303.06,4303.5,0.44,0.105072,0.00105072,435.48,-64.52,2.82,momentum_reversal
2026-09-23T17:06:43,ENTRY,SELL,4301.5,4301.82,0.32,0.105787,0.00105787,432.25,-64.52,-3.24,downside_breakout
2026-09-23T17:06:48,EXIT,SELL,4301.75,4302.07,0.32,0.105787,0.00105787,429.71,-70.29,-5.77,momentum_reversal
2026-09-23T17:07:19,ENTRY,SELL,4301.48,4301.81,0.33,0.104386,0.00104386,426.42,-70.29,-3.3,downside_breakout
2026-09-23T17:08:23,EXIT,SELL,4300.06,4300.51,0.45,0.104386,0.00104386,439.4,-60.6,9.69,momentum_reversal
