trade_id,interval,segment_id,engine,side,entry_ts,exit_ts,exit_reason,hold_sec,entry_oz,pnl_inr,mfe_usd,mae_usd
500ms-s0-t0,500ms,0,BURST,BUY,1789573152.468,1789573196.4169998,momentum_zero_cross,43.948999881744385,0.039184093139022026,2.4749999999994543,1.4400000000005093,-0.3000000000001819
500ms-s0-t1,500ms,0,PRIMARY,BUY,1789573826.844,1789573965.96,emergency_stop,139.1159999370575,0.03937805440006014,-15.488791874998748,0.0,-4.109999999999673
500ms-s0-t2,500ms,0,PRIMARY,BUY,1789574424.972,1789574554.4499998,emergency_stop,129.4779999256134,0.03816422587317839,-14.828730037404412,0.17000000000007276,-4.059999999999491
500ms-s0-t3,500ms,0,PRIMARY,BUY,1789575064.3500001,1789575964.473,max_hold,900.1229999065399,0.03700212519534025,10.694366878685601,9.399999999999636,-1.4200000000000728
500ms-s0-t4,500ms,0,PRIMARY,SELL,1789576948.978,1789577221.412,momentum_zero_cross,272.4340000152588,0.037840223331014826,-8.944830428001293,2.3400000000001455,-2.600000000000364
500ms-s0-t5,500ms,0,PRIMARY,SELL,1789577693.868,1789578593.993,max_hold,900.125,0.03713923319380771,31.45557808997967,13.800000000000182,-1.2200000000002547
500ms-s0-t6,500ms,0,MICRO,BUY,1789578618.875,1789578804.99,trail,186.11500000953674,0.039604349797046794,19.95550537640967,6.520000000000437,-0.11999999999989086
500ms-s0-t7,500ms,0,PRIMARY,SELL,1789579129.2659998,1789579778.929,emergency_stop,649.6630001068115,0.04116822655965778,-15.917138369541357,3.130000000000109,-4.039999999999964
500ms-s0-t8,500ms,0,PRIMARY,BUY,1789580254.921,1789581155.4060001,max_hold,900.4850001335144,0.03992082929490016,46.34275230280624,14.489999999999782,-0.6000000000003638
500ms-s0-t9,500ms,0,PRIMARY,BUY,1789581649.428,1789581743.4540002,emergency_stop,94.02600026130676,0.043552626740003736,-17.13079992048548,1.949999999999818,-4.109999999999673
500ms-s0-t10,500ms,0,SECONDARY,BUY,1789582071.959,1789582518.9580002,emergency_stop,446.99900007247925,0.042210117020743225,-16.885514791748214,1.9099999999998545,-4.180000000000291
500ms-s0-t11,500ms,0,PRIMARY,SELL,1789583356.9459999,1789583760.496,emergency_stop,403.55000019073486,0.040886829852142835,-16.238765238648526,2.0100000000002183,-4.149999999999636
500ms-s0-t12,500ms,0,SECONDARY,BUY,1789584430.963,1789584507.463,emergency_stop,76.5,0.039614227272995,-15.43004049140368,2.2200000000002547,-4.069999999999709
500ms-s0-t13,500ms,0,MICRO,SELL,1789584564.929,1789584565.278,momentum_zero_cross,0.3490002155303955,0.038405002985486915,-1.2496494083144398,0.0,-0.3400000000001455
500ms-s0-t14,500ms,0,PRIMARY,SELL,1789586926.748,1789587086.985,momentum_zero_cross,160.2369999885559,0.03830707022787388,-10.191666442519992,0.0,-2.7799999999997453
500ms-s0-t15,500ms,0,PRIMARY,BUY,1789592304.8969998,1789592403.4620001,emergency_stop,98.56500029563904,0.03750836781362279,-26.670947685305073,9.100000000000364,-7.4299999999993815
500ms-s0-t16,500ms,0,MICRO,SELL,1789592535.972,1789592539.9299998,emergency_stop,3.9579999446868896,0.03541821401720883,-13.999037508546177,0.0,-4.130000000000109
500ms-s0-t17,500ms,0,SECONDARY,BUY,1789592591.9859998,1789592605.4529998,emergency_stop,13.467000007629395,0.034321134838025756,-13.401187087799238,2.300000000000182,-4.079999999999927
500ms-s0-t18,500ms,0,MICRO,BUY,1789592880.4620001,1789592904.4889998,emergency_stop,24.026999711990356,0.03327090811198219,-15.633910256348054,2.649999999999636,-4.9099999999998545
500ms-s0-t19,500ms,0,MICRO,SELL,1789592995.458,1789592995.906,momentum_zero_cross,0.4479999542236328,0.032045706920758484,-0.30668414483122775,0.0,-0.1000000000003638
500ms-s0-t20,500ms,0,PRIMARY,SELL,1789593033.9889998,1789593933.999,max_hold,900.0100002288818,0.03202167264056782,45.201984428919566,21.299999999999272,-2.130000000000109
500ms-s0-t21,500ms,0,MICRO,SELL,1789594268.4220002,1789594346.9910002,trail,78.56900000572205,0.03556407017643064,18.745085773876276,7.329999999999927,-2.350000000000364
500ms-s0-t22,500ms,0,PRIMARY,SELL,1789594424.963,1789594435.471,emergency_stop,10.507999897003174,0.037033088550155684,-16.267622537744863,0.0,-4.589999999999236
500ms-s0-t23,500ms,0,MICRO,BUY,1789594746.48,1789594746.9750001,momentum_zero_cross,0.49500012397766113,0.03575822447681679,-1.231969382891876,0.0,-0.3599999999996726
500ms-s0-t24,500ms,0,SECONDARY,BUY,1789594762.982,1789594922.468,take_profit,159.48599982261658,0.035661677270729476,29.077885884902287,8.520000000000437,-1.5099999999993088
500ms-s0-t25,500ms,0,MICRO,BUY,1789594989.979,1789595021.9539998,trail,31.97499966621399,0.0379404584483292,18.79032951332094,6.0900000000001455,-2.319999999999709
500ms-s0-t26,500ms,0,PRIMARY,SELL,1789595292.485,1789595631.924,take_profit,339.4390001296997,0.03941302249185497,94.37316367584185,25.020000000000437,-3.7600000000002183
500ms-s0-t27,500ms,0,MICRO,SELL,1789595637.978,1789595676.449,emergency_stop,38.47099995613098,0.04680887616245169,-18.769975461552,0.42000000000007276,-4.190000000000509
500ms-s0-t28,500ms,0,MICRO,SELL,1789596313.4780002,1789596313.979,momentum_zero_cross,0.500999927520752,0.045337907229046466,-0.3905039638288749,0.0,-0.09000000000014552
500ms-s0-t29,500ms,0,PRIMARY,SELL,1789596332.446,1789596617.4259999,take_profit,284.9799997806549,0.04530730414166681,108.79034416605857,25.090000000000146,-3.25
500ms-s0-t30,500ms,0,SECONDARY,SELL,1789596621.4780002,1789596681.929,emergency_stop,60.45099973678589,0.05383300609852501,-20.813804201084082,6.539999999999964,-4.039999999999964
500ms-s0-t31,500ms,0,MICRO,BUY,1789596891.473,1789596891.92,momentum_zero_cross,0.44700002670288086,0.05220186601373972,-2.9974969208619298,0.0,-0.6000000000003638
500ms-s0-t32,500ms,0,SECONDARY,BUY,1789596896.442,1789596961.988,emergency_stop,65.5460000038147,0.05196695761667775,-22.9271295525681,4.5600000000004,-4.609999999999673
500ms-s0-t33,500ms,0,MICRO,SELL,1789597030.492,1789597030.993,momentum_zero_cross,0.500999927520752,0.05017020005708124,-6.625923033974413,0.0,-1.3799999999991996
500ms-s0-t34,500ms,0,PRIMARY,SELL,1789597139.999,1789597189.9910002,emergency_stop,49.992000102996826,0.04965093848649075,-19.719551182529415,0.75,-4.149999999999636
500ms-s0-t35,500ms,0,MICRO,BUY,1789597519.43,1789597531.484,emergency_stop,12.053999900817871,0.04810555302609887,-18.461247809499664,0.0,-4.010000000000218
500ms-s0-t36,500ms,0,SECONDARY,BUY,1789597832.972,1789598468.973,take_profit,636.0010001659393,0.046658778518838866,35.76739813238001,8.010000000000218,-1.5600000000004002
500ms-s0-t37,500ms,0,PRIMARY,BUY,1789598469.9750001,1789599370.496,max_hold,900.5209999084473,0.04946180463835818,29.11163122813408,10.099999999999454,-2.5
500ms-s0-t38,500ms,0,MICRO,BUY,1789614642.982,1789614793.947,trail,150.9649999141693,0.05174323037730232,26.690934004532977,6.529999999999745,-0.75
500ms-s0-t39,500ms,0,PRIMARY,BUY,1789615338.474,1789615398.95,emergency_stop,60.4760000705719,0.05383495046530454,-20.711513607958562,0.27000000000043656,-4.019999999999527
500ms-s0-t40,500ms,0,PRIMARY,BUY,1789616035.973,1789616098.7059999,emergency_stop,62.73299980163574,0.0522118267087758,-20.037093658068937,0.0,-4.009999999999309
500ms-s0-t41,500ms,0,SECONDARY,BUY,1789617600.971,1789617657.826,take_profit,56.855000019073486,0.05064155602050964,39.20821136070277,8.090000000000146,-0.8900000000003274
500ms-s0-t42,500ms,0,MICRO,BUY,1789617976.963,1789618099.9689999,trail,123.00599980354309,0.05371423243205412,29.90523597784766,7.709999999999127,0.0
500ms-s0-t43,500ms,0,MICRO,SELL,1789618204.957,1789618205.407,momentum_zero_cross,0.4500000476837158,0.05605785153585495,0.4828368702130396,0.09000000000014552,0.0
500ms-s0-t44,500ms,0,PRIMARY,BUY,1789618633.982,1789619534.2089999,max_hold,900.2269997596741,0.05609569058564172,57.3890019190615,12.079999999999927,-1.3400000000001455
500ms-s0-t45,500ms,0,PRIMARY,SELL,1789621006.3980002,1789621906.901,max_hold,900.5029997825623,0.060593162578345745,94.92787684484897,16.36999999999989,-0.6100000000005821
500ms-s0-t46,500ms,0,MICRO,SELL,1789621980.452,1789622025.981,stagnation,45.52900004386902,0.0680324881139021,-20.96494337793175,0.0,-3.219999999999345
500ms-s0-t47,500ms,0,PRIMARY,SELL,1789623087.402,1789623987.642,max_hold,900.2400000095367,0.0663895035259517,14.54977813334512,6.089999999999236,-3.180000000000291
500ms-s0-t48,500ms,0,PRIMARY,BUY,1789626636.3049998,1789626954.4950001,momentum_zero_cross,318.19000029563904,0.0675297432490099,8.853951390705062,3.4099999999998545,-0.3999999999996362
500ms-s0-t49,500ms,0,PRIMARY,BUY,1789635294.824,1789636194.948,max_hold,900.1240000724792,0.06822361136089343,43.288217273320384,7.3799999999992,-0.910000000000764
500ms-s0-t50,500ms,0,MICRO,SELL,1789636602.408,1789636862.664,momentum_zero_cross,260.25600004196167,0.07161603043581344,-10.96608721019651,0.8400000000001455,-2.3099999999994907
500ms-s0-t51,500ms,0,PRIMARY,BUY,1789639759.456,1789640406.004,momentum_zero_cross,646.5479998588562,0.07075663807058348,52.005571985625934,13.69000000000051,-1.0599999999994907
500ms-s0-t52,500ms,0,PRIMARY,BUY,1789640864.822,1789641765.276,max_hold,900.4539999961853,0.07483222042344924,15.325825374282486,7.279999999999745,-0.4399999999995998
500ms-s0-t53,500ms,0,PRIMARY,SELL,1789643496.452,1789643836.987,momentum_zero_cross,340.5350000858307,0.07603327756124578,8.804618642318127,5.25,-0.7100000000000364
500ms-s0-t54,500ms,0,PRIMARY,SELL,1789644738.46,1789644835.388,momentum_zero_cross,96.92799997329712,0.07672327955511411,-16.814505846593036,0.7199999999993452,-2.2899999999999636
