trade_id,interval,segment_id,engine,side,entry_ts,exit_ts,exit_reason,hold_sec,entry_oz,pnl_inr,mfe_usd,mae_usd
1s-s0-t0,1s,0,BURST,BUY,1789573154.725,1789573196.9129999,momentum_zero_cross,42.187999963760376,0.039184093139022026,2.3625000000004093,1.4600000000000364,-0.2000000000007276
1s-s0-t1,1s,0,PRIMARY,BUY,1789573826.844,1789573965.96,emergency_stop,139.1159999370575,0.03936923797910394,-15.485324062498778,0.0,-4.109999999999673
1s-s0-t2,1s,0,PRIMARY,BUY,1789574424.972,1789574557.852,emergency_stop,132.88000011444092,0.03815568121839816,-14.898441583687285,0.15999999999985448,-4.079999999999927
1s-s0-t3,1s,0,PRIMARY,BUY,1789575094.938,1789575994.977,max_hold,900.0390000343323,0.0369881173731152,15.044322157527835,9.799999999999272,-1.0200000000004366
1s-s0-t4,1s,0,SECONDARY,SELL,1789576468.965,1789577098.9699998,take_profit,630.0049998760223,0.03816711361438324,29.73275760001864,8.140000000000327,-2.149999999999636
1s-s0-t5,1s,0,PRIMARY,SELL,1789577099.722,1789577174.9529998,emergency_stop,75.23099994659424,0.040497215900541436,-15.812727911807361,0.0,-4.079999999999927
1s-s0-t6,1s,0,PRIMARY,SELL,1789577625.984,1789578526.721,max_hold,900.7369999885559,0.03925800109398489,33.663375392610135,13.420000000000073,-1.6000000000003638
1s-s0-t7,1s,0,MICRO,BUY,1789578618.875,1789578804.99,trail,186.11500000953674,0.04189613876750068,21.110272652121875,6.520000000000437,0.0
1s-s0-t8,1s,0,PRIMARY,SELL,1789579129.869,1789579777.976,emergency_stop,648.1070001125336,0.04355051254708247,-16.87989580267093,2.8100000000004,-4.050000000000182
1s-s0-t9,1s,0,PRIMARY,BUY,1789580254.921,1789581155.809,max_hold,900.8880000114441,0.04222766572846478,49.222745191638985,14.489999999999782,-0.43000000000029104
1s-s0-t10,1s,0,PRIMARY,BUY,1789581649.928,1789581743.95,emergency_stop,94.0220000743866,0.04608516299275984,-17.729996446540508,1.6300000000001091,-4.019999999999527
1s-s0-t11,1s,0,SECONDARY,BUY,1789582071.959,1789582518.9580002,emergency_stop,446.99900007247925,0.04469569532852828,-17.87983255830469,1.8099999999994907,-4.180000000000291
1s-s0-t12,1s,0,PRIMARY,SELL,1789583356.9459999,1789583760.997,emergency_stop,404.0510001182556,0.043294485279978825,-17.857938318361185,2.0100000000002183,-4.309999999999491
1s-s0-t13,1s,0,MICRO,BUY,1789584430.963,1789584507.9180002,emergency_stop,76.95500016212463,0.04189499104330368,-18.1226625729087,2.2200000000002547,-4.519999999999527
1s-s0-t14,1s,0,MICRO,SELL,1789584568.838,1789584569.9950001,momentum_zero_cross,1.1570000648498535,0.04047475084693584,-1.8592889534520072,0.0,-0.47999999999956344
1s-s0-t15,1s,0,PRIMARY,SELL,1789586926.748,1789587086.985,momentum_zero_cross,160.2369999885559,0.040329041743887,-10.72961568073888,0.0,-2.7799999999997453
1s-s0-t16,1s,0,SECONDARY,BUY,1789592041.932,1789592367.977,take_profit,326.04500007629395,0.03948818122352702,30.913053282466922,8.180000000000291,-2.130000000000109
1s-s0-t17,1s,0,PRIMARY,BUY,1789592390.992,1789592402.978,emergency_stop,11.985999822616577,0.04191078114159049,-19.77398235570186,7.539999999999964,-4.930000000000291
1s-s0-t18,1s,0,MICRO,SELL,1789592535.972,1789592539.9299998,emergency_stop,3.9579999446868896,0.04036113000888009,-15.952723437920765,0.0,-4.130000000000109
1s-s0-t19,1s,0,SECONDARY,BUY,1789592591.9859998,1789592605.997,emergency_stop,14.011000156402588,0.039110944006855,-19.6507472408018,2.300000000000182,-5.25
