partition,sample_interval_ms,net_pnl_inr,final_balance_inr,profit_factor,trades,max_drawdown_inr
development,500,127.52245351433746,627.5224535143375,1.3232894177866077,69,87.29408519070523
validation,500,38.785594946275374,538.7855949462754,1.8107023608335064,8,40.17534359410365
development,1000,82.53152540328789,582.5315254032879,1.1930044659228822,71,117.39166968805642
validation,1000,34.56524164739297,534.565241647393,1.6951267211973238,8,41.86560765554634
