partition,start_balance_inr,final_balance_inr,net_pnl_inr,return_pct,trades,wins,losses,win_rate_pct,profit_factor,avg_trade_inr,avg_win_inr,avg_loss_inr,best_trade_inr,worst_trade_inr,max_drawdown_inr,peak_equity_inr,max_drawdown_pct_of_peak
development,500,627.5224535143375,127.52245351433746,25.504490702867493,69,32,37,46.3768115942029,1.3232894177866077,1.8481515002077897,16.31173029311511,-10.660889617982326,86.90729580748761,-26.937378022048684,87.29408519070523,673.3188292789359,12.964747367037004
validation,500,538.7855949462754,38.785594946275374,7.757118989255075,8,2,5,25.0,1.8107023608335064,4.848199368284422,43.31378057376588,-9.568393240251279,79.02574489753285,-13.233064518018114,40.17534359410365,578.136056282233,6.949115724152474
