strategy,reason,trades,net_pnl,avg_pnl,win_rate_pct
V3.1,CONFIRMED_REVERSAL,1618,-1991.013005453373,-1.230539558376621,23.91841779975278
V3.1,PROFIT_LOCK,40,160.47291093038186,4.011822773259547,92.5
V3.1,MAX_HOLD,3,6.196785300384683,2.0655951001282276,100.0
V3.1,END_OF_DATA,2,1.953990243829962,0.976995121914981,50.0
V3.1,HARD_STOP,1,-25.598345789929414,-25.598345789929414,0.0
V4,CONFIRMED_REVERSAL,414,-959.8041202177264,-2.318367440139436,12.80193236714976
V4,PROFIT_LOCK,111,347.6871607517728,3.132316763529485,99.09909909909909
V4,HARD_STOP,63,-580.8497884683048,-9.219837912195315,0.0
V4,MAX_HOLD,7,13.062460012342033,1.8660657160488618,71.42857142857143
