strategy,start_balance_inr,final_balance_inr,net_pnl_inr,return_pct,trades,wins,losses,win_rate_pct,gross_profit_inr,gross_loss_inr,profit_factor,avg_trade_inr,avg_win_inr,avg_loss_inr,best_trade_inr,worst_trade_inr,max_drawdown_inr,max_losing_streak,median_entry_spread_usd,mean_entry_spread_usd,median_hold_sec,mean_hold_sec,max_equity_inr
V3.1,500.0,0.0022822580212391586,-499.99771774197876,-99.99954354839575,1661,425,1232,25.586995785671284,296.21531504240465,796.2130327843831,0.37203022664239743,-0.30102210580492383,0.6969772118644816,-0.6462768123249863,17.105027655732346,-15.789425241837703,499.99780250513106,20,0.27000000000043656,0.26574954846478455,14.0,129.67971101745937,500.0
V4,500.0,9.776350288858282,-490.2236497111417,-98.04472994222834,594,158,431,26.599326599326602,275.06413479103253,765.2877845021736,0.35942574853715215,-0.8252923395810458,1.740912245512864,-1.7756097088217486,14.956250629460246,-14.004505396118335,494.02105688755,19,0.25,0.23737373737370981,9.0,13.138047138047138,503.7974071764083
