window,interval,segment_id,strategy,trade_index,entry_index,exit_index,engine,side,entry_ts,exit_ts,hold_sec,exit_reason,entry_balance_inr,entry_oz,pnl_inr,mfe_usd,mae_usd,exit_move_usd,partial_pnl_inr
historical7d,500ms,0,candidate_d,0,4530,4610,BURST,BUY,1789573152.468,1789573195.315,42.84700012207031,momentum_zero_cross,500.0,0.039184093139022026,3.000000000000682,1.4400000000005093,-0.3000000000001819,0.8000000000001819,0.0
historical7d,500ms,0,candidate_d,1,5718,5960,PRIMARY,BUY,1789573826.844,1789573965.96,139.1159999370575,emergency_stop,503.0000000000007,0.03941919769785621,-15.504974999998787,0.0,-4.109999999999673,-4.109999999999673,0.0
historical7d,500ms,0,candidate_d,2,6787,7045,PRIMARY,BUY,1789574424.972,1789574554.4499998,129.4779999256134,emergency_stop,487.4950250000019,0.03820410092881989,-14.844223511248194,0.17000000000007276,-4.059999999999491,-4.059999999999491,0.0
historical7d,500ms,0,candidate_d,3,8033,9765,PRIMARY,BUY,1789575064.3500001,1789575964.473,900.1229999065399,max_hold,472.6508014887537,0.03704078605553747,10.705540653721817,9.399999999999636,-1.4200000000000728,3.0200000000004366,0.0
historical7d,500ms,0,candidate_d,4,11701,12244,PRIMARY,SELL,1789576948.978,1789577221.412,272.4340000152588,momentum_zero_cross,483.3563421424755,0.037879759859695515,-8.954176238190282,2.3400000000001455,-2.600000000000364,-2.4700000000002547,0.0
historical7d,500ms,0,candidate_d,5,13180,14943,PRIMARY,SELL,1789577693.868,1789578593.993,900.125,max_hold,474.40216590428525,0.03717803730829459,31.48844376189823,13.800000000000182,-1.2200000000002547,8.850000000000364,0.0
historical7d,500ms,0,candidate_d,6,14992,15362,MICRO,BUY,1789578618.875,1789578804.99,186.11500000953674,trail,505.8906096661835,0.03964572953463274,19.97635544919466,6.520000000000437,-0.11999999999989086,4.380000000000109,15.821728817311024
historical7d,500ms,0,candidate_d,7,16004,17275,PRIMARY,SELL,1789579129.2659998,1789579778.929,649.6630001068115,emergency_stop,525.8669651153781,0.04121124027963165,-15.933769042995813,3.130000000000109,-4.039999999999964,-4.039999999999964,0.0
historical7d,500ms,0,candidate_d,8,18191,19947,PRIMARY,BUY,1789580254.921,1789581155.4060001,900.4850001335144,max_hold,509.93319607238226,0.03996253969915881,46.39117251268539,14.489999999999782,-0.6000000000003638,12.13000000000011,0.0
historical7d,500ms,0,candidate_d,9,20905,21093,PRIMARY,BUY,1789581649.428,1789581743.4540002,94.02600026130676,emergency_stop,556.3243685850676,0.04359813174828982,-17.148698661633343,1.949999999999818,-4.109999999999673,-4.109999999999673,0.0
historical7d,500ms,0,candidate_d,10,21727,22613,SECONDARY,BUY,1789582071.959,1789582518.9580002,446.99900007247925,emergency_stop,539.1756699234343,0.04225421933714889,-16.90315725210084,1.9099999999998545,-4.180000000000291,-4.180000000000291,0.0
historical7d,500ms,0,candidate_d,11,24219,24982,PRIMARY,SELL,1789583356.9459999,1789583760.496,403.55000019073486,emergency_stop,522.2725126713334,0.040929549560929174,-16.255731956893825,2.0100000000002183,-4.149999999999636,-4.149999999999636,0.0
historical7d,500ms,0,candidate_d,12,26150,26303,SECONDARY,BUY,1789584430.963,1789584507.463,76.5,emergency_stop,506.01678071443956,0.03965561733084537,-15.446162231307163,2.2200000000002547,-4.069999999999709,-4.069999999999709,0.0
historical7d,500ms,0,candidate_d,13,26417,26418,MICRO,SELL,1789584564.929,1789584565.278,0.3490002155303955,momentum_zero_cross,490.5706184831324,0.0384451296118214,-1.250955077132523,0.0,-0.3400000000001455,-0.3400000000001455,0.0
historical7d,500ms,0,candidate_d,14,30551,30820,PRIMARY,SELL,1789586926.748,1789587086.985,160.2369999885559,momentum_zero_cross,489.3196634059999,0.038347094531311215,-10.202314982014164,0.0,-2.7799999999997453,-2.7799999999997453,0.0
historical7d,500ms,0,candidate_d,15,39363,39559,PRIMARY,BUY,1789592304.8969998,1789592403.4620001,98.56500029563904,emergency_stop,479.11734842398573,0.037547557610333446,-26.698814240924378,9.100000000000364,-7.4299999999993815,-7.4299999999993815,0.0
historical7d,500ms,0,candidate_d,16,39824,39832,MICRO,SELL,1789592535.972,1789592539.9299998,3.9579999446868896,emergency_stop,452.41853418306135,0.03545521996249779,-14.013664096320696,0.0,-4.130000000000109,-4.130000000000109,0.0
historical7d,500ms,0,candidate_d,17,39936,39963,SECONDARY,BUY,1789592591.9859998,1789592605.4529998,13.467000007629395,emergency_stop,438.40487008674063,0.03435699452415939,-13.415189024654024,2.300000000000182,-4.079999999999927,-4.079999999999927,0.0
historical7d,500ms,0,candidate_d,18,40513,40561,MICRO,BUY,1789592880.4620001,1789592904.4889998,24.026999711990356,emergency_stop,424.9896810620866,0.03330567049172013,-15.650245005110873,2.649999999999636,-4.9099999999998545,-4.9099999999998545,0.0
historical7d,500ms,0,candidate_d,19,40743,40744,MICRO,SELL,1789592995.458,1789592995.906,0.4479999542236328,momentum_zero_cross,409.3394360569757,0.032079189175862576,-0.30700457704384865,0.0,-0.1000000000003638,-0.1000000000003638,0.0
historical7d,500ms,0,candidate_d,20,40820,42620,PRIMARY,SELL,1789593033.9889998,1789593933.999,900.0100002288818,max_hold,409.03243147993186,0.03205512978398059,45.24921273246746,21.299999999999272,-2.130000000000109,14.75,0.0
historical7d,500ms,0,candidate_d,21,43288,43445,MICRO,SELL,1789594268.4220002,1789594346.9910002,78.56900000572205,trail,454.2816442123993,0.03560122851633345,18.764671166246657,7.329999999999927,-2.350000000000364,5.229999999999563,14.309871792689187
historical7d,500ms,0,candidate_d,22,43601,43622,PRIMARY,SELL,1789594424.963,1789594435.471,10.507999897003174,emergency_stop,473.046315378646,0.0370717817617361,-16.28461940690718,0.0,-4.589999999999236,-4.589999999999236,0.0
historical7d,500ms,0,candidate_d,23,44244,44245,MICRO,BUY,1789594746.48,1789594746.9750001,0.49500012397766113,momentum_zero_cross,456.76169597173885,0.03579558567458855,-1.2332565791225731,0.0,-0.3599999999996726,-0.3599999999996726,0.0
historical7d,500ms,0,candidate_d,24,44277,44596,SECONDARY,BUY,1789594762.982,1789594922.468,159.48599982261658,take_profit,455.5284393926163,0.035698937593267255,29.108267277189675,8.520000000000437,-1.5099999999993088,8.520000000000437,0.0
historical7d,500ms,0,candidate_d,25,44731,44795,MICRO,BUY,1789594989.979,1789595021.9539998,31.97499966621399,trail,484.63670666980596,0.037980099705477145,18.809962177621678,6.0900000000001455,-2.319999999999709,3.8400000000001455,15.320577889598944
historical7d,500ms,0,candidate_d,26,45336,46015,PRIMARY,SELL,1789595292.485,1789595631.924,339.4390001296997,take_profit,503.44666884742765,0.039454202325295964,94.47176740922143,25.020000000000437,-3.7600000000002183,25.020000000000437,0.0
historical7d,500ms,0,candidate_d,27,46027,46104,MICRO,SELL,1789595637.978,1789595676.449,38.47099995613098,emergency_stop,597.9184362566491,0.04685778339163789,-18.789586859367482,0.42000000000007276,-4.190000000000509,-4.190000000000509,0.0
historical7d,500ms,0,candidate_d,28,47378,47379,MICRO,SELL,1789596313.4780002,1789596313.979,0.500999927520752,momentum_zero_cross,579.1288493972817,0.045385277548555494,-0.3909119733437972,0.0,-0.09000000000014552,-0.09000000000014552,0.0
historical7d,500ms,0,candidate_d,29,47416,47986,PRIMARY,SELL,1789596332.446,1789596617.4259999,284.9799997806549,take_profit,578.7379374239379,0.04535464248621016,108.90401137475013,25.090000000000146,-3.25,25.090000000000146,0.0
historical7d,500ms,0,candidate_d,30,47994,48115,SECONDARY,SELL,1789596621.4780002,1789596681.929,60.45099973678589,emergency_stop,687.641948798688,0.05388925233605281,-20.835551048600056,6.539999999999964,-4.039999999999964,-4.039999999999964,0.0
historical7d,500ms,0,candidate_d,31,48534,48535,MICRO,BUY,1789596891.473,1789596891.92,0.44700002670288086,momentum_zero_cross,666.8063977500879,0.05225640799027042,-3.0006287898772146,0.0,-0.6000000000003638,-0.6000000000003638,0.0
historical7d,500ms,0,candidate_d,32,48544,48675,SECONDARY,BUY,1789596896.442,1789596961.988,65.5460000038147,emergency_stop,663.8057689602107,0.052021254154314064,-22.951084461797656,4.5600000000004,-4.609999999999673,-4.609999999999673,0.0
historical7d,500ms,0,candidate_d,33,48812,48813,MICRO,SELL,1789597030.492,1789597030.993,0.500999927520752,momentum_zero_cross,640.854684498413,0.05022261929192878,-6.632845984554728,0.0,-1.3799999999991996,-1.3799999999991996,0.0
historical7d,500ms,0,candidate_d,34,49031,49131,PRIMARY,SELL,1789597139.999,1789597189.9910002,49.992000102996826,emergency_stop,634.2218385138583,0.04970281518225762,-19.740154723742112,0.75,-4.149999999999636,-4.149999999999636,0.0
historical7d,500ms,0,candidate_d,35,49790,49814,MICRO,BUY,1789597519.43,1789597531.484,12.053999900817871,emergency_stop,614.4816837901162,0.048155815059709985,-18.48053663998875,0.0,-4.010000000000218,-4.010000000000218,0.0
historical7d,500ms,0,candidate_d,36,50417,51689,SECONDARY,BUY,1789597832.972,1789598468.973,636.0010001659393,take_profit,596.0011471501275,0.046707528921789136,35.80476891504488,8.010000000000218,-1.5600000000004002,8.010000000000218,0.0
historical7d,500ms,0,candidate_d,37,51691,53487,PRIMARY,BUY,1789598469.9750001,1789599370.496,900.5209999084473,max_hold,631.8059160651724,0.04951348372176569,29.14204787850435,10.099999999999454,-2.5,6.149999999999636,0.0
historical7d,500ms,0,candidate_d,38,61784,62062,MICRO,BUY,1789614642.982,1789614793.947,150.9649999141693,trail,660.9479639436768,0.051797293158432,26.718821442420243,6.529999999999745,-0.75,4.519999999999527,21.11728744799817
