window,interval,segment_id,sample_index,timestamp,classification,candidate_d_position_before,router_position_before,candidate_d_candidates,router_candidates,candidate_d_action,router_action,candidate_d_last,router_last,candidate_d_scores,router_scores,d_cf_pnl_500,router_cf_pnl_500,cf_delta_router_minus_d,d_cf_mfe_usd,d_cf_mae_usd,router_cf_mfe_usd,router_cf_mae_usd
historical7d,500ms,1,263281,1789747212.315,router_hold,FLAT,FLAT,PRIMARY:BUY,PRIMARY:BUY,PRIMARY:BUY,HOLD,"{""BURST"":-1e+30,""MICRO"":1789745809.4329998,""PRIMARY"":1789744863.4689999,""SECONDARY"":1789745380.437}","{""BURST"":-1e+30,""MICRO"":1789745809.4329998,""PRIMARY"":1789744863.4689999,""SECONDARY"":1789745380.437}","[{""engine"":""PRIMARY"",""parts"":{""dir_m300_rel"":0.4224280468253371,""dir_m60_rel"":0.5281255488974894,""execution_heat_penalty"":-0.6979514428378536,""flow_align60"":0.04792332268370607,""market_heat_penalty"":-0.9351350668269064,""pullback60_edge"":0.9923664122135709,""short_long_balance_stability"":-0.6503304938108002},""priority"":0,""qualifies"":false,""score"":-0.04179623897935098,""side"":""BUY""}]","[{""engine"":""PRIMARY"",""parts"":{""dir_m300_rel"":0.4224280468253371,""dir_m60_rel"":0.5281255488974894,""execution_heat_penalty"":-0.6979514428378536,""flow_align60"":0.04792332268370607,""market_heat_penalty"":-0.9351350668269064,""pullback60_edge"":0.9923664122135709,""short_long_balance_stability"":-0.6503304938108002},""priority"":0,""qualifies"":false,""score"":-0.04179623897935098,""side"":""BUY""}]",-10.237499999998363,nan,nan,3.0600000000004,-2.7299999999995634,nan,nan
historical7d,500ms,1,263290,1789747216.968,slot_occupancy_cascade,PRIMARY:BUY,FLAT,,PRIMARY:BUY,HOLD,PRIMARY:BUY,"{""BURST"":-1e+30,""MICRO"":1789745809.4329998,""PRIMARY"":1789744863.4689999,""SECONDARY"":1789745380.437}","{""BURST"":-1e+30,""MICRO"":1789745809.4329998,""PRIMARY"":1789744863.4689999,""SECONDARY"":1789745380.437}",[],"[{""engine"":""PRIMARY"",""parts"":{""dir_m300_rel"":0.4147585061824264,""dir_m60_rel"":0.5658616562501545,""execution_heat_penalty"":-0.14210610615047808,""flow_align60"":0.05757575757575758,""market_heat_penalty"":-0.9857550231451847,""pullback60_edge"":0.6203966005665036,""short_long_balance_stability"":-0.48648953718262206},""priority"":0,""qualifies"":true,""score"":0.006320264870936724,""side"":""BUY""}]",nan,nan,nan,nan,nan,nan,nan
historical7d,500ms,4,497468,1790081889.859,direct_score_substitution,FLAT,FLAT,MICRO:BUY|BURST:BUY,MICRO:BUY|BURST:BUY,MICRO:BUY,BURST:BUY,"{""BURST"":1790077016.9580002,""MICRO"":1790081759.4099998,""PRIMARY"":1790057517.401,""SECONDARY"":1790078642.9190001}","{""BURST"":1790077016.9580002,""MICRO"":1790081759.4099998,""PRIMARY"":1790057517.401,""SECONDARY"":1790078642.9190001}","[{""engine"":""BURST"",""parts"":{""accel_10_60"":0.08428618210451602,""activity_expansion"":0.6835891835694461,""dir_m10_rel"":0.8246472567290262,""dir_m30_rel"":0.9246817327546034,""execution_heat_penalty"":-0.7568527265349021,""flow_align10"":0.23728813559322035,""range_expansion"":0.6542772217731382},""priority"":3,""qualifies"":true,""score"":0.37884528371272125,""side"":""BUY""},{""engine"":""MICRO"",""parts"":{""accel_10_60"":0.08428618210451602,""dir_m10_rel"":0.8246472567290262,""dir_m60_rel"":0.7956648491098278,""execution_heat_penalty"":-0.7568527265349021,""flow_align10"":0.23728813559322035,""flow_align60"":0.18021201413427562,""pullback60_edge"":1.0},""priority"":2,""qualifies"":true,""score"":0.33789224444799487,""side"":""BUY""}]","[{""engine"":""BURST"",""parts"":{""accel_10_60"":0.08428618210451602,""activity_expansion"":0.6835891835694461,""dir_m10_rel"":0.8246472567290262,""dir_m30_rel"":0.9246817327546034,""execution_heat_penalty"":-0.7568527265349021,""flow_align10"":0.23728813559322035,""range_expansion"":0.6542772217731382},""priority"":3,""qualifies"":true,""score"":0.37884528371272125,""side"":""BUY""},{""engine"":""MICRO"",""parts"":{""accel_10_60"":0.08428618210451602,""dir_m10_rel"":0.8246472567290262,""dir_m60_rel"":0.7956648491098278,""execution_heat_penalty"":-0.7568527265349021,""flow_align10"":0.23728813559322035,""flow_align60"":0.18021201413427562,""pullback60_edge"":1.0},""priority"":2,""qualifies"":true,""score"":0.33789224444799487,""side"":""BUY""}]",19.57500000000266,17.250000000001364,-2.325000000001296,6.140000000000327,-0.18999999999959982,6.140000000000327,-0.18999999999959982
recent24h,500ms,0,94251,1790257759.983,router_hold,FLAT,FLAT,PRIMARY:BUY,PRIMARY:BUY,PRIMARY:BUY,HOLD,"{""BURST"":1790256424.496,""MICRO"":1790249568.963,""PRIMARY"":1790254284.3209999,""SECONDARY"":1790256720.447}","{""BURST"":1790256424.496,""MICRO"":1790249568.963,""PRIMARY"":1790254284.3209999,""SECONDARY"":1790256720.447}","[{""engine"":""PRIMARY"",""parts"":{""dir_m300_rel"":0.7805267840302765,""dir_m60_rel"":0.8675207845625178,""execution_heat_penalty"":-0.5807103584319852,""flow_align60"":-0.004524886877828055,""market_heat_penalty"":-0.9999696415691985,""pullback60_edge"":0.5715539947324293,""short_long_balance_stability"":-0.8175164382619374},""priority"":0,""qualifies"":false,""score"":-0.026159965973675044,""side"":""BUY""}]","[{""engine"":""PRIMARY"",""parts"":{""dir_m300_rel"":0.7805267840302765,""dir_m60_rel"":0.8675207845625178,""execution_heat_penalty"":-0.5807103584319852,""flow_align60"":-0.004524886877828055,""market_heat_penalty"":-0.9999696415691985,""pullback60_edge"":0.5715539947324293,""short_long_balance_stability"":-0.8175164382619374},""priority"":0,""qualifies"":false,""score"":-0.026159965973675044,""side"":""BUY""}]",-15.075000000001635,nan,nan,0.23999999999978172,-4.020000000000437,nan,nan
recent24h,500ms,0,95400,1790258422.987,cooldown_history_divergence,FLAT,FLAT,,PRIMARY:BUY,HOLD,PRIMARY:BUY,"{""BURST"":1790256424.496,""MICRO"":1790249568.963,""PRIMARY"":1790257881.936,""SECONDARY"":1790256720.447}","{""BURST"":1790256424.496,""MICRO"":1790249568.963,""PRIMARY"":1790254284.3209999,""SECONDARY"":1790256720.447}",[],"[{""engine"":""PRIMARY"",""parts"":{""dir_m300_rel"":0.5030719852151148,""dir_m60_rel"":0.7267759284128447,""execution_heat_penalty"":-0.5465946803449445,""flow_align60"":0.02681992337164751,""market_heat_penalty"":-0.9110924105761483,""pullback60_edge"":0.768500948767092,""short_long_balance_stability"":-0.1035862190443064},""priority"":0,""qualifies"":true,""score"":0.06627078225732848,""side"":""BUY""}]",nan,-5.774999999999864,nan,nan,nan,0.5799999999999272,-2.2200000000002547
recent24h,500ms,0,96292,1790258943.492,cooldown_history_divergence,FLAT,FLAT,PRIMARY:SELL,,PRIMARY:SELL,HOLD,"{""BURST"":1790256424.496,""MICRO"":1790249568.963,""PRIMARY"":1790257881.936,""SECONDARY"":1790256720.447}","{""BURST"":1790256424.496,""MICRO"":1790249568.963,""PRIMARY"":1790258579.467,""SECONDARY"":1790256720.447}","[{""engine"":""PRIMARY"",""parts"":{""dir_m300_rel"":0.6215854869726584,""dir_m60_rel"":0.9662308976145731,""execution_heat_penalty"":-0.11550726761900328,""flow_align60"":0.1099476439790576,""market_heat_penalty"":-0.995232720249159,""pullback60_edge"":0.8697674418601385,""short_long_balance_stability"":-0.44392755297601433},""priority"":0,""qualifies"":true,""score"":0.14469484708317876,""side"":""SELL""}]",[],-12.67500000000041,nan,nan,0.07000000000061846,-3.380000000000109,nan,nan
historical7d,1s,0,21372,1789592390.992,router_hold,FLAT,FLAT,PRIMARY:BUY,PRIMARY:BUY,PRIMARY:BUY,HOLD,"{""BURST"":1789573196.9129999,""MICRO"":1789584569.9950001,""PRIMARY"":1789587086.985,""SECONDARY"":1789592367.977}","{""BURST"":1789573196.9129999,""MICRO"":1789584569.9950001,""PRIMARY"":1789587086.985,""SECONDARY"":1789592367.977}","[{""engine"":""PRIMARY"",""parts"":{""dir_m300_rel"":0.9677631797652861,""dir_m60_rel"":0.8646400232259196,""execution_heat_penalty"":-0.672771647880684,""flow_align60"":0.02717391304347826,""market_heat_penalty"":-0.9999999280663948,""pullback60_edge"":0.15615141955860856,""short_long_balance_stability"":-0.7446941255518219},""priority"":0,""qualifies"":false,""score"":-0.057391023700801146,""side"":""BUY""}]","[{""engine"":""PRIMARY"",""parts"":{""dir_m300_rel"":0.9677631797652861,""dir_m60_rel"":0.8646400232259196,""execution_heat_penalty"":-0.672771647880684,""flow_align60"":0.02717391304347826,""market_heat_penalty"":-0.9999999280663948,""pullback60_edge"":0.15615141955860856,""short_long_balance_stability"":-0.7446941255518219},""priority"":0,""qualifies"":false,""score"":-0.057391023700801146,""side"":""BUY""}]",-18.48750000000109,nan,nan,7.539999999999964,-4.930000000000291,nan,nan
historical7d,1s,0,23744,1789594762.982,direct_score_substitution,FLAT,FLAT,SECONDARY:BUY|MICRO:BUY,SECONDARY:BUY|MICRO:BUY,SECONDARY:BUY,MICRO:BUY,"{""BURST"":1789573196.9129999,""MICRO"":1789594389.985,""PRIMARY"":1789594435.9689999,""SECONDARY"":1789592605.997}","{""BURST"":1789573196.9129999,""MICRO"":1789594389.985,""PRIMARY"":1789594435.9689999,""SECONDARY"":1789592605.997}","[{""engine"":""MICRO"",""parts"":{""accel_10_60"":0.006542299241344491,""dir_m10_rel"":0.49130991043924716,""dir_m60_rel"":0.48633082263673616,""execution_heat_penalty"":-0.0,""flow_align10"":0.1242603550295858,""flow_align60"":0.003992015968063872,""pullback60_edge"":1.0},""priority"":2,""qualifies"":true,""score"":0.3017764861878539,""side"":""BUY""},{""engine"":""SECONDARY"",""parts"":{""accel_10_60"":0.006542299241344491,""dir_m30_rel"":0.3296695098476607,""dir_m60_rel"":0.48633082263673616,""execution_heat_penalty"":-0.0,""flow_align10"":0.1242603550295858,""pullback60_edge"":1.0,""range_expansion"":-0.1668968682238107},""priority"":1,""qualifies"":true,""score"":0.2542723026473595,""side"":""BUY""}]","[{""engine"":""MICRO"",""parts"":{""accel_10_60"":0.006542299241344491,""dir_m10_rel"":0.49130991043924716,""dir_m60_rel"":0.48633082263673616,""execution_heat_penalty"":-0.0,""flow_align10"":0.1242603550295858,""flow_align60"":0.003992015968063872,""pullback60_edge"":1.0},""priority"":2,""qualifies"":true,""score"":0.3017764861878539,""side"":""BUY""},{""engine"":""SECONDARY"",""parts"":{""accel_10_60"":0.006542299241344491,""dir_m30_rel"":0.3296695098476607,""dir_m60_rel"":0.48633082263673616,""execution_heat_penalty"":-0.0,""flow_align10"":0.1242603550295858,""pullback60_edge"":1.0,""range_expansion"":-0.1668968682238107},""priority"":1,""qualifies"":true,""score"":0.2542723026473595,""side"":""BUY""}]",33.899999999999864,7.837500000000545,-26.062499999999318,9.039999999999964,-1.3299999999999272,4.650000000000546,-0.08999999999923602
historical7d,1s,0,24312,1789595330.9689999,router_hold,FLAT,FLAT,PRIMARY:SELL,PRIMARY:SELL,PRIMARY:SELL,HOLD,"{""BURST"":1789573196.9129999,""MICRO"":1789595021.9539998,""PRIMARY"":1789594435.9689999,""SECONDARY"":1789595074.951}","{""BURST"":1789573196.9129999,""MICRO"":1789595021.9539998,""PRIMARY"":1789594435.9689999,""SECONDARY"":1789595074.951}","[{""engine"":""PRIMARY"",""parts"":{""dir_m300_rel"":0.8575267093624401,""dir_m60_rel"":0.08297964398656554,""execution_heat_penalty"":-0.0,""flow_align60"":-0.0137524557956778,""market_heat_penalty"":-0.0,""pullback60_edge"":-0.5651237890207055,""short_long_balance_stability"":-0.7370340777003849},""priority"":0,""qualifies"":false,""score"":-0.05362913845253751,""side"":""SELL""}]","[{""engine"":""PRIMARY"",""parts"":{""dir_m300_rel"":0.8575267093624401,""dir_m60_rel"":0.08297964398656554,""execution_heat_penalty"":-0.0,""flow_align60"":-0.0137524557956778,""market_heat_penalty"":-0.0,""pullback60_edge"":-0.5651237890207055,""short_long_balance_stability"":-0.7370340777003849},""priority"":0,""qualifies"":false,""score"":-0.05362913845253751,""side"":""SELL""}]",94.72500000000082,nan,nan,25.26000000000022,0.0,nan,nan
historical7d,1s,0,24316,1789595334.9580002,slot_occupancy_cascade,PRIMARY:SELL,FLAT,,PRIMARY:SELL,HOLD,PRIMARY:SELL,"{""BURST"":1789573196.9129999,""MICRO"":1789595021.9539998,""PRIMARY"":1789594435.9689999,""SECONDARY"":1789595074.951}","{""BURST"":1789573196.9129999,""MICRO"":1789595021.9539998,""PRIMARY"":1789594435.9689999,""SECONDARY"":1789595074.951}",[],"[{""engine"":""PRIMARY"",""parts"":{""dir_m300_rel"":0.9565269351357513,""dir_m60_rel"":0.07781507486898029,""execution_heat_penalty"":-0.0,""flow_align60"":-0.01665034280117532,""market_heat_penalty"":-0.0,""pullback60_edge"":0.23660130718996275,""short_long_balance_stability"":-0.6728637883228397},""priority"":0,""qualifies"":true,""score"":0.08306131229581136,""side"":""SELL""}]",nan,nan,nan,nan,nan,nan,nan
