stress,net_pnl_inr,profit_factor,trades,max_drawdown_inr
base,1285.875233,1.775377,149,206.715270
slippage_0_02_each_side,1149.409784,1.687301,151,209.528131
slippage_0_05_each_side,1062.439311,1.627511,151,234.918094
slippage_0_10_each_side,812.798830,1.502596,154,282.884670
spread_plus_10pct,1092.082563,1.637528,140,232.711973
spread_plus_25pct,442.461339,1.439524,114,171.108355
