window,interval,segment_id,engine,side,side_sign,entry_ts,bid_update_frac2,ask_update_frac2,both_update_frac2,bid_ask_update_imb2,bid_update_frac10,ask_update_frac10,both_update_frac10,bid_ask_update_imb10,trade_count2,trade_count10,trade_quote_ratio2,trade_quote_ratio10,buy_trade_count2,sell_trade_count2,dir_trade_count_imb2,buy_trade_count10,sell_trade_count10,dir_trade_count_imb10,buy_volume2,sell_volume2,dir_trade_volume_imb2,buy_volume10,sell_volume10,dir_trade_volume_imb10,last_move2,last_move10,dir_last_move2,dir_last_move10
historical7d,500ms,0,PRIMARY,BUY,1,1789573826.844,0.75,0.75,0.5,0.0,0.7333333333333333,0.8666666666666667,0.6,-0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,500ms,0,PRIMARY,BUY,1,1789574424.972,0.7142857142857143,0.6428571428571429,0.35714285714285715,0.05263157894736842,0.8013698630136986,0.7123287671232876,0.5136986301369864,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,500ms,0,PRIMARY,BUY,1,1789575064.35,0.5,0.9285714285714286,0.42857142857142855,-0.3,0.5555555555555556,0.9722222222222222,0.5277777777777778,-0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,500ms,0,PRIMARY,SELL,-1,1789576948.978,0.9259259259259259,0.4074074074074074,0.3333333333333333,0.3888888888888889,0.8776978417266187,0.6330935251798561,0.5107913669064749,0.1619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
historical7d,500ms,0,PRIMARY,SELL,-1,1789577693.868,0.7368421052631579,0.8421052631578947,0.5789473684210527,-0.06666666666666667,0.6547619047619048,0.8214285714285714,0.47619047619047616,-0.11290322580645161,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
historical7d,500ms,0,PRIMARY,SELL,-1,1789579129.2659998,0.6666666666666666,1.0,0.6666666666666666,-0.2,0.6555555555555556,0.9444444444444444,0.6,-0.18055555555555555,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
historical7d,500ms,0,PRIMARY,BUY,1,1789580254.921,1.0,0.7931034482758621,0.7931034482758621,0.11538461538461539,0.8227848101265823,0.7341772151898734,0.5569620253164557,0.056910569105691054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,500ms,0,PRIMARY,BUY,1,1789581649.428,0.8846153846153846,0.8076923076923077,0.6923076923076923,0.045454545454545456,0.8288288288288288,0.7927927927927928,0.6216216216216216,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,500ms,0,PRIMARY,BUY,1,1789582223.908,0.9285714285714286,0.7857142857142857,0.7142857142857143,0.08333333333333333,0.9038461538461539,0.8173076923076923,0.7211538461538461,0.05027932960893855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
historical7d,500ms,0,PRIMARY,SELL,-1,1789583356.946,0.9047619047619048,0.7142857142857143,0.6190476190476191,0.11764705882352941,0.9090909090909091,0.8522727272727273,0.7613636363636364,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
historical7d,500ms,0,PRIMARY,SELL,-1,1789586926.748,0.8695652173913043,0.5217391304347826,0.391304347826087,0.25,0.75,0.6710526315789473,0.42105263157894735,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0
historical7d,500ms,0,PRIMARY,BUY,1,1789592304.8969998,0.43478260869565216,0.9130434782608695,0.34782608695652173,-0.3548387096774194,0.5666666666666667,0.8333333333333334,0.4,-0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
