window,engine,side,entry_500ms,entry_1s,abs_delta_sec,raw_count2_500ms,raw_count2_1s,raw_count10_500ms,raw_count10_1s,event_rate_accel_2_10_500ms,event_rate_accel_2_10_1s,median_iat2_ms_500ms,median_iat2_ms_1s,median_iat10_ms_500ms,median_iat10_ms_1s,iat_ratio_2_10_500ms,iat_ratio_2_10_1s,mid_move2_500ms,mid_move2_1s,mid_move10_500ms,mid_move10_1s,dir_mid_move2_500ms,dir_mid_move2_1s,dir_mid_move10_500ms,dir_mid_move10_1s,event_eff2_500ms,event_eff2_1s,event_eff10_500ms,event_eff10_1s,event_imb2_500ms,event_imb2_1s,event_imb10_500ms,event_imb10_1s,dir_event_imb2_500ms,dir_event_imb2_1s,dir_event_imb10_500ms,dir_event_imb10_1s,dir_imbalance_delta_2_10_500ms,dir_imbalance_delta_2_10_1s,quote_sidedness2_500ms,quote_sidedness2_1s,two_sided_update_frac2_500ms,two_sided_update_frac2_1s,spread_rel10_500ms,spread_rel10_1s,spread_change_rel2_500ms,spread_change_rel2_1s,spread_compression10_500ms,spread_compression10_1s,dir_range_position10_500ms,dir_range_position10_1s
historical7d,BURST,BUY,1789573152.468,1789573154.725,2.256999969482422,15.0,7.0,90.0,78.0,0.8333333333333334,0.44871794871794873,50.50003528594971,176.49996280670166,52.00004577636719,55.00006675720215,0.9711536698088985,3.2090863377650236,-0.11499999999978172,-0.10499999999956344,0.9500000000007276,0.4250000000010914,-0.11499999999978172,-0.10499999999956344,0.9500000000007276,0.4250000000010914,0.2839506172855032,1.0,0.2802359882014542,0.17453798768041695,0.14285714285714285,-1.0,0.2808988764044944,0.23684210526315788,0.14285714285714285,-1.0,0.2808988764044944,0.23684210526315788,-0.13804173354735155,-1.236842105263158,-0.42857142857142855,0.16666666666666666,0.42857142857142855,0.8333333333333334,0.9999999999967518,0.9285714285730526,0.17857142857166058,0.035714285715097764,0.3214285714315876,0.2857142857142857,0.7488789237678111,0.5000000000015159
historical7d,PRIMARY,BUY,1789573826.844,1789573826.844,0.0,8.0,8.0,30.0,30.0,1.3333333333333333,1.3333333333333333,98.00028800964355,98.00028800964355,100.00038146972656,100.00038146972656,0.9799991416963894,0.9799991416963894,0.2999999999992724,0.2999999999992724,0.42999999999938154,0.42999999999938154,0.2999999999992724,0.2999999999992724,0.42999999999938154,0.42999999999938154,1.0,1.0,0.37391304347754567,0.37391304347754567,1.0,1.0,0.2413793103448276,0.2413793103448276,1.0,1.0,0.2413793103448276,0.2413793103448276,0.7586206896551724,0.7586206896551724,-0.14285714285714285,-0.14285714285714285,0.5714285714285714,0.5714285714285714,1.0,1.0,0.0,0.0,0.31034482758674764,0.31034482758674764,1.0,1.0
historical7d,PRIMARY,BUY,1789574424.972,1789574424.972,0.0,28.0,28.0,146.0,146.0,0.9589041095890412,0.9589041095890412,52.00004577636719,52.00004577636719,51.999807357788086,51.999807357788086,1.0000045849896608,1.0000045849896608,0.4600000000000364,0.4600000000000364,3.149999999999636,3.149999999999636,0.4600000000000364,0.4600000000000364,3.149999999999636,3.149999999999636,0.3650793650801213,0.3650793650801213,0.43568464730277096,0.43568464730277096,-0.18518518518518517,-0.18518518518518517,0.056338028169014086,0.056338028169014086,-0.18518518518518517,-0.18518518518518517,0.056338028169014086,0.056338028169014086,-0.24152321335419927,-0.24152321335419927,0.1111111111111111,0.1111111111111111,0.37037037037037035,0.37037037037037035,0.8620689655173496,0.8620689655173496,0.06896551724289333,0.06896551724289333,0.9310344827571067,0.9310344827571067,0.9874015748028753,0.9874015748028753
historical7d,MICRO,SELL,1789575485.9550002,1789575485.9550002,0.0,28.0,28.0,120.0,120.0,1.1666666666666667,1.1666666666666667,49.99995231628418,49.99995231628418,51.000118255615234,51.000118255615234,0.9803889486232528,0.9803889486232528,-0.75,-0.75,-1.319999999999709,-1.319999999999709,0.75,0.75,1.319999999999709,1.319999999999709,0.39473684210496085,0.39473684210496085,0.2287694974007116,0.2287694974007116,-0.1111111111111111,-0.1111111111111111,-0.15254237288135594,-0.15254237288135594,0.1111111111111111,0.1111111111111111,0.15254237288135594,0.15254237288135594,-0.04143126177024484,-0.04143126177024484,0.07407407407407407,0.07407407407407407,0.7777777777777778,0.7777777777777778,0.7999999999984408,0.7999999999984408,-0.1714285714295366,-0.1714285714295366,0.45714285714456476,0.45714285714456476,0.7320261437907409,0.7320261437907409
historical7d,BURST,BUY,1789577836.469,1789577836.916,0.44699978828430176,30.0,29.0,111.0,110.0,1.3513513513513513,1.3181818181818181,51.000118255615234,51.49996280670166,51.49996280670166,51.000118255615234,0.9902942735519533,1.0098008508251133,0.4849999999996726,0.4349999999994907,2.035000000000764,1.9149999999990541,0.4849999999996726,0.4349999999994907,2.035000000000764,1.9149999999990541,0.4199134199112451,0.3640167364002279,0.3994111874386527,0.37438905180810456,0.3103448275862069,0.2857142857142857,0.3761467889908257,0.35185185185185186,0.3103448275862069,0.2857142857142857,0.3761467889908257,0.35185185185185186,-0.0658019614046188,-0.06613756613756616,0.41379310344827586,0.4642857142857143,0.3793103448275862,0.39285714285714285,0.7999999999987873,0.9333333333319186,-0.09999999999909051,-0.3000000000003032,0.5666666666695973,0.43333333333646606,0.8799076212470607,0.8913580246907635
historical7d,SECONDARY,SELL,1789578167.976,1789578167.976,0.0,27.0,27.0,114.0,114.0,1.1842105263157894,1.1842105263157894,52.99997329711914,52.99997329711914,52.99997329711914,52.99997329711914,1.0,1.0,-1.4950000000008004,-1.4950000000008004,-2.194999999999709,-2.194999999999709,1.4950000000008004,1.4950000000008004,2.194999999999709,2.194999999999709,0.7608142493656272,0.7608142493656272,0.4192932187200506,0.4192932187200506,-0.15384615384615385,-0.15384615384615385,-0.16071428571428573,-0.16071428571428573,0.15384615384615385,0.15384615384615385,0.16071428571428573,0.16071428571428573,-0.0068681318681318715,-0.0068681318681318715,-0.038461538461538464,-0.038461538461538464,0.6538461538461539,0.6538461538461539,0.41379310344795145,0.41379310344795145,-0.5862068965520486,-0.5862068965520486,0.9655172413816895,0.9655172413816895,1.0,1.0
historical7d,MICRO,SELL,1789578278.771,1789578278.771,0.0,29.0,29.0,120.0,120.0,1.2083333333333333,1.2083333333333333,50.00019073486328,50.00019073486328,51.000118255615234,51.000118255615234,0.980393623486513,0.980393623486513,-0.6350000000002183,-0.6350000000002183,-2.2600000000002183,-2.2600000000002183,0.6350000000002183,0.6350000000002183,2.2600000000002183,2.2600000000002183,0.3681159420290344,0.3681159420290344,0.29236739974124376,0.29236739974124376,-0.5,-0.5,-0.11864406779661017,-0.11864406779661017,0.5,0.5,0.11864406779661017,0.11864406779661017,0.3813559322033898,0.3813559322033898,0.10714285714285714,0.10714285714285714,0.4642857142857143,0.4642857142857143,1.0000000000029339,1.0000000000029339,-0.22580645160940152,-0.22580645160940152,0.67741935483994,0.67741935483994,0.9613733905578763,0.9613733905578763
historical7d,MICRO,SELL,1789578384.442,1789578384.9910002,0.5490002632141113,23.0,25.0,129.0,130.0,0.8914728682170543,0.9615384615384616,51.49984359741211,50.99987983703613,51.999807357788086,51.999807357788086,0.9903852766812011,0.9807705533624022,0.0750000000007276,0.019999999999527063,-1.2749999999996362,-1.25,-0.0750000000007276,-0.019999999999527063,1.2749999999996362,1.25,0.1127819548881641,0.03636363636276445,0.2286995515697101,0.22482014388505978,-0.09090909090909091,-0.16666666666666666,-0.09523809523809523,-0.07086614173228346,0.09090909090909091,0.16666666666666666,0.09523809523809523,0.07086614173228346,-0.004329004329004321,0.0958005249343832,0.45454545454545453,0.5833333333333334,0.36363636363636365,0.25,1.0833333333314386,0.7916666666695088,0.37499999999715783,0.25000000000189476,0.875000000004737,1.1666666666666667,0.7743902439019961,0.8048780487807042
historical7d,MICRO,BUY,1789578618.875,1789578618.875,0.0,20.0,20.0,125.0,125.0,0.8,0.8,54.99982833862305,54.99982833862305,52.00004577636719,52.00004577636719,1.0576880754135642,1.0576880754135642,0.6749999999992724,0.6749999999992724,0.9899999999997817,0.9899999999997817,0.6749999999992724,0.6749999999992724,0.9899999999997817,0.9899999999997817,0.6279069767441467,0.6279069767441467,0.21244635193137318,0.21244635193137318,0.47368421052631576,0.47368421052631576,0.03225806451612903,0.03225806451612903,0.47368421052631576,0.47368421052631576,0.03225806451612903,0.03225806451612903,0.4414261460101867,0.4414261460101867,-0.10526315789473684,-0.10526315789473684,0.6842105263157895,0.6842105263157895,0.7878787878796231,0.7878787878796231,-0.09090909090833926,-0.09090909090833926,0.6060606060601885,0.6060606060601885,0.895999999999185,0.895999999999185
historical7d,PRIMARY,SELL,1789579129.2659998,1789579129.869,0.6030001640319824,21.0,21.0,90.0,87.0,1.1666666666666667,1.2068965517241381,52.500128746032715,52.500128746032715,53.00021171569824,54.000020027160645,0.9905645099618082,0.9722242458359548,-0.5300000000006548,-0.2999999999992724,-1.0650000000005093,-1.4200000000000728,0.5300000000006548,0.2999999999992724,1.0650000000005093,1.4200000000000728,0.5955056179774363,0.4285714285699437,0.2843791722294385,0.4092219020167457,-0.3684210526315789,-0.2631578947368421,-0.045454545454545456,-0.08235294117647059,0.3684210526315789,0.2631578947368421,0.045454545454545456,0.08235294117647059,0.32296650717703346,0.18080495356037152,-0.35,-0.35,0.65,0.65,1.0,0.9310344827571067,-0.13793103448578667,-0.13793103448578667,0.3793103448265048,0.44827586206939807,0.942528735633013,1.0
