window,interval,segment_id,engine,side,side_sign,entry_ts,raw_count2,raw_count10,event_rate_accel_2_10,median_iat2_ms,median_iat10_ms,iat_ratio_2_10,mid_move2,mid_move10,dir_mid_move2,dir_mid_move10,event_eff2,event_eff10,event_imb2,event_imb10,dir_event_imb2,dir_event_imb10,dir_imbalance_delta_2_10,quote_sidedness2,two_sided_update_frac2,spread_rel10,spread_change_rel2,spread_compression10,dir_range_position10
historical7d,500ms,0,PRIMARY,BUY,1,1789573826.844,8.0,30.0,1.3333333333333333,98.00028800964355,100.00038146972656,0.9799991416963894,0.2999999999992724,0.42999999999938154,0.2999999999992724,0.42999999999938154,1.0,0.37391304347754567,1.0,0.2413793103448276,1.0,0.2413793103448276,0.7586206896551724,-0.14285714285714285,0.5714285714285714,1.0,0.0,0.31034482758674764,1.0
historical7d,500ms,0,PRIMARY,BUY,1,1789574424.972,28.0,146.0,0.9589041095890412,52.00004577636719,51.999807357788086,1.0000045849896608,0.4600000000000364,3.149999999999636,0.4600000000000364,3.149999999999636,0.3650793650801213,0.43568464730277096,-0.18518518518518517,0.056338028169014086,-0.18518518518518517,0.056338028169014086,-0.24152321335419927,0.1111111111111111,0.37037037037037035,0.8620689655173496,0.06896551724289333,0.9310344827571067,0.9874015748028753
historical7d,500ms,0,PRIMARY,BUY,1,1789575064.35,14.0,72.0,0.9722222222222222,55.9999942779541,52.00004577636719,1.076922018853391,-0.005000000000109139,0.39499999999952706,-0.005000000000109139,0.39499999999952706,0.0204081632659122,0.14548802946589423,-0.07692307692307693,0.11428571428571428,-0.07692307692307693,0.11428571428571428,-0.1912087912087912,-0.38461538461538464,0.46153846153846156,1.0140845070412792,0.08450704225279945,0.2816901408460808,0.9272727272710435
historical7d,500ms,0,PRIMARY,SELL,-1,1789576948.978,27.0,139.0,0.9712230215827338,50.99987983703613,51.000118255615234,0.9999953251367397,-0.44499999999970896,-0.7449999999998909,0.44499999999970896,0.7449999999998909,0.640287769784022,0.17674970344010105,-0.3076923076923077,-0.12408759124087591,0.3076923076923077,0.12408759124087591,0.18360471645143178,0.5,0.34615384615384615,0.9230769230753086,-0.03846153846234571,0.7692307692294238,1.0
historical7d,500ms,0,PRIMARY,SELL,-1,1789577693.868,19.0,84.0,1.130952380952381,51.000118255615234,52.00028419494629,0.9807661447467962,-0.24499999999989086,0.10999999999967258,0.24499999999989086,-0.10999999999967258,0.46666666666597373,0.03999999999976188,-0.2222222222222222,-0.04878048780487805,0.2222222222222222,0.04878048780487805,0.17344173441734417,-0.16666666666666666,0.6111111111111112,0.7391304347814052,-0.043478260870424855,0.8695652173887254,0.09090909090799759
historical7d,500ms,0,PRIMARY,SELL,-1,1789579129.2659998,21.0,90.0,1.1666666666666667,52.500128746032715,53.00021171569824,0.9905645099618082,-0.5300000000006548,-1.0650000000005093,0.5300000000006548,1.0650000000005093,0.5955056179774363,0.2843791722294385,-0.3684210526315789,-0.045454545454545456,0.3684210526315789,0.045454545454545456,0.32296650717703346,-0.35,0.65,1.0,-0.13793103448578667,0.3793103448265048,0.942528735633013
historical7d,500ms,0,PRIMARY,BUY,1,1789580254.921,29.0,79.0,1.8354430379746836,50.99987983703613,55.9999942779541,0.9107122330030952,1.0,1.6899999999995998,1.0,1.6899999999995998,0.5813953488362009,0.5168195718653958,0.35714285714285715,0.16883116883116883,0.35714285714285715,0.16883116883116883,0.18831168831168832,0.17857142857142858,0.8214285714285714,0.9310344827602428,0.0,0.620689655170359,0.9098591549287085
historical7d,500ms,0,PRIMARY,BUY,1,1789581649.428,26.0,111.0,1.1711711711711712,51.000118255615234,51.49996280670166,0.9902942735519533,0.27000000000043656,0.29500000000007276,0.27000000000043656,0.29500000000007276,0.16666666666722807,0.06190975865680133,0.12,-0.027522935779816515,0.12,-0.027522935779816515,0.1475229357798165,0.04,0.72,0.9062500000007105,-0.062499999998578915,0.46875000000213163,0.3333333333340551
historical7d,500ms,0,PRIMARY,BUY,1,1789582223.908,28.0,104.0,1.346153846153846,51.999807357788086,52.00004577636719,0.9999954150313611,-0.1749999999992724,0.35500000000047294,-0.1749999999992724,0.35500000000047294,0.12727272727253486,0.10070921985848248,-0.07692307692307693,0.04950495049504951,-0.07692307692307693,0.04950495049504951,-0.12642802741812642,0.14814814814814814,0.7037037037037037,0.8529411764701161,-0.49999999999732503,0.617647058823372,0.11811023622317918
historical7d,500ms,0,PRIMARY,SELL,-1,1789583356.946,21.0,88.0,1.1931818181818181,54.000020027160645,52.99973487854004,1.0188733991012024,-0.6900000000005093,-0.9200000000000728,0.6900000000005093,0.9200000000000728,0.7582417582409235,0.28840125391814314,-0.3684210526315789,-0.023809523809523808,0.3684210526315789,0.023809523809523808,0.34461152882205515,0.15,0.65,0.8571428571398874,-0.11428571428549156,0.3142857142870507,0.9004975124391796
