interval,feature,historical_median,recent_median,historical_iqr,recent_iqr
500ms,raw_count2,24.5,23.5,14.75,13.0
500ms,raw_count10,99.0,96.0,58.5,51.25
500ms,event_rate_accel_2_10,1.1017850536440992,1.0645604395604396,0.32868492224475987,0.49667057479557486
500ms,median_iat2_ms,51.99962854385376,54.000139236450195,4.875063896179199,3.7501752376556396
500ms,median_iat10_ms,52.000224590301514,54.74996566772461,4.3749213218688965,3.999948501586914
500ms,iat_ratio_2_10,0.9999952783807465,0.9905667167495884,0.038817844103496535,0.06080315998923036
500ms,mid_move2,0.027499999999690772,0.10500000000047294,0.9237499999987904,0.7399999999990996
500ms,mid_move10,0.02500000000009095,-0.4899999999997817,2.8262500000000728,2.9987499999999727
500ms,dir_mid_move2,0.4424999999996544,0.36999999999989086,0.8587499999996453,0.6749999999994998
500ms,dir_mid_move10,1.3324999999999818,1.4299999999998363,1.3725000000006276,1.5212500000002365
500ms,event_eff2,0.43519200098250677,0.453247965854307,0.3918007701589573,0.38266589217880875
500ms,event_eff10,0.2565196388327696,0.2560017640088398,0.20060062875272833,0.16789933965051945
500ms,event_imb2,-0.03152709359605911,0.016129032258064516,0.4992884510125889,0.4800213675213675
500ms,event_imb10,-0.020673486786018755,-0.06511077287332995,0.22882617613974723,0.2645023300245253
500ms,dir_event_imb2,0.22580645161290322,0.2403846153846154,0.3523809523809524,0.3218468242837107
500ms,dir_event_imb10,0.1085094995986085,0.14769975786924938,0.18191828386605782,0.1908903231899759
500ms,dir_imbalance_delta_2_10,0.09374638636416198,0.09252456308147118,0.2850407636777527,0.25059474320703
500ms,quote_sidedness2,0.0,0.04195804195804196,0.3721122627372627,0.271001552795031
500ms,two_sided_update_frac2,0.6,0.6460869565217391,0.25250000000000006,0.2253846153846154
500ms,spread_rel10,0.7727272727267089,0.8118686868697543,0.28852429875349717,0.1507142857177266
500ms,spread_change_rel2,-0.22222222222125979,-0.17722222222001466,0.39305555555783983,0.22097525603258233
500ms,spread_compression10,0.7802353896112204,0.7519222071480153,0.4221027155343914,0.46519886363626917
500ms,dir_range_position10,0.9419603385124992,0.9578006576191183,0.27629578963330015,0.24068705562792836
1s,raw_count2,25.0,25.5,13.0,12.5
1s,raw_count10,101.0,98.0,60.5,44.5
1s,event_rate_accel_2_10,1.0795454545454544,1.1875,0.3348649401280981,0.4229323308270676
1s,median_iat2_ms,51.999807357788086,53.000032901763916,4.000365734100342,2.9999911785125732
1s,median_iat10_ms,52.00028419494629,53.999900817871094,3.999948501586914,3.4999847412109375
1s,iat_ratio_2_10,0.9901944743116264,0.9904737372986587,0.03812000957646289,0.037213492283322824
1s,mid_move2,0.005000000000109139,0.07500000000027285,1.0225000000000364,0.8775000000005093
1s,mid_move10,-0.2000000000007276,-0.02250000000003638,2.5900000000001455,2.807499999999891
1s,dir_mid_move2,0.46999999999934516,0.4225000000005821,0.7499999999990905,0.6262499999995725
1s,dir_mid_move10,1.319999999999709,1.3475000000003092,1.2974999999996726,1.5975000000000819
1s,event_eff2,0.4307692307692738,0.45632011967044533,0.38840252057448477,0.3663030761027291
1s,event_eff10,0.2465208747515518,0.2727394019980932,0.2015746945287274,0.16956135053206264
1s,event_imb2,-0.07692307692307693,0.060098522167487685,0.5430845017051913,0.613472784525416
1s,event_imb10,-0.021739130434782608,-0.018140589569160995,0.2466504172728523,0.26380067006188646
1s,dir_event_imb2,0.23076923076923078,0.27717391304347827,0.3253968253968254,0.33456221198156677
1s,dir_event_imb10,0.12871287128712872,0.1225,0.18348709173542188,0.20103569055161605
1s,dir_imbalance_delta_2_10,0.0958005249343832,0.09808094497940202,0.25404896421845574,0.2986524338574522
1s,quote_sidedness2,0.037037037037037035,0.0,0.3203781512605042,0.31510135135135137
1s,two_sided_update_frac2,0.59375,0.6594202898550725,0.2389350111389586,0.2567567567567568
1s,spread_rel10,0.7878787878796231,0.8000000000030143,0.25624999999699793,0.14351705205524634
1s,spread_change_rel2,-0.21428571428409018,-0.15575757575597632,0.3495335258410484,0.22716908740567446
1s,spread_compression10,0.7333333333337375,0.7647527910684745,0.3939393939422471,0.4386363636310444
1s,dir_range_position10,0.9216710182769509,0.93901420217182,0.24789622368309583,0.1733408217917144
