window,interval,engine,outcome,trades,pnl_inr,range60_rel,spread_rel,activity_rel,er60,spread_to_range,dir_m10_rel,dir_m30_rel,dir_m60_rel,dir_m300_rel,dir_eff60,flow_align10,flow_align60,accel_10_60,accel_30_300,short_long_balance,pullback60,pullback300,market_heat,execution_heat,session_age_sec
historical7d,1s,BURST,nonwin,12,-36.48749999999836,2.0950601405018503,0.7630140926080853,1.373071528751753,0.172273278031331,0.050224209534069905,4.422912713475153,4.304054054055001,3.878134031087985,2.298072275832852,0.172273278031331,0.29031612645058025,0.12448347107438017,0.6091700141343142,1.9688506398056376,0.7830443474202178,0.006602259398670674,0.004489983217921822,3.190947915869729,1.1504247876058176,5072.3965002298355
historical7d,1s,BURST,win,12,84.71250000000737,2.370586292320074,0.7964221014489621,1.3561048440610484,0.17607151463356965,0.055247412102893245,4.915111838512957,4.755504648143887,4.0018426140868115,2.1662043754875104,0.17607151463356965,0.24837662337662336,0.11344174634790591,0.7767641253898656,4.001232702019433,1.868738142775857,0.001119820828488354,0.048950437972046984,3.1282901127629454,1.1369993863589432,1999.7759997844696
historical7d,1s,MICRO,nonwin,32,-257.6999999999907,1.7672970676797441,0.8001893939388246,1.1689189189189189,0.11603795964593926,0.04898117720410976,2.3417738126442798,2.2831862126941247,3.340805717998723,1.7009569377986287,0.11603795964593926,0.09621318373071529,0.04445050449959094,-0.9657871046832732,0.08508558822638035,-0.31150552165405565,0.05019082046656768,0.05279581573877461,2.3150294665942144,0.9456936226161001,7871.107000112534
historical7d,1s,MICRO,win,30,440.94375000000014,1.5840475505703764,0.7459677419360399,1.1133786848072562,0.1067982659813577,0.05643487041087039,2.659486607143919,2.3113361215044312,2.792871276245427,3.0015267175567297,0.1067982659813577,0.10587905935050393,0.036896211801154766,-0.03740639844845273,-1.2795832837875425,-0.5499079340120884,0.04353699768162531,0.026092260778053704,1.7235879583880194,0.8654786018015557,6436.1620000600815
historical7d,1s,PRIMARY,nonwin,51,-649.6124999999881,1.1784989858014132,0.8,1.0559006211180124,0.09834332040857643,0.09120521172631006,1.6093023255812615,1.6799999999988358,1.8373382624773744,1.8131578947370808,0.09834332040857643,0.08433734939759036,0.036755386565272496,-0.04234274283194139,-0.03795228019590857,-0.17169984703632546,0.038461538461942085,0.04924012158055929,1.2554621848737122,0.8274456521771568,8259.351000070572
historical7d,1s,PRIMARY,win,28,685.8749999999986,1.3709746390947486,0.8062500000016201,1.0337837837837838,0.10434678883630716,0.08705188322502143,1.7083926031290475,2.121512495694709,1.9212932589789085,2.035342105486076,0.10434678883630716,0.1111111111111111,0.03812050018946571,-0.8165305651592212,-0.06070561588879919,-0.3603639671731259,0.05653541769920177,0.027797453756899116,1.3221965824832058,0.802344877345675,5572.380499839783
historical7d,1s,SECONDARY,nonwin,38,-587.3999999999978,1.628402732743134,0.688577586205837,1.1390765765765765,0.12099066400723554,0.049696893154936764,3.5761075574506838,3.0656191327121673,2.531903448476097,2.460393801395446,0.12099066400723554,0.12773451983685577,0.05532513802387881,1.1044351323652177,0.6821045677370682,0.6567055788510638,0.0022142168314963706,0.0047929066873562895,1.835506298636612,0.8500254286542335,8062.44250023365
historical7d,1s,SECONDARY,win,24,634.0875000000074,1.8051657145797888,0.7919642857139197,1.1381438910174544,0.12184548756809305,0.053140401389159375,4.406566464128894,3.494599971168771,3.0577408714924186,2.057390278146963,0.12184548756809305,0.09424342105263159,0.03906009244992296,0.8143275451827328,1.1204111504212855,1.1457730309805423,0.004760497599789755,0.007095833815982078,2.123235644368778,0.9515189745294799,8078.4729998111725
historical7d,500ms,BURST,nonwin,13,-34.27500000000464,2.1689008042898372,0.7118644067785114,1.3410404624277457,0.1678806798473337,0.049886621315241846,4.679245283020292,4.1081081081092705,3.961111111111277,3.010631857269531,0.1678806798473337,0.2916666666666667,0.12027491408934708,0.7828561572975268,1.43937275960216,0.5247780691780185,0.02323008849548107,0.018518518518441288,2.907395123519385,1.0913580246905097,4652.906000137329
historical7d,500ms,BURST,win,15,108.4875000000045,2.0019704433501557,0.8076923076931822,1.3287671232876712,0.18171683389276042,0.059225512528324205,4.451282051278674,4.647619047616716,3.326530612245739,1.4208494208486526,0.18171683389276042,0.25773195876288657,0.1053763440860215,1.013092029269178,3.198428425951138,1.8809578892091554,0.00598086124393169,0.048669695003245105,2.9234887980835116,1.0606751824827165,1423.345999956131
historical7d,500ms,MICRO,nonwin,42,-315.14999999999304,1.7983985596510208,0.7968253968241489,1.1310668137409392,0.10678119358020557,0.04611817994465401,2.5379999999984655,2.7557189542485965,3.16067061593421,1.3381759483454472,0.10678119358020557,0.10663743272872234,0.02923503089708076,-0.25099818362010373,0.7404148829006112,0.1755658023023623,0.023859257060126697,0.043386127628313995,2.293782083133636,0.9463909582021123,10237.21849989891
historical7d,500ms,MICRO,win,35,537.4218749999872,1.6311399443924146,0.7419354838720797,1.1607142857142858,0.10991268618486866,0.059225512528324205,2.8938053097353396,2.542372881355305,2.9545454545465195,4.220708446865846,0.10991268618486866,0.05732484076433121,0.018617021276595744,0.13361344538315167,-1.3643492355529154,-0.6506094333247028,0.024077046549191926,0.01198156682020233,2.1205043581273695,0.9335612048721533,5672.607000112534
historical7d,500ms,PRIMARY,nonwin,49,-632.8874999999914,1.2101616628171017,0.8,1.076086956521739,0.09996722386067682,0.09284332688579433,1.8400000000003036,1.7730061349698387,1.9732620320840166,1.836858006042052,0.09996722386067682,0.10204081632653061,0.04792332268370607,0.17736396614289296,-0.0009284231925092978,-0.20129942617260377,0.02729885057478211,0.03533123028376802,1.3576282097131784,0.8712251603807993,7431.02999997139
historical7d,500ms,PRIMARY,win,35,930.7500000000027,1.3410909090910785,0.7160493827156058,1.0147058823529411,0.10209102090978989,0.09113924050645969,1.210191082803699,2.150943396228066,1.773662551441235,1.9912408759116893,0.10209102090978989,0.08433734939759036,0.047619047619047616,-0.8282397536126118,-0.2661184079195681,-0.49885522386129,0.06913580246927886,0.04757929883136308,1.249592833876242,0.7681034482772002,5701.671000003815
historical7d,500ms,SECONDARY,nonwin,27,-403.72499999999945,2.190301921317265,0.6486486486507081,1.3410404624277457,0.12988671472703203,0.04534005037775489,4.423357664229293,4.013468013473219,3.515828677839003,2.7332087343862335,0.12988671472703203,0.11409395973154363,0.05421686746987952,1.3826408916808104,1.8875377540922227,1.5414768862371142,0.0,0.0,2.833296169876449,0.9072580645162888,6883.669000148773
historical7d,500ms,SECONDARY,win,18,446.0250000000019,1.8266375135182782,0.6594684385373781,1.131874298540965,0.14150236089146084,0.04730691110208031,4.122607655502326,3.415337586391395,3.134739501798543,1.6988636363633016,0.14150236089146084,0.05460992907801418,0.00513080422227645,0.9921778534538546,1.5835905860335222,1.4737476396994957,1.1826979216812327e-13,0.0019566735417937114,2.05816984782415,0.8375119206095893,6077.412500143051
recent24h,1s,BURST,nonwin,4,-16.349999999998772,2.085251807623373,0.7936105476671119,1.3038298134351334,0.152553859698615,0.052157500435629986,5.6297076417561644,5.34857762963926,4.420751421457606,0.31282952548307147,0.152553859698615,0.29851940776310526,0.12284145417823783,0.906139318890788,4.429438515754029,1.255780459505795,0.0063220198772261475,0.05200537625254203,2.4672457225598734,0.9228932051931542,3679.71899998188
recent24h,1s,BURST,win,1,0.41250000000218273,2.4226254002137884,0.8484848484842639,1.5342465753424657,0.13000177841011726,0.049339207048411694,5.965517241374408,3.809917355372267,4.1891117478520155,0.6847635726794797,0.13000177841011726,0.36363636363636365,0.1791907514450867,1.7764054935223923,3.1251537826927875,2.4507796381075893,0.00792951541851477,0.00792951541851477,3.716904723615675,1.3017849730169526,4119.464999914169
recent24h,1s,MICRO,nonwin,7,-56.28750000000423,1.7275541795669622,0.9000000000022738,1.3409090909090908,0.1357837181044575,0.06929510155315075,5.662650602411012,3.7573221757316126,5.34134615384983,2.146455264593587,0.1357837181044575,0.08737864077669903,0.05454545454545454,-1.7883988238305513,0.3854218505064423,-0.4406066366042438,0.014556040756704459,0.006451612903131923,2.9725425153653777,1.2933284989132694,3841.53200006485
recent24h,1s,MICRO,win,1,10.687499999997954,4.25167336010774,0.6896551724163885,1.917808219178082,0.13161465400265168,0.025188916876664327,4.8175182481713055,2.3999999999975232,7.442455242970119,2.351063829785999,0.13161465400265168,0.08823529411764706,-0.06637649619151251,-2.624936994798814,0.0489361702115243,-1.2880004122936448,0.0,0.0,8.153894115275119,1.3226263580588271,6177.360999822617
recent24h,1s,PRIMARY,nonwin,17,-204.2250000000172,1.5131894484407684,0.875,1.1506849315068493,0.12303244458720947,0.10000000000019489,2.5517241379225992,2.5137614678899287,2.5602409638542434,2.115496640026255,0.12303244458720947,0.15384615384615385,0.04310344827586207,-0.593989769823084,0.2933841661411437,-0.29673669253969553,0.05076628352479023,0.022438611346268362,1.806582820444555,0.8998920669211794,5193.903000116348
recent24h,1s,PRIMARY,win,5,55.23750000000177,1.1479642502487866,0.7666666666647466,1.013157894736842,0.08134462406981302,0.11057692307671706,1.2941176470565576,1.8899676375415237,2.1718750000009845,2.0706638115631524,0.08134462406981302,0.042735042735042736,0.05565529622980251,-0.05350140056222186,-0.6149633289272927,-0.4381076235445447,0.012019230769056286,0.0038491147035622205,1.1677567373220414,0.6987295825765846,6578.462999820709
recent24h,1s,SECONDARY,nonwin,5,-78.52500000000191,1.8929765886284682,0.6875000000014211,1.452054794520548,0.1357837181044575,0.0518256772674347,5.287356321834634,4.010928961752859,4.552552552551214,1.4447439353080727,0.1357837181044575,0.1111111111111111,0.002717391304347826,0.708559760229889,1.057675066244339,1.1940308946679974,0.0031298904539018286,0.002643171806225011,2.9446302489776173,1.1211072664335426,3841.53200006485
recent24h,1s,SECONDARY,win,4,97.34999999999673,1.5121923320262556,0.7190476190480541,1.1140935456003949,0.10732149767447091,0.06938489903833399,2.400311137041358,2.5368343787526255,2.997163120566511,1.9351676940408393,0.10732149767447091,0.12429775280898876,0.06942581518078358,-0.3535807228070825,0.335537560999458,-0.2591470849761589,0.0014641288433697983,0.03141911450077334,1.6898676600647198,0.734524158348396,6894.204499959946
