interval,engine,historical_pnl_inr,recent_pnl_inr,historical_win_rate,recent_win_rate,historical_trades,recent_trades,same_pnl_sign
1s,BURST,48.225000000009004,-15.93749999999659,0.5,0.2,24,5,False
1s,MICRO,183.2437500000094,-45.600000000006276,0.4838709677419355,0.125,62,8,False
1s,PRIMARY,36.262500000010505,-148.98750000001542,0.35443037974683544,0.22727272727272727,79,22,False
1s,SECONDARY,46.687500000009535,18.824999999994816,0.3870967741935484,0.4444444444444444,62,9,True
500ms,BURST,74.21249999999986,-17.437500000005457,0.5357142857142857,0.0,28,5,False
500ms,MICRO,222.27187499999417,-34.46250000000191,0.45454545454545453,0.125,77,8,False
500ms,PRIMARY,297.8625000000113,-255.11250000000928,0.4166666666666667,0.14814814814814814,84,27,False
500ms,SECONDARY,42.30000000000246,-45.48750000000041,0.4,0.16666666666666666,45,6,False
