window,interval,engine,block_id,trades,wins,pnl_inr,win_rate
historical7d,500ms,BURST,124307,1,0,-1.9499999999982265,0.0
historical7d,500ms,BURST,124310,4,4,48.45000000000368,1.0
historical7d,500ms,BURST,124311,1,1,17.250000000001364,1.0
historical7d,500ms,MICRO,124276,6,1,-11.531249999995905,0.16666666666666666
historical7d,500ms,MICRO,124277,23,7,-53.93437499999976,0.30434782608695654
historical7d,500ms,MICRO,124278,1,1,20.212499999997817,1.0
historical7d,500ms,MICRO,124279,4,3,29.784374999999557,0.75
historical7d,500ms,MICRO,124280,3,1,-6.750000000004093,0.3333333333333333
historical7d,500ms,MICRO,124281,8,4,52.931250000000034,0.5
historical7d,500ms,MICRO,124282,4,2,10.424999999999045,0.5
historical7d,500ms,MICRO,124286,1,1,18.899999999999864,1.0
historical7d,500ms,MICRO,124287,3,2,34.781249999998636,0.6666666666666666
historical7d,500ms,MICRO,124288,5,1,12.656250000000853,0.2
historical7d,500ms,MICRO,124303,1,0,-3.8249999999982265,0.0
historical7d,500ms,MICRO,124304,2,0,-12.4125000000015,0.0
historical7d,500ms,MICRO,124305,2,1,10.218749999996248,0.5
historical7d,500ms,MICRO,124306,4,3,17.315624999999386,0.75
historical7d,500ms,MICRO,124309,1,1,19.921874999999147,1.0
historical7d,500ms,MICRO,124310,6,5,54.290624999999864,0.8333333333333334
historical7d,500ms,MICRO,124311,3,2,29.287500000003206,0.6666666666666666
historical7d,500ms,PRIMARY,124275,1,0,-15.412499999998772,0.0
historical7d,500ms,PRIMARY,124276,10,3,-6.0749999999927695,0.3
historical7d,500ms,PRIMARY,124277,9,3,102.52500000000737,0.3333333333333333
historical7d,500ms,PRIMARY,124278,2,0,-30.112499999995634,0.0
historical7d,500ms,PRIMARY,124279,5,4,99.78750000000218,0.8
historical7d,500ms,PRIMARY,124280,5,4,57.63749999999959,0.8
historical7d,500ms,PRIMARY,124281,6,3,79.76250000000164,0.5
historical7d,500ms,PRIMARY,124282,9,3,-52.01250000000641,0.3333333333333333
historical7d,500ms,PRIMARY,124283,1,0,-7.23749999999768,0.0
historical7d,500ms,PRIMARY,124284,1,0,-8.175000000001091,0.0
historical7d,500ms,PRIMARY,124285,4,1,-3.4875000000010914,0.25
historical7d,500ms,PRIMARY,124286,3,3,41.77500000000123,1.0
historical7d,500ms,PRIMARY,124287,5,3,3.149999999997135,0.6
historical7d,500ms,PRIMARY,124288,8,4,6.712499999999864,0.5
historical7d,500ms,PRIMARY,124289,3,1,-2.1000000000049113,0.3333333333333333
historical7d,500ms,PRIMARY,124303,3,1,-0.037500000000818545,0.3333333333333333
historical7d,500ms,PRIMARY,124305,2,0,-25.687499999997954,0.0
historical7d,500ms,PRIMARY,124306,4,2,89.62499999999864,0.5
historical7d,500ms,PRIMARY,124309,2,0,-17.474999999999454,0.0
historical7d,500ms,PRIMARY,124311,1,0,-15.299999999999727,0.0
historical7d,500ms,SECONDARY,124276,3,1,-2.3999999999978154,0.3333333333333333
historical7d,500ms,SECONDARY,124277,7,3,29.887500000004366,0.42857142857142855
historical7d,500ms,SECONDARY,124279,2,1,14.887500000000957,0.5
historical7d,500ms,SECONDARY,124280,1,0,-15.074999999998225,0.0
historical7d,500ms,SECONDARY,124281,5,3,57.82499999999686,0.6
historical7d,500ms,SECONDARY,124282,4,1,-15.300000000006552,0.25
historical7d,500ms,SECONDARY,124283,1,0,-7.987500000000409,0.0
historical7d,500ms,SECONDARY,124286,2,1,9.862499999997,0.5
historical7d,500ms,SECONDARY,124287,3,1,-0.6750000000010861,0.3333333333333333
historical7d,500ms,SECONDARY,124288,5,2,-38.287500000000136,0.4
historical7d,500ms,SECONDARY,124289,1,1,8.512500000001637,1.0
historical7d,500ms,SECONDARY,124303,2,0,-19.64999999999918,0.0
historical7d,500ms,SECONDARY,124305,3,1,-24.524999999999864,0.3333333333333333
historical7d,500ms,SECONDARY,124306,2,0,-30.787500000000136,0.0
historical7d,500ms,SECONDARY,124309,1,0,-15.187499999997272,0.0
historical7d,500ms,SECONDARY,124310,3,3,91.20000000000232,1.0
recent24h,1s,BURST,124319,1,0,-1.2374999999997272,0.0
recent24h,1s,BURST,124323,3,1,-12.562499999997954,0.3333333333333333
recent24h,1s,BURST,124324,1,0,-2.1374999999989086,0.0
recent24h,1s,MICRO,124319,3,1,-10.237500000005184,0.3333333333333333
recent24h,1s,MICRO,124322,2,0,-18.52500000000532,0.0
recent24h,1s,MICRO,124323,2,0,-14.887499999997544,0.0
recent24h,1s,MICRO,124324,1,0,-1.9499999999982265,0.0
recent24h,1s,PRIMARY,124318,1,0,-6.187500000002047,0.0
recent24h,1s,PRIMARY,124319,5,1,-51.15000000000123,0.2
recent24h,1s,PRIMARY,124321,1,1,15.749999999999318,1.0
recent24h,1s,PRIMARY,124322,4,0,-46.275000000003956,0.0
recent24h,1s,PRIMARY,124323,4,1,-32.66250000000696,0.25
recent24h,1s,PRIMARY,124324,7,2,-28.462500000000546,0.2857142857142857
recent24h,1s,SECONDARY,124319,2,1,16.61249999999768,0.5
recent24h,1s,SECONDARY,124321,1,0,-15.487500000000411,0.0
recent24h,1s,SECONDARY,124323,3,1,-2.5500000000010914,0.3333333333333333
recent24h,1s,SECONDARY,124324,3,2,20.249999999998636,0.6666666666666666
recent24h,500ms,BURST,124319,1,0,-0.5625000000020464,0.0
recent24h,500ms,BURST,124323,3,0,-13.83750000000191,0.0
recent24h,500ms,BURST,124324,1,0,-3.0375000000015002,0.0
recent24h,500ms,MICRO,124319,3,1,-10.35000000000423,0.3333333333333333
recent24h,500ms,MICRO,124322,2,0,-8.21250000000191,0.0
recent24h,500ms,MICRO,124323,2,0,-13.79999999999768,0.0
recent24h,500ms,MICRO,124324,1,0,-2.09999999999809,0.0
recent24h,500ms,PRIMARY,124318,1,0,-5.924999999999727,0.0
recent24h,500ms,PRIMARY,124319,5,1,-51.000000000001364,0.2
recent24h,500ms,PRIMARY,124321,1,1,15.487500000000411,1.0
recent24h,500ms,PRIMARY,124322,5,0,-49.87500000000409,0.0
recent24h,500ms,PRIMARY,124323,8,1,-97.76250000000232,0.125
recent24h,500ms,PRIMARY,124324,7,1,-66.03750000000218,0.14285714285714285
recent24h,500ms,SECONDARY,124319,3,1,0.7124999999984993,0.3333333333333333
recent24h,500ms,SECONDARY,124321,1,0,-15.0,0.0
recent24h,500ms,SECONDARY,124323,1,0,-15.974999999997408,0.0
recent24h,500ms,SECONDARY,124324,1,0,-15.2250000000015,0.0
