window,interval,segment_id,engine,side,side_sign,entry_index,exit_index,entry_ts,exit_ts,hold_sec,exit_reason,pnl_inr,mfe_usd,mae_usd,censored,fixed_balance_inr,range60_rel,spread_rel,activity_rel,er60,spread_to_range,dir_m10_rel,dir_m30_rel,dir_m60_rel,dir_m300_rel,dir_eff60,flow_align10,flow_align60,accel_10_60,accel_30_300,short_long_balance,pullback60,pullback300,market_heat,execution_heat,session_age_sec
historical7d,500ms,0,PRIMARY,BUY,1,5718,5960,1789573826.844,1789573965.96,139.1159999370575,emergency_stop,-15.412499999998772,0.0,-4.109999999999673,False,500.0,1.187861271676144,0.9666666666674246,0.49586776859504134,0.13560016386721335,0.14111922141115452,1.4285714285677162,2.4796380090489096,2.0623052959504347,2.2485029940113987,0.13560016386721335,0.26666666666666666,0.09836065573770492,-0.6337338673827184,0.23113501503751088,-0.20129942617260377,0.0,0.0,0.5890221181865177,0.4793388429755825,3247.7400000095367
historical7d,500ms,0,PRIMARY,BUY,1,6787,7045,1789574424.972,1789574554.4499998,129.4779999256134,emergency_stop,-15.22499999999809,0.17000000000007276,-4.059999999999491,False,500.0,2.4830633284232544,0.8333333333328281,2.3934426229508197,0.09877913429521452,0.05931198102016402,10.048387096775258,1.358649789030611,4.869300911850251,3.0329341317367,0.09877913429521452,0.04895104895104895,-0.03367875647668394,5.179086184925007,-1.6742843427060887,1.752400921109459,0.004744958481716695,0.003773584905742617,5.943069605734347,1.9945355191244738,3845.867999792099
historical7d,500ms,0,PRIMARY,BUY,1,8033,9765,1789575064.3500001,1789575964.473,900.1229999065399,max_hold,11.325000000001637,9.399999999999636,-1.4200000000000728,False,500.0,1.33658536585373,0.8888888888879265,0.9659863945578231,0.09181024309659744,0.102189781021813,0.9726027397254813,3.320463320463977,1.8568019093082406,3.4880239520960923,0.09181024309659744,0.09859154929577464,0.03054989816700611,-0.8841991695827593,-0.16756063163211543,-0.5258799006074373,0.029197080291946575,0.011713030746693623,1.2911232785797935,0.8586545729393575,4485.246000051498
historical7d,500ms,0,PRIMARY,SELL,-1,11701,12244,1789576948.978,1789577221.412,272.4340000152588,momentum_zero_cross,-9.262500000000955,2.3400000000001455,-2.600000000000364,False,500.0,1.6333973128605497,0.6906474820145014,1.3175355450236967,0.09016393442630805,0.056404230317208995,1.4218009478681322,2.215938303340936,2.962593516209569,2.018041237114746,0.09016393442630805,0.13043478260869565,0.08374384236453201,-1.5407925683414367,0.19789706622619008,-0.6714477510576233,0.008225616921446674,0.007092198581713209,2.152059018839966,0.9099526066352199,6369.873999834061
historical7d,500ms,0,PRIMARY,SELL,-1,13180,14943,1789577693.868,1789578593.993,900.125,max_hold,33.187500000001364,13.800000000000182,-1.2200000000002547,False,500.0,0.4801548886740368,0.6538461538458847,0.7466666666666667,0.02852852852850939,0.13709677419353064,-0.20224719101128188,0.06766917293244394,0.7862068965514213,1.9255813953485008,0.02852852852850939,0.060240963855421686,-0.09090909090909091,-0.9884540875627031,-1.857912222416057,-1.42318315498938,0.23790322580637768,0.0722972972972723,0.35851565020994747,0.4882051282049273,7114.763999938965
historical7d,500ms,0,PRIMARY,SELL,-1,16004,17275,1789579129.2659998,1789579778.929,649.6630001068115,emergency_stop,-15.149999999999864,3.130000000000109,-4.039999999999964,False,500.0,0.9158316633263012,1.0,0.8071748878923767,0.0709371293001664,0.12691466083150202,2.757894736843476,1.4159292035416844,1.4692874692883608,1.4055299539170873,0.0709371293001664,0.056179775280898875,-0.09420289855072464,1.288607267555115,0.01039924962459704,0.6495032585898562,0.02188183807408122,0.007235890014366636,0.739236320173696,0.8071748878923767,8550.161999702454
historical7d,500ms,0,PRIMARY,BUY,1,18191,19947,1789580254.921,1789581155.4060001,900.4850001335144,max_hold,45.48750000000041,14.489999999999782,-0.6000000000003638,False,500.0,1.096069868995746,0.9310344827602428,0.7745098039215687,0.10775997486655357,0.10756972111570243,3.7486338797818877,2.7806451612912992,1.254113345519781,2.0526893523604026,0.10775997486655357,0.1794871794871795,-0.046153846153846156,2.4945205342621066,0.7279558089308966,1.6112381715965014,0.03187250996048995,0.015594541910491394,0.8489168593202346,0.7210953346868547,9675.816999912262
historical7d,500ms,0,PRIMARY,BUY,1,20905,21093,1789581649.428,1789581743.4540002,94.02600026130676,emergency_stop,-15.412499999998772,1.949999999999818,-4.109999999999673,False,500.0,1.137472283813744,1.0,1.1935483870967742,0.022000830219990247,0.11306042884990598,0.7820512820513718,1.7730061349698387,0.5598591549294207,2.2519019442099086,0.022000830219990247,-0.01818181818181818,-0.005277044854881266,0.22219212712195102,-0.4788958092400699,-0.1283518410590594,0.2943469785572388,0.08633504859911807,1.3576282097131784,1.1935483870967742,11070.323999881744
historical7d,500ms,0,PRIMARY,BUY,1,22031,22224,1789582223.908,1789582321.921,98.01300001144409,emergency_stop,-15.037500000000819,0.0,-4.010000000000218,False,500.0,0.9713071200851568,1.0,1.0558375634517767,0.06404702970302065,0.12691466083150202,0.6000000000015916,0.23270440251633845,1.7358490566041334,1.8131578947370808,0.06404702970302065,0.0392156862745098,0.05027932960893855,-1.1358490566025417,-1.5804534922207423,-1.3581512744116422,0.12253829321612852,0.03533123028376802,1.0255425430340743,1.0558375634517767,11644.803999900818
historical7d,500ms,0,PRIMARY,SELL,-1,24219,24982,1789583356.9459999,1789583760.496,403.55000019073486,emergency_stop,-15.562499999998636,2.0100000000002183,-4.149999999999636,False,500.0,0.869395711500786,0.8823529411739529,0.8888888888888888,0.1309599491417737,0.13452914798176285,2.814814814816212,1.4501718213063144,1.2935635792775844,1.4511002444988237,0.1309599491417737,0.03529411764705882,0.04090909090909091,1.5212512355386276,-0.0009284231925092978,0.7601614061730593,0.022421524663355244,0.008045052292723821,0.7727961880006986,0.7843137254879581,12777.84199976921
historical7d,500ms,0,PRIMARY,SELL,-1,30551,30820,1789586926.748,1789587086.985,160.2369999885559,momentum_zero_cross,-10.424999999999045,0.0,-2.7799999999997453,False,500.0,1.39341421143896,0.905660377358102,1.4615384615384615,0.1304347826086337,0.11940298507450531,-0.48888888889167353,0.7999999999980597,2.6533864541810552,0.9435483870965672,0.1304347826086337,-0.05263157894736842,-0.008086253369272238,-3.1422753430727286,-0.14354838709850748,-1.642911865085618,0.12935323383094033,0.06753246753251785,2.036528462872326,1.323657474600303,16347.643999814987
historical7d,500ms,0,PRIMARY,BUY,1,39363,39559,1789592304.8969998,1789592403.4620001,98.56500029563904,emergency_stop,-27.862499999997684,9.100000000000364,-7.4299999999993815,False,500.0,2.4624808575805477,1.0714285714252072,1.6363636363636365,0.16876240900062697,0.07462686567146957,7.399999999997023,3.935828877005857,4.935483870966928,5.525291828796639,0.16876240900062697,0.3258426966292135,0.1411530815109344,2.4645161290300948,-1.5894629517907815,0.43752658861965665,0.004975124377992392,0.002539682539622484,4.029514130586351,1.7532467532412483,21725.792999744415
