segment,entry_open_ms,exit_open_ms,entry_price,exit_price,quantity_btc,entry_fee_usdt,exit_fee_usdt,net_pnl_usdt,hold_bars,exit_reason
development,1782637200000,1782640800000,60400.195005,60228.720575,0.0033079396479375623,0.1998001998001998,0.1992329727345953,-0.9662602381392844,2,below_sma
development,1782703800000,1782709200000,60202.766339999995,59800.09499500001,0.0033155808768697294,0.1996071408115606,0.19827205140041526,-1.7329686033573068,3,below_sma
development,1782736200000,1782741600000,60470.230005,59550.21000000001,0.003295189935971575,0.19926089333836236,0.19622925267699387,-3.4271308073838327,3,below_sma
development,1782874800000,1782887400000,59114.542499999996,58761.76442000001,0.0033591759915642698,0.19857615191830563,0.19739110826161954,-1.5810109168660347,7,below_sma
development,1782914400000,1783000800000,59527.77901499999,61908.07048,0.003330550356519623,0.19826026562122956,0.20618794620860595,7.52323237554657,48,max_hold
development,1783076400000,1783162800000,61947.418229999996,62481.733505000004,0.0032247253341748682,0.19976340895300707,0.2014864289567362,1.3217701658194017,48,max_hold
development,1783179000000,1783218600000,62959.464,62724.98182,0.003177083891569149,0.20002749889622776,0.19928252933928975,-1.144279585173507,22,below_sma
development,1783288800000,1783321200000,63123.545999999995,62944.512,0.0031652035455435727,0.19979887160648277,0.19923219255490998,-0.965710115734197,18,below_sma
development,1783353600000,1783396800000,63577.75299,63159.414495000005,0.00313955610485016,0.19960592253241005,0.19829252535653896,-1.7112956237600088,24,below_sma
development,1783440000000,1783459800000,63962.465249999994,63488.230005000005,0.0031153271617351493,0.1992640053248656,0.19778660738506504,-1.8744485525104722,11,below_sma
development,1783560600000,1783562400000,62427.648225,61885.042,0.0031859199534912293,0.19888949012955884,0.19716079013044277,-2.1247502793760304,1,below_sma
development,1783578600000,1783665000000,62853.400994999996,63874.056995000006,0.0031575851339373322,0.19846496459921392,0.20168777281167788,2.8226554750530966,48,max_hold
development,1783672200000,1783706400000,64364.155994999994,63792.088,0.003092232449106578,0.19902893172709668,0.19725996450986236,-2.1652561134712585,19,below_sma
development,1783733400000,1783735200000,64260.934409999994,63980.943525,0.003090467248047079,0.19859631312300652,0.19773101046316233,-1.261629983430339,1,below_sma
development,1783780200000,1783810800000,64413.100455,64170.988455,0.0030792530991239834,0.19834423920024322,0.1975987150739081,-1.1414670806092317,17,below_sma
development,1783868400000,1783893600000,64235.18154,63888.43980000001,0.003084231555041265,0.19811617384947214,0.19704674203351424,-1.4645947318408616,14,below_sma
development,1784005200000,1784091600000,62776.61261999999,64713.63699500001,0.0031512300405071463,0.19782354752942402,0.20392755692911865,5.702258295236106,48,max_hold
development,1784122200000,1784151000000,65345.376359999995,64838.434565,0.003044788643958536,0.19896285987612455,0.19741932925556063,-1.9399128096955849,16,below_sma
development,1784307600000,1784394000000,63625.797,64271.32826000001,0.0031209866794934204,0.19857526490915242,0.20058995937280907,1.6155292393746947,48,max_hold
development,1784397600000,1784455200000,64512.52013999999,64477.745,0.003083092205084062,0.19889804797396254,0.19879083301089787,-0.504903844049494,32,below_sma
development,1784500200000,1784509200000,64792.38,64521.573075,0.003068218331924859,0.19879716808504158,0.19796627331334438,-1.227658213095566,5,below_sma
development,1784548800000,1784556000000,65034.501,64311.83799500001,0.003053023836206243,0.19855188172877875,0.19634557434896935,-2.601204835887131,4,below_sma
development,1784563200000,1784649600000,65631.549375,66643.191735,0.0030173317919305522,0.19803216048284727,0.20108462113773892,2.6533438732710977,48,max_hold
development,1784739600000,1784741400000,66262.12450499999,65959.973515,0.002996618363841962,0.19856229911886544,0.19765686791357848,-1.3016503723193864,1,below_sma
development,1784863800000,1784885400000,65356.872104999995,64932.947285,0.0030341450367425906,0.198302229114406,0.19701597972585103,-1.6815675973952295,12,below_sma
development,1785004200000,1785090600000,64452.21,64656.265695,0.003071519992448186,0.19796625157246892,0.19859301271923432,0.23020188247369333,48,max_hold
development,1785105000000,1785155400000,65236.602,64976.77536,0.0030352936830551286,0.19801224595458158,0.19722359579550014,-1.1838860008314782,28,below_sma
development,1785258000000,1785259800000,64075.291634999994,63704.141995000005,0.0030866142041411056,0.19777570529507474,0.19663010954438892,-1.5400015655253014,1,below_sma
development,1785306600000,1785340800000,64435.201499999996,63932.027995000004,0.003064598357383739,0.19746801267459024,0.1959259879776882,-1.9354186975542405,19,below_sma
development,1785403800000,1785463200000,64528.26800999999,64531.718,0.0030541857345617886,0.1970813156321218,0.1970918525423642,-0.3836362579320678,33,below_sma
development,1785637800000,1785672000000,63437.172735,63000.474005000004,0.003105508277522015,0.19700466503113637,0.19564849351033803,-1.7488246793398048,19,below_sma
development,1785765600000,1785839400000,63382.765544999995,63438.26500000001,0.0031026612332207093,0.19665524951078878,0.19682744551828218,-0.2212866875356383,41,below_sma
development,1785868200000,1785927600000,64396.372095,64030.198885000005,0.0030531383987960985,0.19661103638640606,0.19549305889834467,-1.510081583346107,33,below_sma
development,1785947400000,1786014000000,64780.123875,64583.642025,0.003030394356193856,0.19630932178433888,0.19571390429500435,-0.9874407154138396,37,below_sma
development,1786093200000,1786179600000,64632.299999999996,64961.38306,0.003034272816101367,0.19611203093210836,0.1971105587153058,0.6053051935500662,48,max_hold
development,1786199400000,1786228200000,65169.26834999999,64961.00325,0.0030111274224658346,0.19623297103071977,0.19560585827696722,-1.0189515830602147,16,below_sma
development,1786282200000,1786318200000,65120.543999999994,64883.38208,0.003010254095863167,0.1960293843008376,0.19531546665977484,-1.1052624920233143,20,below_sma
development,1786442400000,1786458600000,64332.149999999994,63994.64667000001,0.003043712243941788,0.1958085526340997,0.1947812896162076,-1.4178528601423466,9,below_sma
development,1786501800000,1786503600000,63930.249149999996,63717.895115,0.0030584155067281786,0.19552526534935596,0.19487579847579564,-1.0398679373854236,1,below_sma
development,1786527000000,1786545000000,64015.981994999995,63626.171,0.003051074019968262,0.1953174995277005,0.19412815732815805,-1.5787878563982929,10,below_sma
development,1786599000000,1786613400000,63974.64133499999,63625.89114000001,0.0030481148987992215,0.19500205739855,0.1939390267332114,-1.4519717494703457,8,below_sma
development,1786824000000,1786840200000,63157.633035,63040.20413,0.0030829520328128548,0.19471195315290157,0.1943499254715208,-0.7510895600051697,9,below_sma
development,1786894200000,1786912200000,63141.815129999995,63063.03271000001,0.0030813476759920426,0.1945618853087447,0.19431912928196868,-0.6316370413667016,10,below_sma
development,1786935600000,1787022000000,63435.031664999995,64071.168390000006,0.003065115268303042,0.1944356841016784,0.19638551649020425,1.5590111879339759,48,max_hold
development,1787063400000,1787104800000,65027.57754,64368.269765000005,0.0029948397620797847,0.19474717484851833,0.1927726537085,-2.362040968575343,23,below_sma
development,1787144400000,1787155200000,64914.591075,68858.21367000001,0.0029927822909121015,0.19427523859106074,0.20607764245541763,11.402050983310403,7,terminal_liquidation_at_last_close
evaluation,1787245200000,1787331600000,72873.56857499998,77447.266995,0.002741737555977783,0.19980019980019983,0.2123400805280301,12.127740447502077,48,max_hold
evaluation,1787347800000,1787376600000,78129.045,77266.497425,0.0025883245438970324,0.2022233247647357,0.19999077170608434,-2.634767155122205,16,below_sma
evaluation,1787491800000,1787536800000,77478.36982499999,76883.64894500001,0.00260326718561951,0.20169689776071528,0.2001486804092086,-1.9500629296765908,25,below_sma
evaluation,1787567400000,1787652000000,77897.28917999999,79147.6064,0.0025842654720958924,0.20130727479774294,0.2045384264185559,2.8253059195966728,47,below_sma
evaluation,1787788800000,1787875200000,79063.261875,80209.465205,0.0025532942443500096,0.20187177148497504,0.20479836585031888,2.5199242280085627,48,max_hold
evaluation,1787880600000,1787889600000,81171.535485,79770.57476,0.002493180049385788,0.20237525284921257,0.19888240551966954,-3.8941049879118736,5,below_sma
evaluation,1788015600000,1788082200000,78053.37718499999,77952.654175,0.002582812136581414,0.20159720989458482,0.20133706128192383,-0.6630828838374612,37,below_sma
evaluation,1788093000000,1788129000000,78667.303995,78342.91894500001,0.002560971529095682,0.20146472580191,0.20063398492439577,-1.2328395882405232,20,below_sma
evaluation,1788168600000,1788177600000,78691.396035,78276.272285,0.0025570572431624036,0.201218404205858,0.20015690901411176,-1.4628705049661619,5,below_sma
evaluation,1788199200000,1788229800000,78936.798675,78176.882005,0.002545405004501646,0.20092612238668392,0.1989918266918617,-2.334213643900739,17,below_sma
evaluation,1788242400000,1788251400000,79219.57999500001,77849.04600500001,0.0025304318206043046,0.20045974603425623,0.19699170321474047,-3.8654942687647065,5,below_sma
evaluation,1788402600000,1788413400000,77637.45933,77161.409995,0.002572049900013524,0.19968741950703053,0.19846299686254226,-1.6225730608577749,6,below_sma
evaluation,1788420600000,1788507000000,77992.99701,80821.618975,0.0025561683321352426,0.1993632290852807,0.20659366297579584,6.8244769984541165,48,max_hold
evaluation,1788521400000,1788526800000,81376.86809999999,79414.223025,0.002466631680964184,0.20072676095310366,0.19588563843262036,-5.237734919869041,3,below_sma
evaluation,1788624000000,1788678000000,79845.90299999999,79744.757675,0.0025008203673219575,0.19968026046961337,0.19942731418079399,-0.6520538634697459,30,below_sma
