partition,date,pnl,final,pf,trades,wins,losses,maxdd,peak,best,worst,avg,max_losing_streak,without_best_pnl,v41_trades,breakout_trades,median_mfe,median_mae,mean_hold
development,2026-09-16,83.4090189445935,583.4090189445935,1.4922428935880363,19,7,12,95.70252643831084,647.5120023233166,91.80260084046589,-26.090870917705697,4.389948365504923,6,-8.393581895872387,15,4,14.564965872018233,-8.845523846810297,196.60526315789477
development,2026-09-17,13.130557565723326,513.1305575657233,1.0586992543020857,38,16,22,107.34287657029546,602.408558341576,44.44337625000109,-17.229802331814312,0.345540988571667,6,-31.31281868427777,26,12,9.330999302246866,-6.337326493095719,263.92105263157896
development,2026-09-18,88.54775872227417,588.5477587222741,1.7740201185147793,34,19,15,65.54103323294714,654.0887919552213,52.80371023963161,-18.74957151698557,2.604345844772768,2,35.744048482642555,24,10,12.991384677914017,-4.445041158800854,310.5
development,2026-09-21,14.436103011298986,514.436103011299,2.249419431455401,4,2,2,20.933714062499632,529.0107327777031,20.267329687500773,-9.562500000000682,3.6090257528247465,1,-5.831226676201787,3,1,12.21132596299362,-5.549857824973351,388.375
validation,2026-09-21,71.0774776544588,571.0774776544588,2.0951216713316425,9,3,5,34.78985128995453,600.9570413258303,82.37300854687808,-18.741426047643756,7.89749751716209,2,-11.29553089241928,5,4,2.2913624999979247,-13.22296015556233,189.77777777777777
validation,2026-09-22,50.94803009680203,550.9480300968021,1.7665542997661825,10,4,6,40.79015464774892,575.3875075046907,47.60491849806172,-15.187499999997272,5.094803009680203,3,3.3431115987403075,3,7,5.92712006390701,-11.789289714343465,334.85
