strategy,partition,observed_hours,net_pnl_inr,avg_pnl_per_observed_hour_inr,trades,trades_per_observed_hour,constrained_expost_opportunity_inr,capture_ratio,hours_market_offered_50,hours_strategy_made_50,hours_made_50_when_offered,hours_captured_at_least_half_ceiling
V4.1 locked,development,68,127.5224535143375,1.8753301987402573,69,1.0147058823529411,5565.712499999982,0.022912152489791362,47,1,1,6
V4.1 locked,validation,22,38.78559494627538,1.7629815884670628,8,0.36363636363636365,1916.8875000000241,0.020233631314448497,15,1,1,1
V4.2 research candidate f75134b98dc1,development,68,225.1104326700547,3.3104475392655104,95,1.3970588235294117,5565.712499999982,0.040445932604326114,47,2,2,7
V4.2 research candidate f75134b98dc1,validation,22,129.2680226927491,5.8758192133067775,19,0.8636363636363636,1916.8875000000241,0.06743641590481834,15,2,2,1
