strategy,partition,net_pnl_inr,profit_factor,trades,max_drawdown_inr,best_trade_inr,without_best_pnl_inr,v41_component_trades,secondary_breakout_trades
V4.1 locked,development,127.52245351433746,1.3232894177866077,69,87.29408519070523,86.90729580748761,,,
V4.1 locked,validation,38.785594946275374,1.8107023608335064,8,40.17534359410365,79.02574489753285,,,
V4.2 research candidate f75134b98dc1,development,225.11043267005476,1.385641354118134,95,125.24960462113336,91.80260084046589,133.30783182958885,68.0,27.0
V4.2 research candidate f75134b98dc1,validation,129.2680226927491,1.917995279221139,19,76.46824093011503,82.37300854687808,46.895014145871016,8.0,11.0
