window,interval,exit_reason,trades,wins,pnl_inr,range60_rel,spread_rel,activity_rel,er60,spread_to_range,dir_m10_rel,dir_m30_rel,dir_m60_rel,dir_m300_rel,dir_eff60,flow_align10,flow_align60,accel_10_60,accel_30_300,short_long_balance,pullback60,pullback300,market_heat,execution_heat,session_age_sec
historical7d,1s,emergency_stop,25,0,-498.7897911792899,1.078740157480097,0.794520547944591,1.0310077519379846,0.09877913429521452,0.0750360750358724,1.5350140056022437,1.8282208588963353,2.0396600566580823,2.2152713891448026,0.09877913429521452,0.06976744186046512,0.036755386565272496,-0.013092718959641092,-0.0009284231925092978,-0.20129942617260377,0.03352601156079599,0.03257042253528527,1.3576282097131784,0.7843137254879581,10014.392999887466
historical7d,1s,max_hold,24,20,500.74368491012444,1.2401717641067873,0.8153409090923713,1.0095950936428384,0.09318888524568913,0.1032549676880728,1.822613711386096,1.5791304347832589,1.4403451931756137,2.1714208124902266,0.09318888524568913,0.12844378257632166,0.03729868590060271,-0.46732450051379404,-0.6404485512346185,-0.4459015959208592,0.10087755608870544,0.041359899339942524,1.1695463308918004,0.8231235224591851,4696.5940001010895
historical7d,1s,momentum_zero_cross,18,5,-51.74731356568887,1.2166442048516837,0.8118498416997413,0.9638746803069054,0.10367581245806637,0.13221048756356366,1.3553921568637952,1.5036480995561634,1.8897751892190024,1.4646769166428926,0.10367581245806637,0.05792349726775956,0.03947903947903948,-0.5236379459076885,0.023270891622345247,-0.28031063200733436,0.032915173237699304,0.04392129010692769,1.0806902815437933,0.8134554464095822,10624.386000156403
historical7d,500ms,emergency_stop,23,0,-536.2593320881203,1.343320848938285,0.8275862068959029,1.0285714285714285,0.10581639803779043,0.07788595271202378,1.9253731343294522,1.6595744680864513,2.2474226804127837,2.2485029940113987,0.10581639803779043,0.08333333333333333,0.05045871559633028,0.22219212712195102,-0.39172509006136336,-0.20129942617260377,0.025337837838083337,0.00929944203356762,1.381701444622236,0.8512315270929286,8259.351000070572
historical7d,500ms,max_hold,27,23,802.31979960391,1.33658536585373,0.7160493827156058,0.9814814814814815,0.08586426696669096,0.10756972111570243,1.301369863009739,1.2950391644912733,1.4585987261163211,2.056807051909335,0.08586426696669096,0.075,0.008771929824561403,-0.5936182038154938,-0.7832260340402772,-0.5159906319699137,0.10497237569054851,0.04757929883136308,1.309308113489368,0.7933471933462477,4648.391999959946
historical7d,500ms,momentum_zero_cross,21,9,24.441307905552044,1.2101616628171017,0.7733333333322985,1.0147058823529411,0.1010207673352023,0.11940298507450531,1.2549019607848733,1.9594594594585626,2.0135593220341907,1.5041128084605104,0.1010207673352023,0.04918032786885246,0.047619047619047616,-0.7515009829444217,0.19789706622619008,-0.3279013133470934,0.02549575070825179,0.03315508021384798,1.1413043478256681,0.8588957055214724,7897.273000240326
recent24h,1s,emergency_stop,9,0,-129.78376680755701,1.3333333333329724,0.8235294117673808,1.1506849315068493,0.1357837181044575,0.07676767676750379,2.272300469482317,2.48797250859174,2.60869565217634,2.9521410579341545,0.1357837181044575,0.1650485436893204,0.045627376425855515,-0.593989769823084,-1.0695251424321697,-1.1599726455727746,0.05076628352479023,0.022438611346268362,1.806582820444555,0.8689655172428846,5111.97200012207
recent24h,1s,max_hold,5,5,50.37234950391856,1.1479642502487866,0.7666666666647466,1.013157894736842,0.08134462406981302,0.11057692307671706,1.2941176470565576,1.8899676375415237,2.1718750000009845,2.0706638115631524,0.08134462406981302,0.042735042735042736,0.05565529622980251,-0.05350140056222186,-0.6149633289272927,-0.4381076235445447,0.012019230769056286,0.0038491147035622205,1.1677567373220414,0.6987295825765846,6578.462999820709
recent24h,1s,momentum_zero_cross,6,0,-39.23801049521741,1.543447313861895,0.9111111111114383,1.1603773584905661,0.09654041796892474,0.10924426909727929,2.5530359820051487,2.581409035831112,2.0706308777430893,2.0692771084341572,0.09654041796892474,0.20458265139116202,0.03932817362163887,0.5173900008377327,1.175084113180149,1.2757049806232477,0.01453586552703413,0.009287103480657132,1.892906825992414,1.13663522012684,5765.550500035286
recent24h,500ms,emergency_stop,13,0,-172.8427687581279,1.325301204819588,0.8750000000028422,1.2935779816513762,0.09266287160024388,0.09443507588526728,3.497005988023887,2.48797250859174,2.5602409638542434,2.6748681898066438,0.09266287160024388,0.08108108108108109,0.04310344827586207,0.2950664136614214,-0.5979069236337797,-0.27845414037319094,0.05076628352479023,0.030344827586120383,1.6980322003578738,1.0248366013058188,5193.40700006485
recent24h,500ms,max_hold,4,4,39.815581883983775,1.147927750300215,0.7987179487176022,1.0084745762711864,0.08784745327775721,0.11436942433933309,1.2919863597622832,2.4954888692755017,1.9622079129650443,2.0131386942930836,0.08784745327775721,0.011645569620253166,0.060270396206504304,-1.1191112996387134,0.20769148025951722,-0.4557099096895981,0.006009615384528143,0.0019245573517811102,1.1594713608991163,0.7376424238994314,7110.441499948502
recent24h,500ms,momentum_zero_cross,7,0,-51.340367837668765,1.5737051792830214,0.9206349206346457,1.1238095238095238,0.10775862068964052,0.13526570048292835,2.396551724129712,1.712538226300133,1.7045454545452432,2.1425322068890162,0.10775862068964052,0.19047619047619047,0.09041095890410959,-0.0030332841484321804,0.4665913147243609,1.125855787354277,0.06511627906993074,0.05162738496082529,1.7715882998900698,1.0324528301916527,4908.667000055313
