window,feature,pairs,spearman,median_abs_diff,median_500,median_1s
historical7d,range60_rel,119,0.936697051702037,0.0,1.5578947368422038,1.4984802431611992
historical7d,spread_rel,119,0.799513579580352,0.0,0.8095238095257687,0.8115942028982833
historical7d,activity_rel,119,0.9631868963505884,0.0,1.125,1.1317365269461077
historical7d,er60,119,0.8627688363480986,0.0009089886968287053,0.11023622047234706,0.1056910569103134
historical7d,spread_to_range,119,0.9144139011536818,0.00023781280168022612,0.0665083135391457,0.06846846846833324
historical7d,dir_m10_rel,119,0.8372169206665717,0.03921568627541894,2.580645161287578,2.4430379746840254
historical7d,dir_m30_rel,119,0.8821749038598492,0.030303030301847222,2.4552058111361865,2.325259515571805
historical7d,dir_m60_rel,119,0.9214997863552202,0.022988505748049226,2.4012158054703767,2.2839756592294873
historical7d,dir_m300_rel,116,0.9839387998308539,0.007974200402070253,1.919933554816963,1.9508294014656076
historical7d,dir_eff60,119,0.8627688363480986,0.0009089886968287053,0.11023622047234706,0.1056910569103134
historical7d,flow_align10,119,0.8419886906718201,0.005239933811362396,0.10344827586206896,0.09375
historical7d,flow_align60,119,0.9171110189286343,0.0011299435028248594,0.04090909090909091,0.03745318352059925
historical7d,accel_10_60,119,0.8592080900156673,0.09306202710244982,-0.04372658989175893,-0.10909313275993782
historical7d,accel_30_300,116,0.9503248375812096,0.06334297370194719,0.24865994084981957,0.1741348044879638
historical7d,short_long_balance,116,0.9207396301849076,0.04391211538898693,-0.00583660612766812,-0.024520535054890158
historical7d,pullback60,119,0.6990544874149985,0.0,0.020012315270981032,0.03187250996048995
historical7d,pullback300,119,0.7638096398735016,0.0,0.020372526193374672,0.03315508021384798
historical7d,market_heat,119,0.9604614727246834,0.003504767382344287,1.6696524064171097,1.6696524064171097
historical7d,execution_heat,119,0.9223543654750037,0.016653277460696003,0.8853905784129799,0.9072580645162888
historical7d,session_age_sec,119,0.999957271044011,0.4480001926422119,6207.22000002861,6209.320999860764
recent24h,range60_rel,27,0.9365079365079364,0.0,1.5737051792830214,1.5131894484407684
recent24h,spread_rel,27,0.7409896497137284,0.0,0.8787878787879623,0.8387096774189763
recent24h,activity_rel,27,0.9108669108669109,0.0,1.1506849315068493,1.238532110091743
recent24h,er60,27,0.9438339438339439,0.0,0.10775862068964052,0.11711711711707105
recent24h,spread_to_range,27,0.9438339438339439,0.0,0.10000000000019489,0.09191759112519399
recent24h,dir_m10_rel,27,0.9566544566544567,0.0,2.575539568344288,2.554347826087698
recent24h,dir_m30_rel,27,0.92002442002442,0.0,2.6,3.1010101010094795
recent24h,dir_m60_rel,27,0.956043956043956,0.0,2.60869565217634,2.6084507042264606
recent24h,dir_m300_rel,26,0.9158974358974358,0.0,2.086487021293363,2.054607832251593
recent24h,dir_eff60,27,0.9438339438339439,0.0,0.10775862068964052,0.11711711711707105
recent24h,flow_align10,27,0.8595848595848596,0.0,0.11538461538461539,0.10714285714285714
recent24h,flow_align60,27,0.8754578754578756,0.0,0.05065666041275797,0.045627376425855515
recent24h,accel_10_60,27,0.9645909645909645,0.0,-0.05350140056222186,-0.10368879945968068
recent24h,accel_30_300,26,0.9452991452991453,0.0,0.4665913147243609,0.954710729851412
recent24h,short_long_balance,26,0.9897435897435896,0.0,0.364164635289509,0.17438096655114077
recent24h,pullback60,27,0.6919004885206391,0.0,0.012019230769056286,0.013392857142744762
recent24h,pullback300,27,0.8613954704134712,0.0,0.01783439490461534,0.009925558312870128
recent24h,market_heat,27,0.9737484737484736,0.0,1.7715882998900698,1.8853889943080187
recent24h,execution_heat,27,0.8797313797313797,0.0,0.884754990925701,0.8689655172428846
recent24h,session_age_sec,27,0.9999999999999999,0.0,5983.306999921799,5983.503999948502
