context,entry_ts,ratchet_exit_ts,side,held_sec,peak_move_usd,exit_move_usd,retained_fraction,trade_pnl_inr,legacy_same_tick_exit
historical7d:500ms:segment0,1789575064.3500001,1789575444.4529998,BUY,380.1029996871948,9.399999999999636,4.6899999999996,0.49893617021274267,16.625491942365493,False
historical7d:500ms:segment0,1789592304.8969998,1789592399.967,BUY,95.07000017166138,9.100000000000364,1.4900000000006912,0.16373626373633315,5.419711646611668,False
historical7d:500ms:segment0,1789593033.9889998,1789593594.4899998,SELL,560.5009999275208,21.299999999999272,9.75,0.4577464788732551,32.42188098340672,False
historical7d:500ms:segment0,1789596332.446,1789596462.492,SELL,130.0460000038147,16.159999999999854,6.519999999999527,0.40346534653462784,29.64068683627287,False
historical7d:500ms:segment0,1789598469.9750001,1789598510.42,BUY,40.4449999332428,4.5900000000001455,0.7699999999995271,0.1677559912852947,3.373547298627723,False
historical7d:500ms:segment0,1789618633.982,1789618784.344,BUY,150.3619999885559,4.039999999999964,1.6700000000000728,0.4133663366336851,7.977913922769182,False
historical7d:500ms:segment0,1789621006.3980002,1789621381.471,SELL,375.07299971580505,4.059999999999491,1.9399999999995998,0.4778325123152323,9.383834941090248,False
historical7d:500ms:segment0,1789623087.402,1789623432.9950001,SELL,345.5930001735687,4.149999999999636,1.1899999999995998,0.2867469879517359,5.698782909394511,False
historical7d:500ms:segment0,1789635294.824,1789635904.982,BUY,610.1580002307892,5.509999999999309,2.7100000000000364,0.49183303085306285,13.228266396484743,False
historical7d:500ms:segment0,1789640864.822,1789641019.996,BUY,155.17400002479553,4.079999999999927,1.8100000000004002,0.44362745098049816,9.419527772402148,False
historical7d:500ms:segment0,1789643496.452,1789643646.493,SELL,150.04100012779236,5.25,2.5600000000004,0.48761904761912384,13.503501948339505,False
historical7d:500ms:segment0,1789656821.38,1789656976.3969998,BUY,155.0169997215271,4.229999999999563,1.4799999999995634,0.3498817966902402,8.016236445408675,False
historical7d:500ms:segment0,1789661749.9420002,1789661990.224,BUY,240.28199982643127,5.920000000000073,2.3100000000004,0.3902027027027655,14.529724888253941,False
historical7d:500ms:segment0,1789664819.497,1789665039.976,BUY,220.47900009155273,4.0,1.4399999999995998,0.35999999999989996,9.197869907049311,False
