interval,window_id,source,source_range_id,start_ts,end_ts,candidate_d_pnl,candidate_g_pnl,candidate_d_trades,candidate_g_trades,candidate_d_wins,candidate_g_wins,candidate_g_ratchet_exits,candidate_g_ghost_releases
500ms,33,recent24h,0,1790189936.464,1790204335.328,-27.100950513536418,-26.75154353660082,8,8,2,2,1,1
500ms,34,historical7d,335,1789741987.817,1789756387.4169998,9.462971469549643,10.62935344946527,15,15,7,7,2,2
500ms,35,recent24h,0,1790189934.408,1790204333.932,-27.100950513536418,-26.75154353660082,8,8,2,2,1,1
500ms,36,historical7d,133,1789633828.421,1789648227.993,41.066441202094325,42.33964354032207,6,6,4,4,3,3
500ms,37,recent24h,0,1790189969.912,1790204369.7129998,-27.100950513536418,-26.75154353660082,8,8,2,2,1,1
500ms,38,historical7d,0,1789575065.2510002,1789589464.929,-9.291546096273748,-9.291546096273748,12,12,3,3,0,0
500ms,39,recent24h,0,1790189976.868,1790204376.071,-27.100950513536418,-26.75154353660082,8,8,2,2,1,1
1s,0,historical7d,364,1789753166.977,1789767565.912,10.988054746574676,3.285010104037383,7,7,3,4,2,2
1s,1,recent24h,0,1790189985.994,1790204383.9699998,-27.861680295516123,-26.918893492045186,8,8,2,2,1,1
1s,2,historical7d,364,1789745114.889,1789759513.9139998,-34.73431414987373,-28.968328781137963,13,13,5,6,3,3
1s,3,recent24h,0,1790189936.906,1790204335.977,-27.861680295516123,-26.918893492045186,8,8,2,2,1,1
1s,4,historical7d,364,1789749343.934,1789763742.375,-20.268989729956235,-23.00229898926132,10,10,4,5,3,3
1s,5,recent24h,0,1790189994.9,1790204393.9980001,-27.861680295516123,-26.918893492045186,8,8,2,2,1,1
1s,6,historical7d,364,1789742419.851,1789756818.76,-11.718963605478848,12.049768382074376,13,13,6,7,3,3
1s,7,recent24h,0,1790189941.825,1790204340.9390001,-27.861680295516123,-26.918893492045186,8,8,2,2,1,1
1s,8,historical7d,153,1789660917.9550002,1789675316.983,-16.139449866947132,9.639532451781236,12,12,5,6,2,2
1s,9,recent24h,0,1790189970.9699998,1790204370.9139998,-27.861680295516123,-26.918893492045186,8,8,2,2,1,1
1s,10,historical7d,364,1789751658.9889998,1789766058.825,17.968629812802078,15.017458382170844,9,9,5,6,3,3
1s,11,recent24h,0,1790189993.8409998,1790204392.9910002,-27.861680295516123,-26.918893492045186,8,8,2,2,1,1
1s,12,historical7d,0,1789579743.9910002,1789594142.926,-62.00636948572719,-66.50282903153851,13,13,2,2,2,2
1s,13,recent24h,0,1790189941.825,1790204340.9390001,-27.861680295516123,-26.918893492045186,8,8,2,2,1,1
1s,14,historical7d,153,1789657263.951,1789671662.9689999,-23.727250224025017,22.640795212827353,18,18,7,9,2,2
1s,15,recent24h,0,1790189933.812,1790204332.775,-27.861680295516123,-26.918893492045186,8,8,2,2,1,1
1s,16,historical7d,0,1789571816.526,1789586214.2259998,14.609864783686362,16.068601408268023,15,15,6,6,1,1
1s,17,recent24h,0,1790189971.9169998,1790204370.9139998,-27.861680295516123,-26.918893492045186,8,8,2,2,1,1
1s,18,historical7d,364,1789751493.95,1789765893.804,17.968629812802078,15.017458382170844,9,9,5,6,3,3
1s,19,recent24h,0,1790189969.912,1790204369.7129998,-27.861680295516123,-26.918893492045186,8,8,2,2,1,1
1s,20,historical7d,364,1789754338.9459999,1789768737.961,25.18841106913044,17.271298841888438,7,7,3,4,2,2
1s,21,recent24h,0,1790189969.912,1790204368.962,-27.861680295516123,-26.918893492045186,8,8,2,2,1,1
1s,22,historical7d,364,1789743417.7340002,1789757816.999,-2.759491305122716,-3.157048465387555,15,15,7,7,2,2
1s,23,recent24h,0,1790189950.881,1790204349.992,-27.861680295516123,-26.918893492045186,8,8,2,2,1,1
