interval,extra_slippage_usd_per_side,historical_candidate_d_compounded_pnl_inr,historical_candidate_g_compounded_pnl_inr,historical_delta_g_vs_d_inr,recent_candidate_d_terminal_equity_pnl_inr,recent_candidate_g_terminal_equity_pnl_inr,recent_delta_g_vs_d_inr,historical_candidate_g_ratchet_exits,historical_candidate_g_ghost_releases,recent_candidate_g_ratchet_exits,recent_candidate_g_ghost_releases
500ms,0.0,1430.311133793068,1005.5704585875842,-424.74067520548374,-223.27329174700338,-207.4017278367067,15.871563910296686,25,24,5,5
500ms,0.05,1164.8109181225905,1055.8423973181048,-108.9685208044857,-228.5917885979548,-207.75673554511008,20.835053052844728,21,20,5,5
500ms,0.1,964.1613580745292,894.2044545552532,-69.95690351927601,-232.58559413921654,-210.82992810361105,21.755666035605486,21,21,5,5
500ms,0.2,335.0871578930338,277.3976890312272,-57.68946886180663,-240.88778913584088,-220.72973710373094,20.158052032109936,22,22,5,5
1s,0.0,385.2544619534224,325.5349103676397,-59.71955158578265,-135.9095261798986,-132.0745284847576,3.8349976951409985,23,22,5,5
1s,0.05,281.9016479168638,229.53961909749142,-52.36202881937237,-140.26333968522584,-130.30682463899103,9.956515046234813,21,20,5,5
1s,0.1,248.12032921993654,146.29674899522183,-101.8235802247147,-143.91095503479,-131.78236299307986,12.128592041710135,22,22,5,5
1s,0.2,35.88449127824222,-42.99465457246654,-78.87914585070877,-155.80934360412596,-144.64224110664384,11.16710249748212,21,21,5,5
