exit_day_utc,pnl_inr,trades
2026-09-16,23.04000291531898,24
2026-09-17,-73.70810650326486,29
2026-09-18,18.010382097338223,26
2026-09-21,-13.250473900217013,9
2026-09-22,-5.287500000000591,1
