trade_id,interval,segment_id,engine,side,side_sign,entry_ts,exit_ts,exit_reason,hold_sec,entry_oz,pnl_inr,mfe_usd,mae_usd,entry_m10,entry_m30,entry_m60,entry_m120,entry_qacc,entry_imb10,entry_range60,entry_spread,entry_directional_imb10
500ms-s0-t0,500ms,0,BURST,BUY,1,1789573152.468,1789573195.315,momentum_zero_cross,42.84700012207031,0.039184093139022026,3.000000000000682,1.4400000000005093,-0.3000000000001819,1.0,3.0799999999999272,2.0650000000005093,2.1900000000005093,1.2616822429906542,0.28888888888888886,4.0349999999998545,0.27999999999974534,0.28888888888888886
500ms-s0-t1,500ms,0,PRIMARY,BUY,1,1789573826.844,1789573965.96,emergency_stop,139.1159999370575,0.03941919769785621,-15.504974999998787,0.0,-4.109999999999673,0.464999999999236,1.3699999999989814,1.6549999999988358,2.8149999999996,0.5769230769230769,0.2571428571428571,2.0499999999992724,0.2899999999999636,0.2571428571428571
500ms-s0-t2,500ms,0,PRIMARY,BUY,1,1789574424.972,1789574554.4499998,emergency_stop,129.4779999256134,0.03820410092881989,-14.844223511248194,0.17000000000007276,-4.059999999999491,3.1149999999997817,0.7749999999996362,4.005000000000109,4.190000000000509,0.9182389937106918,0.04895104895104895,4.194999999999709,0.25,0.04895104895104895
500ms-s0-t3,500ms,0,PRIMARY,BUY,1,1789575064.3500001,1789575964.473,max_hold,900.1229999065399,0.03704078605553747,10.705540653721817,9.399999999999636,-1.4200000000000728,0.4600000000009459,2.1500000000005457,1.9450000000006185,0.8550000000004729,0.8252788104089219,0.1232876712328767,2.6850000000004,0.27999999999974534,0.1232876712328767
500ms-s0-t4,500ms,0,PRIMARY,SELL,-1,1789576948.978,1789577221.412,momentum_zero_cross,272.4340000152588,0.037879759859695515,-8.954176238190282,2.3400000000001455,-2.600000000000364,-0.75,-2.1549999999997453,-2.9700000000002547,-1.7799999999997453,0.9834905660377359,-0.13043478260869565,4.214999999999236,0.23999999999978172,0.13043478260869565
500ms-s0-t5,500ms,0,PRIMARY,SELL,-1,1789577693.868,1789578593.993,max_hold,900.125,0.03717803730829459,31.48844376189823,13.800000000000182,-1.2200000000002547,0.29500000000007276,-0.06499999999959982,-0.625,-0.23999999999978172,0.946236559139785,-0.011494252873563218,1.1349999999993088,0.17000000000007276,0.011494252873563218
500ms-s0-t6,500ms,0,MICRO,BUY,1,1789578618.875,1789578804.99,trail,186.11500000953674,0.03964572953463274,19.97635544919466,6.520000000000437,-0.11999999999989086,1.0300000000006548,2.4549999999999272,2.4949999999989814,6.024999999999636,1.0214477211796247,0.03937007874015748,3.0499999999992724,0.2600000000002183,0.03937007874015748
500ms-s0-t7,500ms,0,PRIMARY,SELL,-1,1789579129.2659998,1789579778.929,emergency_stop,649.6630001068115,0.04121124027963165,-15.933769042995813,3.130000000000109,-4.039999999999964,-1.485000000000582,-1.180000000000291,-1.485000000000582,-4.025000000000546,1.0326086956521738,-0.06382978723404255,2.225000000000364,0.2899999999999636,0.06382978723404255
500ms-s0-t8,500ms,0,PRIMARY,BUY,1,1789580254.921,1789581155.4060001,max_hold,900.4850001335144,0.03996253969915881,46.39117251268539,14.489999999999782,-0.6000000000003638,1.5900000000001455,2.2950000000000728,1.480000000000473,0.8200000000006185,0.9467680608365019,0.14634146341463414,2.4549999999999272,0.27000000000043656,0.14634146341463414
500ms-s0-t9,500ms,0,PRIMARY,BUY,1,1789581649.428,1789581743.4540002,emergency_stop,94.02600026130676,0.04359813174828982,-17.148698661633343,1.949999999999818,-4.109999999999673,0.30500000000029104,1.5050000000010186,0.7950000000000728,2.9600000000000364,0.830423940149626,-0.01818181818181818,2.5150000000003274,0.2899999999999636,-0.01818181818181818
500ms-s0-t10,500ms,0,SECONDARY,BUY,1,1789582071.959,1789582518.9580002,emergency_stop,446.99900007247925,0.04225421933714889,-16.90315725210084,1.9099999999998545,-4.180000000000291,2.6450000000004366,4.4650000000001455,4.905000000000655,4.8100000000004,1.591093117408907,0.125,5.180000000000291,0.1500000000005457,0.125
500ms-s0-t11,500ms,0,PRIMARY,SELL,-1,1789583356.9459999,1789583760.496,emergency_stop,403.55000019073486,0.040929549560929174,-16.255731956893825,2.0100000000002183,-4.149999999999636,-0.930000000000291,-1.055000000000291,-2.0600000000004,-0.5149999999994179,1.0846153846153845,-0.03296703296703297,2.165000000000873,0.2999999999992724,0.03296703296703297
500ms-s0-t12,500ms,0,SECONDARY,BUY,1,1789584430.963,1789584507.463,emergency_stop,76.5,0.03965561733084537,-15.446162231307163,2.2200000000002547,-4.069999999999709,7.170000000000073,6.579999999999927,7.4350000000004,6.529999999999745,1.271186440677966,0.1891891891891892,8.00000000000091,0.1499999999996362,0.1891891891891892
500ms-s0-t13,500ms,0,MICRO,SELL,-1,1789584564.929,1789584565.278,momentum_zero_cross,0.3490002155303955,0.0384451296118214,-1.250955077132523,0.0,-0.3400000000001455,-2.0150000000003274,-2.355000000000473,-3.490000000000691,-7.785000000000764,1.0583941605839415,-0.05555555555555555,3.785000000000764,0.25,0.05555555555555555
500ms-s0-t14,500ms,0,PRIMARY,SELL,-1,1789586926.748,1789587086.985,momentum_zero_cross,160.2369999885559,0.038347094531311215,-10.202314982014164,0.0,-2.7799999999997453,0.11000000000058208,-0.5149999999994179,-1.6649999999999636,-2.1700000000000728,1.1791044776119404,0.06329113924050633,1.9400000000005093,0.23999999999978172,-0.06329113924050633
500ms-s0-t15,500ms,0,PRIMARY,BUY,1,1789592304.8969998,1789592403.4620001,emergency_stop,98.56500029563904,0.037547557610333446,-26.698814240924378,9.100000000000364,-7.4299999999993815,1.9299999999993815,2.0450000000000728,3.824999999999818,5.490000000000691,1.0477941176470589,0.2765957446808511,4.0,0.2999999999992724,0.2765957446808511
500ms-s0-t16,500ms,0,MICRO,SELL,-1,1789592535.972,1789592539.9299998,emergency_stop,3.9579999446868896,0.03545521996249779,-14.013664096320696,0.0,-4.130000000000109,-3.944999999999709,-8.470000000000255,-12.595000000001164,-35.11499999999978,1.0072202166064983,-0.016216216216216217,17.044999999999163,0.27999999999974534,0.016216216216216217
500ms-s0-t17,500ms,0,SECONDARY,BUY,1,1789592591.9859998,1789592605.4529998,emergency_stop,13.467000007629395,0.03435699452415939,-13.415189024654024,2.300000000000182,-4.079999999999927,5.1299999999992,12.864999999999782,19.06999999999971,8.774999999999636,0.9782608695652174,0.03067484662576687,23.32499999999891,0.2899999999999636,0.03067484662576687
500ms-s0-t18,500ms,0,MICRO,BUY,1,1789592880.4620001,1789592904.4889998,emergency_stop,24.026999711990356,0.03330567049172013,-15.650245005110873,2.649999999999636,-4.9099999999998545,6.430000000000291,2.035000000000764,10.855000000000473,9.925000000000182,1.0675944333996024,0.11864406779661017,11.055000000000291,0.25,0.11864406779661017
