trade_id,interval,segment_id,engine,side,checkpoint_nominal_sec,checkpoint_actual_sec,move_usd,peak_favorable_usd,mae_usd,directional_m60_usd,directional_imb10,qacc,release_gate,checkpoint_pnl_inr_fixed_size,eventual_pnl_inr,potential_saved_exposure_sec
1s-s0-t1,1s,0,PRIMARY,BUY,60,60.09599995613098,-1.5299999999997453,0.0,-1.5299999999997453,-1.234999999998763,-0.2835820895522388,0.971830985915493,True,-5.764609687499045,-15.485324062498778,79.01999998092651
1s-s0-t1,1s,0,PRIMARY,BUY,120,120.23199987411499,-2.9700000000002547,0.0,-3.0200000000004366,-1.4600000000009459,-0.15151515151515152,1.3018867924528301,True,-11.190124687500969,-15.485324062498778,18.884000062942505
1s-s0-t2,1s,0,PRIMARY,BUY,60,60.98199987411499,-1.199999999999818,0.15999999999985448,-2.7299999999995634,-1.324999999999818,0.06153846153846154,1.103932584269663,False,-4.381894583436851,-14.898441583687285,71.89800024032593
1s-s0-t2,1s,0,PRIMARY,BUY,120,120.81399989128113,-2.319999999999709,0.15999999999985448,-3.7399999999997817,-0.8899999999994179,0.08943089430894309,1.0054054054054054,False,-8.471662861311465,-14.898441583687285,12.06600022315979
1s-s0-t3,1s,0,PRIMARY,BUY,60,61.02500009536743,0.21000000000003638,0.8299999999999272,-0.32000000000061846,0.2749999999996362,-0.022727272727272728,1.0942622950819672,False,0.7433665066073865,15.044322157527835,839.0139999389648
1s-s0-t3,1s,0,PRIMARY,BUY,120,121.01900005340576,4.6899999999996,5.5,-0.32000000000061846,4.259999999999309,-0.16326530612244897,0.9576547231270358,False,16.601851980894004,15.044322157527835,779.0199999809265
1s-s0-t3,1s,0,PRIMARY,BUY,300,300.0479998588562,8.219999999999345,9.799999999999272,-0.32000000000061846,-0.21000000000003638,-0.06086956521739131,1.0207100591715976,False,29.09748897291034,15.044322157527835,599.9910001754761
1s-s0-t4,1s,0,SECONDARY,SELL,60,60.99600005149841,0.11000000000058208,0.4600000000000364,-2.149999999999636,0.375,0.2,0.9420935412026726,False,0.4017940216239835,29.73275760001864,569.0089998245239
1s-s0-t4,1s,0,SECONDARY,SELL,120,120.01200008392334,0.5799999999999272,1.2899999999999636,-2.149999999999636,0.20999999999912689,-0.0,0.9065217391304348,False,2.1185502958240727,29.73275760001864,509.992999792099
1s-s0-t4,1s,0,SECONDARY,SELL,300,300.0039999485016,2.3299999999999272,3.1400000000003274,-2.149999999999636,0.2849999999998545,0.15151515151515152,0.9054878048780488,False,8.510727912535438,29.73275760001864,330.00099992752075
1s-s0-t5,1s,0,PRIMARY,SELL,60,60.165000200271606,-3.5100000000002183,0.0,-3.980000000000473,-3.3100000000004,0.0196078431372549,1.1802030456852792,False,-13.60359680648242,-15.812727911807361,15.065999746322632
1s-s0-t6,1s,0,PRIMARY,SELL,60,60.37299990653992,-0.5900000000001455,0.0,-1.430000000000291,-0.3350000000000364,-0.022222222222222223,0.8778135048231511,True,-2.216673156433571,33.663375392610135,840.364000082016
