interval,variant,seed_pnl_inr,seed_profit_factor,seed_max_drawdown_inr,seed_exposure_hours,seed_pnl_per_exposure_hour
500ms,candidate_d,696.8428619834062,1.7428577443389235,218.9381795572965,10.118764166434605,68.86640013757156
500ms,release_120s,571.3920834544233,1.6273277687932879,220.58037315483944,9.772285277578566,58.47067162124499
500ms,release_300s,560.7272886002884,1.6207601214422098,199.84855577701728,9.758912499613231,57.45796866428624
500ms,secondary_persistence_2s,369.5594157876102,1.471559838738571,166.4294663957868,10.680459721883137,34.60145212948295
500ms,secondary_flow_require_both,479.1618825833517,1.5568678737963235,225.9106214948962,11.486986666255527,41.713453362921555
500ms,secondary_flow_veto_both_weak,512.5739049797328,1.5576826759468088,185.22990316046958,12.053909999728203,42.523455458958175
500ms,secondary_flow_require_m10,418.10472288364747,1.4770424432663198,211.8236138817307,11.608229721917047,36.017957337133
500ms,secondary_flow_require_qacc,580.5524656052355,1.6192559221668144,197.66520505766982,11.849608888626099,48.99338628488248
1s,candidate_d,169.91793307493617,1.1919652394865075,172.14469599809354,10.995076944298214,15.454001271273647
1s,release_120s,14.588391194478277,1.018021668644666,181.78451754337874,10.526642777721086,1.385854113464703
1s,release_300s,185.24435970601974,1.2106729848199378,172.14469599809354,10.968636944293976,16.88854874555641
1s,secondary_persistence_2s,18.911416879128865,1.034129316547389,135.3162266595926,7.260518055823114,2.6046924935282605
1s,secondary_flow_require_both,282.27318914969226,1.4017508531479113,145.2626438711818,8.402269444796774,33.594874694775946
1s,secondary_flow_veto_both_weak,209.25492933951978,1.256884289431791,150.13053361291452,10.722101666662429,19.516223203716045
1s,secondary_flow_require_m10,317.7409068449916,1.4413305359502817,109.22414999771706,8.660889722572433,36.68686671034268
1s,secondary_flow_require_qacc,219.85600260200488,1.2716976000856854,152.71195689551598,10.624590833319559,20.69312654493188
