trade_id,interval,segment_id,engine,side,side_sign,entry_ts,exit_ts,exit_reason,hold_sec,entry_oz,pnl_inr,mfe_usd,mae_usd,entry_m10,entry_m30,entry_m60,entry_m120,entry_qacc,entry_imb10,entry_range60,entry_spread,entry_directional_imb10
1s-s0-t0,1s,0,BURST,BUY,1,1789573154.725,1789573196.9129999,momentum_zero_cross,42.187999963760376,0.039184093139022026,2.3625000000004093,1.4600000000000364,-0.2000000000007276,0.6149999999997817,3.255000000000109,2.2049999999999272,2.225000000000364,1.2452830188679245,0.2413793103448276,4.014999999999418,0.2600000000002183,0.2413793103448276
1s-s0-t1,1s,0,PRIMARY,BUY,1,1789573826.844,1789573965.96,emergency_stop,139.1159999370575,0.03936923797910394,-15.485324062498778,0.0,-4.109999999999673,0.5450000000000728,1.3699999999989814,1.6549999999988358,2.8149999999996,0.6428571428571429,0.28205128205128205,2.0299999999997453,0.2899999999999636,0.28205128205128205
1s-s0-t2,1s,0,PRIMARY,BUY,1,1789574424.972,1789574557.852,emergency_stop,132.88000011444092,0.03815568121839816,-14.898441583687285,0.15999999999985448,-4.079999999999927,3.1149999999997817,0.7849999999998545,4.005000000000109,4.190000000000509,0.9049586776859504,0.04895104895104895,4.1599999999998545,0.25,0.04895104895104895
1s-s0-t3,1s,0,PRIMARY,BUY,1,1789575094.938,1789575994.977,max_hold,900.0390000343323,0.0369881173731152,15.044322157527835,9.799999999999272,-1.0200000000004366,-0.3650000000006912,-0.4000000000005457,1.7399999999997817,1.2899999999999636,0.8988326848249028,0.06666666666666667,2.8499999999994543,0.28000000000065484,0.06666666666666667
1s-s0-t4,1s,0,SECONDARY,SELL,-1,1789576468.965,1789577098.9699998,take_profit,630.0049998760223,0.03816711361438324,29.73275760001864,8.140000000000327,-2.149999999999636,-1.9350000000004002,-2.480000000000473,-4.975000000000364,-1.8450000000011642,0.8245614035087719,-0.27472527472527475,5.525000000000546,0.26999999999952706,0.27472527472527475
1s-s0-t5,1s,0,PRIMARY,SELL,-1,1789577099.722,1789577174.9529998,emergency_stop,75.23099994659424,0.040497215900541436,-15.812727911807361,0.0,-4.079999999999927,-1.175000000000182,-1.785000000000764,-2.9849999999996726,-2.8900000000003274,0.9245283018867925,-0.15463917525773196,4.055000000000291,0.18000000000029104,0.15463917525773196
1s-s0-t6,1s,0,PRIMARY,SELL,-1,1789577625.984,1789578526.721,max_hold,900.7369999885559,0.03925800109398489,33.663375392610135,13.420000000000073,-1.6000000000003638,-0.7899999999999636,-0.8049999999993815,-0.9099999999998545,-3.339999999999236,1.009009009009009,-0.16666666666666666,1.2000000000007276,0.27000000000043656,0.16666666666666666
1s-s0-t7,1s,0,MICRO,BUY,1,1789578618.875,1789578804.99,trail,186.11500000953674,0.04189613876750068,21.110272652121875,6.520000000000437,0.0,0.944999999999709,2.1900000000005093,2.594999999999345,6.309999999999491,1.047244094488189,0.03759398496240601,3.0499999999992724,0.2600000000002183,0.03759398496240601
1s-s0-t8,1s,0,PRIMARY,SELL,-1,1789579129.869,1789579777.976,emergency_stop,648.1070001125336,0.04355051254708247,-16.87989580267093,2.8100000000004,-4.050000000000182,-1.625,-1.319999999999709,-1.625,-4.094999999999345,1.0676156583629892,-0.09090909090909091,2.344999999999345,0.26999999999952706,0.09090909090909091
1s-s0-t9,1s,0,PRIMARY,BUY,1,1789580254.921,1789581155.809,max_hold,900.8880000114441,0.04222766572846478,49.222745191638985,14.489999999999782,-0.43000000000029104,1.925000000000182,2.1899999999996,1.2899999999999636,0.8200000000006185,1.037593984962406,0.2087912087912088,2.305000000000291,0.27000000000043656,0.2087912087912088
1s-s0-t10,1s,0,PRIMARY,BUY,1,1789581649.928,1789581743.95,emergency_stop,94.0220000743866,0.04608516299275984,-17.729996446540508,1.6300000000001091,-4.019999999999527,0.7250000000003638,1.5050000000010186,0.7550000000001091,3.0750000000007276,0.9213759213759214,0.03225806451612903,2.5150000000003274,0.2899999999999636,0.03225806451612903
1s-s0-t11,1s,0,SECONDARY,BUY,1,1789582071.959,1789582518.9580002,emergency_stop,446.99900007247925,0.04469569532852828,-17.87983255830469,1.8099999999994907,-4.180000000000291,2.6700000000009823,4.4350000000004,4.905000000000655,4.8100000000004,1.657258064516129,0.11940298507462686,5.180000000000291,0.1500000000005457,0.11940298507462686
1s-s0-t12,1s,0,PRIMARY,SELL,-1,1789583356.9459999,1789583760.997,emergency_stop,404.0510001182556,0.043294485279978825,-17.857938318361185,2.0100000000002183,-4.309999999999491,-0.9149999999999636,-1.055000000000291,-2.0600000000004,-0.5149999999994179,1.1653846153846155,0.0,2.110000000000582,0.2999999999992724,-0.0
1s-s0-t13,1s,0,MICRO,BUY,1,1789584430.963,1789584507.9180002,emergency_stop,76.95500016212463,0.04189499104330368,-18.1226625729087,2.2200000000002547,-4.519999999999527,7.115000000000691,6.480000000000473,7.4350000000004,6.529999999999745,1.278688524590164,0.15789473684210525,7.994999999999891,0.1499999999996362,0.15789473684210525
1s-s0-t14,1s,0,MICRO,SELL,-1,1789584568.838,1789584569.9950001,momentum_zero_cross,1.1570000648498535,0.04047475084693584,-1.8592889534520072,0.0,-0.47999999999956344,-0.6550000000006548,-2.110000000000582,-2.5050000000010186,-8.6200000000008,0.9407407407407408,-0.07936507936507936,3.2950000000009823,0.2899999999999636,0.07936507936507936
1s-s0-t15,1s,0,PRIMARY,SELL,-1,1789586926.748,1789587086.985,momentum_zero_cross,160.2369999885559,0.040329041743887,-10.72961568073888,0.0,-2.7799999999997453,0.14000000000032742,-0.5100000000002183,-1.6649999999999636,-2.180000000000291,1.1970443349753694,0.06172839506172839,1.925000000000182,0.23999999999978172,-0.06172839506172839
1s-s0-t16,1s,0,SECONDARY,BUY,1,1789592041.932,1789592367.977,take_profit,326.04500007629395,0.03948818122352702,30.913053282466922,8.180000000000291,-2.130000000000109,1.5749999999989086,1.6449999999986176,2.234999999998763,3.2399999999997817,1.0363636363636364,0.3783783783783784,2.3749999999990905,0.23000000000047294,0.3783783783783784
1s-s0-t17,1s,0,PRIMARY,BUY,1,1789592390.992,1789592402.978,emergency_stop,11.985999822616577,0.04191078114159049,-19.77398235570186,7.539999999999964,-4.930000000000291,-0.4099999999998545,3.220000000001164,3.2950000000000728,3.040000000000873,0.9261744966442953,0.058823529411764705,6.150000000000546,0.21000000000003638,0.058823529411764705
1s-s0-t18,1s,0,MICRO,SELL,-1,1789592535.972,1789592539.9299998,emergency_stop,3.9579999446868896,0.04036113000888009,-15.952723437920765,0.0,-4.130000000000109,-3.944999999999709,-9.700000000000728,-13.895000000000437,-39.655000000000655,0.9893617021276596,-0.016216216216216217,15.905000000000655,0.27999999999974534,0.016216216216216217
1s-s0-t19,1s,0,SECONDARY,BUY,1,1789592591.9859998,1789592605.997,emergency_stop,14.011000156402588,0.039110944006855,-19.6507472408018,2.300000000000182,-5.25,5.1299999999992,12.864999999999782,19.06999999999971,8.774999999999636,0.9782608695652174,0.03067484662576687,22.774999999999636,0.2899999999999636,0.03067484662576687
1s-s0-t20,1s,0,MICRO,SELL,-1,1789593002.968,1789593003.9740002,momentum_zero_cross,1.006000280380249,0.037570950586585085,-0.35956188701455055,0.0,-0.1000000000003638,-1.2150000000001455,-3.0499999999992724,-7.539999999999054,-11.489999999999782,0.9693251533742331,-0.15584415584415584,6.989999999999782,0.2899999999999636,0.15584415584415584
1s-s0-t21,1s,0,PRIMARY,SELL,-1,1789593033.9889998,1789593933.999,max_hold,900.0100002288818,0.03754277237364504,52.995601800702275,21.089999999999236,-2.130000000000109,-1.6049999999995634,-2.625,-5.635000000000218,-8.0649999999996,1.0058823529411764,-0.07602339181286549,9.140000000000327,0.24000000000069122,0.07602339181286549
1s-s0-t22,1s,0,MICRO,SELL,-1,1789594268.9689999,1789594279.979,trail,11.010000228881836,0.04169594156747952,7.621643313715926,4.170000000000073,-0.7799999999997453,-6.234999999999673,-9.114999999999782,-14.670000000000073,-9.464999999999236,1.0479846449136276,-0.24719101123595505,15.674999999999272,0.2600000000002183,0.24719101123595505
1s-s0-t23,1s,0,MICRO,SELL,-1,1789594358.949,1789594389.985,trail,31.03600001335144,0.04229323593043362,6.557033420830721,4.3700000000008,-2.6099999999996726,-7.470000000000255,-14.484999999999673,-13.50500000000011,-22.604999999999563,1.0355871886120998,-0.03626943005181347,15.604999999999563,0.23999999999978172,0.03626943005181347
1s-s0-t24,1s,0,PRIMARY,SELL,-1,1789594424.963,1789594435.9689999,emergency_stop,11.00599980354309,0.042807098746988646,-21.589763121117404,0.0,-5.269999999999527,-2.9749999999994543,-8.50500000000011,-11.1850000000004,-21.74000000000069,0.9711864406779661,-0.031578947368421054,13.920000000000073,0.2999999999992724,0.031578947368421054
1s-s0-t25,1s,0,SECONDARY,BUY,1,1789594762.982,1789594922.984,take_profit,160.0019998550415,0.04111514816901407,35.5706464351355,9.039999999999964,-1.3299999999999272,2.2950000000000728,2.8149999999996,6.734999999999673,15.670000000000073,1.038,0.1242603550295858,6.019999999999527,0.2599999999993088,0.1242603550295858
1s-s0-t26,1s,0,MICRO,BUY,1,1789594989.979,1789595021.9539998,trail,31.97499966621399,0.04390275521487321,21.64867119439922,5.970000000000255,-2.319999999999709,1.730000000000473,6.9299999999993815,5.699999999999818,15.9399999999996,1.0084566596194504,0.05732484076433121,6.9299999999993815,0.2600000000002183,0.05732484076433121
1s-s0-t27,1s,0,SECONDARY,BUY,1,1789595066.9980001,1789595074.951,emergency_stop,7.952999830245972,0.04559932231170801,-17.892198705611563,0.0,-4.100000000000364,0.9249999999992724,4.094999999999345,7.149999999999636,11.994999999998981,0.96,0.0273972602739726,6.8799999999992,0.23000000000047294,0.0273972602739726
1s-s0-t28,1s,0,PRIMARY,SELL,-1,1789595330.9689999,1789595580.982,take_profit,250.01300024986267,0.04419714315062287,106.8437227853955,25.26000000000022,0.0,1.0650000000005093,2.3150000000005093,-1.2799999999988358,-5.8400000000001455,1.0038684719535784,0.023255813953488372,3.485000000000582,0.2599999999993088,-0.023255813953488372
1s-s0-t29,1s,0,MICRO,SELL,-1,1789595609.952,1789595643.983,trail,34.0310001373291,0.05257029192050844,28.325021692703444,8.050000000000182,0.0,-2.414999999999054,1.6400000000003274,-4.484999999999673,-7.809999999999491,1.065180102915952,-0.1262135922330097,6.650000000000546,0.2899999999999636,0.1262135922330097
1s-s0-t30,1s,0,SECONDARY,SELL,-1,1789595768.968,1789595780.988,emergency_stop,12.019999980926514,0.05479007249685187,-24.854308486262205,2.5999999999994543,-4.740000000000691,-5.710000000000036,-6.864999999999782,-1.3099999999994907,-3.9349999999994907,1.1305970149253732,-0.08,9.63000000000011,0.28000000000065484,0.08
1s-s0-t31,1s,0,SECONDARY,BUY,1,1789595933.964,1789595971.9889998,emergency_stop,38.02499985694885,0.05284228541958849,-22.352460160867047,0.0,-4.420000000000073,3.2499999999990905,3.334999999999127,4.204999999999927,2.8599999999996726,0.9558541266794626,0.12048192771084337,4.899999999999636,0.27999999999974534,0.12048192771084337
1s-s0-t32,1s,0,MICRO,SELL,-1,1789596352.959,1789596397.9889998,stagnation,45.02999973297119,0.05109056365792911,-9.290001041272914,0.0,-3.9200000000000728,-0.9650000000001455,0.694999999999709,-3.4950000000008004,-16.80000000000109,1.0465116279069768,-0.3288590604026846,5.664999999999964,0.23999999999978172,0.3288590604026846
1s-s0-t33,1s,0,PRIMARY,SELL,-1,1789596538.9550002,1789596551.9689999,emergency_stop,13.013999700546265,0.0503625231258034,-19.327394889997233,0.0,-4.010000000000218,-1.730000000000473,0.6399999999994179,-3.8200000000006185,-11.845000000001164,1.0952380952380953,0.021739130434782608,4.555000000000291,0.23000000000047294,-0.021739130434782608
1s-s0-t34,1s,0,MICRO,BUY,1,1789596893.973,1789596894.977,momentum_zero_cross,1.003999948501587,0.048847870242794786,2.010182817989438,0.43000000000029104,0.0,0.47000000000025466,5.539999999999964,6.664999999999964,7.855000000000473,0.8886792452830189,0.01935483870967742,6.25,0.1499999999996362,0.01935483870967742
1s-s0-t35,1s,0,SECONDARY,BUY,1,1789596912.948,1789596955.987,emergency_stop,43.039000034332275,0.049005404624327904,-23.402701468149456,2.8200000000006185,-4.989999999999782,0.9200000000000728,4.360000000000582,5.524999999999636,14.25,1.1358024691358024,0.13333333333333333,9.649999999999636,0.2899999999999636,0.13333333333333333
1s-s0-t36,1s,0,PRIMARY,SELL,-1,1789597139.999,1789597189.9910002,emergency_stop,49.992000102996826,0.04717137735626251,-18.734759472478455,0.75,-4.149999999999636,-2.7399999999997817,-5.114999999999782,-3.2150000000001455,-5.279999999998836,0.9518599562363238,-0.2638888888888889,7.5549999999993815,0.2899999999999636,0.2638888888888889
1s-s0-t37,1s,0,MICRO,SELL,-1,1789597586.985,1789597632.981,stagnation,45.99600005149841,0.045703168236048974,2.493116830799341,0.569999999999709,-2.449999999999818,-1.3950000000004366,-3.194999999999709,-10.8799999999992,-8.600000000000364,1.0,-0.14285714285714285,10.3700000000008,0.2600000000002183,0.14285714285714285
1s-s0-t38,1s,0,SECONDARY,BUY,1,1789597780.968,1789597881.968,take_profit,101.0,0.04589854928025798,36.546328441579874,8.320000000000618,-0.07999999999992724,1.1200000000008004,2.4500000000007276,5.430000000000291,5.640000000000327,1.0316742081447965,-0.09933774834437085,8.550000000000182,0.27999999999974534,-0.09933774834437085
1s-s0-t39,1s,0,SECONDARY,BUY,1,1789598086.937,1789598176.878,emergency_stop,89.94099998474121,0.048762618755346286,-18.946741166529133,2.319999999999709,-4.0600000000004,1.180000000000291,4.510000000000218,4.970000000000255,4.755000000000109,1.0382165605095541,-0.06329113924050633,5.7150000000001455,0.27000000000043656,-0.06329113924050633
1s-s0-t40,1s,0,PRIMARY,SELL,-1,1789598203.9580002,1789598253.957,emergency_stop,49.99899983406067,0.047277797014245844,-20.767842660554752,0.0,-4.5900000000001455,-2.915000000000873,-4.105000000001382,-6.795000000000073,-4.265000000000327,1.054820415879017,-0.3701657458563536,6.645000000000437,0.17999999999938154,0.3701657458563536
