trade_id,interval,segment_id,engine,side,checkpoint_nominal_sec,checkpoint_actual_sec,move_usd,peak_favorable_usd,mae_usd,directional_m60_usd,directional_imb10,qacc,release_gate,checkpoint_pnl_inr_fixed_size,eventual_pnl_inr,potential_saved_exposure_sec
500ms-s0-t1,500ms,0,PRIMARY,BUY,60,60.09599995613098,-1.5299999999997453,0.0,-1.6599999999998545,-1.234999999998763,-0.2727272727272727,0.9571428571428572,True,-5.771924999999047,-15.504974999998787,79.01999998092651
500ms-s0-t1,500ms,0,PRIMARY,BUY,120,120.23199987411499,-2.9700000000002547,0.0,-3.130000000000109,-1.4600000000009459,-0.15151515151515152,1.3018867924528301,True,-11.204325000000976,-15.504974999998787,18.884000062942505
500ms-s0-t2,500ms,0,PRIMARY,BUY,60,60.485000133514404,-1.430000000000291,0.17000000000007276,-2.7299999999995634,-1.1400000000003274,0.05,1.0401146131805157,False,-5.228384143126084,-14.844223511248194,68.992999792099
500ms-s0-t2,500ms,0,PRIMARY,BUY,120,120.51799988746643,-2.3099999999994907,0.17000000000007276,-3.949999999999818,-0.8749999999990905,0.11926605504587157,0.9041095890410958,False,-8.445851308123169,-14.844223511248194,8.960000038146973
500ms-s0-t3,500ms,0,PRIMARY,BUY,60,60.08399963378906,-0.6599999999998545,0.47999999999956344,-0.8299999999999272,-0.3500000000003638,0.012048192771084338,1.0327868852459017,False,-2.3396214673688145,10.705540653721817,840.0390002727509
500ms-s0-t3,500ms,0,PRIMARY,BUY,120,120.11699986457825,2.449999999999818,2.449999999999818,-0.8299999999999272,3.1749999999992724,0.10204081632653061,1.0421052631578946,False,8.684958477355204,10.705540653721817,780.0060000419617
500ms-s0-t3,500ms,0,PRIMARY,BUY,300,300.04399967193604,9.319999999999709,9.390000000000327,-0.8299999999999272,3.149999999999636,0.05263157894736842,0.794425087108014,False,33.03829102406285,10.705540653721817,600.0790002346039
500ms-s0-t4,500ms,0,PRIMARY,SELL,60,60.48400020599365,-0.9799999999995634,0.0,-1.6099999999996726,-0.7399999999997817,-0.06779661016949153,1.0434782608695652,True,-3.552669114745612,-8.954176238190282,211.94999980926514
500ms-s0-t4,500ms,0,PRIMARY,SELL,120,120.50000023841858,0.4400000000005093,0.4499999999998181,-1.819999999999709,1.4049999999997453,0.023255813953488372,0.8896551724137931,False,1.5950759290720156,-8.954176238190282,151.9339997768402
500ms-s0-t5,500ms,0,PRIMARY,SELL,60,60.07699990272522,0.3999999999996362,0.6900000000005093,-1.2100000000000364,0.6349999999993088,-0.13580246913580246,1.0474137931034482,False,1.4232064977115615,31.48844376189823,840.0480000972748
500ms-s0-t5,500ms,0,PRIMARY,SELL,120,120.61999988555908,1.4700000000002547,2.7899999999999636,-1.2100000000000364,1.0600000000004002,-0.0136986301369863,0.8351648351648352,False,5.230283879095651,31.48844376189823,779.5050001144409
500ms-s0-t5,500ms,0,PRIMARY,SELL,300,300.11100006103516,-0.5100000000002183,2.7899999999999636,-1.2100000000000364,-1.2899999999999636,-0.2698412698412698,1.0053191489361701,True,-1.8145882845846677,31.48844376189823,600.0139999389648
500ms-s0-t7,500ms,0,PRIMARY,SELL,60,60.182000160217285,1.300000000000182,1.9000000000005457,-0.1999999999998181,1.6549999999997453,-0.046511627906976744,0.9777777777777777,False,5.127202909875654,-15.933769042995813,589.4809999465942
