kind,label,interval,rows,pearson,spearman,sign_accuracy,predicted_positive_fraction,actual_target_sum,predicted_positive_actual_target_sum,predicted_nonpositive_actual_target_sum,baseline_all_opportunity_pnl_inr,policy_take_pnl_inr,policy_delta_inr,taken_win_rate,trade_retention
entry,historical_walkforward,1s,92,-0.09473915978624917,-0.10693340936938882,0.4673913043478261,0.4673913043478261,166.76250000003168,59.54062500002067,107.221875000011,166.76250000003168,59.54062500002067,-107.22187500001101,0.3953488372093023,0.4673913043478261
entry,historical_walkforward,500ms,89,0.03708291482277406,0.020693236180391227,0.5056179775280899,0.5056179775280899,267.4218750000017,153.7031249999947,113.71875000000699,267.4218750000017,153.7031249999947,-113.71875000000699,0.4888888888888889,0.5056179775280899
entry,recent_after_first80,1s,44,0.11441167990493803,0.16715430069705908,0.36363636363636365,0.7954545454545454,-191.70000000002346,-148.23750000002292,-43.462500000000546,-191.70000000002346,-148.23750000002292,43.462500000000546,0.2571428571428571,0.7954545454545454
entry,recent_after_first80,500ms,46,0.05782221637700224,0.09178669676949612,0.30434782608695654,0.782608695652174,-352.50000000001705,-256.9500000000153,-95.55000000000177,-352.50000000001705,-256.9500000000153,95.55000000000177,0.1388888888888889,0.782608695652174
