label,interval,engine,opportunities,baseline_pnl_inr,taken,retention,taken_pnl_inr,skipped_pnl_inr,taken_win_rate,prediction_spearman
historical_walkforward,1s,BURST,16,58.61250000001064,8,0.5,51.975000000009004,6.637500000001637,0.625,0.22058823529411767
historical_walkforward,1s,MICRO,23,108.9375000000075,11,0.4782608695652174,35.203125000004434,73.73437500000307,0.45454545454545453,-0.007905138339920948
historical_walkforward,1s,PRIMARY,26,42.67500000000041,10,0.38461538461538464,26.325000000001637,16.349999999998776,0.3,-0.06324786324786325
historical_walkforward,1s,SECONDARY,27,-43.462499999986896,14,0.5185185185185185,-53.96249999999441,10.500000000007518,0.2857142857142857,-0.25457875457875456
historical_walkforward,500ms,BURST,17,72.45000000000573,11,0.6470588235294118,61.987499999999045,10.462500000006687,0.6363636363636364,0.13970588235294118
historical_walkforward,500ms,MICRO,26,175.5468749999983,15,0.5769230769230769,70.64062499999949,104.9062499999988,0.5333333333333333,-0.14529914529914528
historical_walkforward,500ms,PRIMARY,26,48.824999999991405,10,0.38461538461538464,51.71249999999645,-2.8875000000050477,0.4,-0.034529914529914524
historical_walkforward,500ms,SECONDARY,20,-29.399999999993724,9,0.45,-30.637500000000273,1.2375000000065555,0.3333333333333333,-0.13238060357011328
recent_after_first80,1s,BURST,5,-15.93749999999659,5,1.0,-15.93749999999659,0.0,0.2,-0.3
recent_after_first80,1s,MICRO,8,-45.600000000006276,7,0.875,-43.65000000000805,-1.9499999999982265,0.14285714285714285,0.07142857142857144
recent_after_first80,1s,PRIMARY,22,-148.98750000001542,17,0.7727272727272727,-108.22500000001241,-40.762500000003,0.23529411764705882,0.17283254007469145
recent_after_first80,1s,SECONDARY,9,18.824999999994805,6,0.6666666666666666,19.574999999994127,-0.7499999999993214,0.5,0.21666666666666667
recent_after_first80,500ms,BURST,5,-17.437500000005457,5,1.0,-17.437500000005457,0.0,0.0,-0.09999999999999999
recent_after_first80,500ms,MICRO,8,-34.46250000000191,7,0.875,-32.36250000000382,-2.09999999999809,0.14285714285714285,-0.28571428571428575
recent_after_first80,500ms,PRIMARY,27,-255.11250000000928,19,0.7037037037037037,-177.637500000003,-77.47500000000628,0.15789473684210525,0.19642590118075676
recent_after_first80,500ms,SECONDARY,6,-45.48750000000041,5,0.8333333333333334,-29.512500000002998,-15.974999999997408,0.2,0.14285714285714288
