label,interval,trades,legacy_pnl_inr,exit_policy_pnl_inr,delta_exit_vs_legacy_inr,model_exits,model_exit_fraction,improved_trades,harmed_trades,unchanged_trades,avoided_loss_or_giveback_inr,false_early_exit_cost_inr,legacy_win_rate,policy_win_rate
historical_walkforward,1s,89,170.06250000002865,-64.08749999996644,-234.1499999999951,81,0.9101123595505618,45,36,8,442.57500000001187,676.725000000007,0.449438202247191,0.29213483146067415
historical_walkforward,500ms,85,270.57187500000225,-68.17499999999256,-338.7468749999948,79,0.9294117647058824,39,40,6,334.98750000001337,673.7343750000082,0.49411764705882355,0.27058823529411763
recent_after_first80,1s,44,-191.70000000002346,-69.03750000000286,122.6625000000206,43,0.9772727272727273,32,11,1,286.83750000001623,164.17499999999563,0.25,0.20454545454545456
recent_after_first80,500ms,46,-352.50000000001705,-41.62499999999454,310.8750000000225,44,0.9565217391304348,36,8,2,386.5125000000194,75.63749999999686,0.13043478260869565,0.2391304347826087
