label,interval,engine,trades,legacy_pnl_inr,exit_policy_pnl_inr,delta_inr,model_exits
historical_walkforward,1s,BURST,16,58.61250000001064,-1.9499999999879938,-60.562499999998636,12
historical_walkforward,1s,MICRO,20,112.2375000000045,-28.80000000000109,-141.0375000000056,17
historical_walkforward,1s,PRIMARY,26,42.67500000000041,-14.812499999992497,-57.487499999992906,25
historical_walkforward,1s,SECONDARY,27,-43.4624999999869,-18.524999999984857,24.937500000002046,27
historical_walkforward,500ms,BURST,17,72.45000000000573,-15.44999999999959,-87.90000000000532,16
historical_walkforward,500ms,MICRO,22,178.69687499999884,-10.4625000000118,-189.15937500001064,19
historical_walkforward,500ms,PRIMARY,26,48.824999999991405,-22.612499999988813,-71.43749999998022,25
historical_walkforward,500ms,SECONDARY,20,-29.399999999993724,-19.64999999999236,9.750000000001364,19
recent_after_first80,1s,BURST,5,-15.93749999999659,-4.9124999999946795,11.02500000000191,4
recent_after_first80,1s,MICRO,8,-45.600000000006276,-19.312500000002046,26.28750000000423,8
recent_after_first80,1s,PRIMARY,22,-148.98750000001542,-20.325000000003683,128.66250000001173,22
recent_after_first80,1s,SECONDARY,9,18.824999999994812,-24.487500000002456,-43.312499999997264,9
recent_after_first80,500ms,BURST,5,-17.437500000005457,-4.950000000002319,12.487500000003138,4
recent_after_first80,500ms,MICRO,8,-34.46250000000191,-22.387499999997544,12.075000000004362,7
recent_after_first80,500ms,PRIMARY,27,-255.11250000000928,-9.262499999997544,245.85000000001173,27
recent_after_first80,500ms,SECONDARY,6,-45.48750000000041,-5.024999999997135,40.462500000003274,6
