window,interval,segment_id,engine,side,side_sign,entry_index,exit_index,entry_ts,exit_ts,hold_sec,exit_reason,pnl_inr,mfe_usd,mae_usd,censored,fixed_balance_inr,range60_rel,spread_rel,activity_rel,er60,spread_to_range,dir_m10_rel,dir_m30_rel,dir_m60_rel,dir_m300_rel,dir_eff60,flow_align10,flow_align60,accel_10_60,accel_30_300,short_long_balance,pullback60,pullback300,market_heat,execution_heat,session_age_sec,trade_id,raw_count2,raw_count10,event_rate_accel_2_10,median_iat2_ms,median_iat10_ms,iat_ratio_2_10,mid_move2,mid_move10,dir_mid_move2,dir_mid_move10,event_eff2,event_eff10,event_imb2,event_imb10,dir_event_imb2,dir_event_imb10,dir_imbalance_delta_2_10,quote_sidedness2,two_sided_update_frac2,spread_rel10,spread_change_rel2,spread_compression10,dir_range_position10
historical7d,500ms,0,PRIMARY,BUY,1,5718,5960,1789573826.844,1789573965.96,139.1159999370575,emergency_stop,-15.412499999998772,0.0,-4.109999999999673,False,500.0,1.187861271676144,0.9666666666674246,0.4958677685950413,0.1356001638672133,0.1411192214111545,1.4285714285677162,2.4796380090489096,2.0623052959504347,2.2485029940113987,0.1356001638672133,0.2666666666666666,0.0983606557377049,-0.6337338673827184,0.2311350150375108,-0.2012994261726037,0.0,0.0,0.5890221181865177,0.4793388429755825,3247.7400000095367,historical7d|500ms|0|PRIMARY|BUY|1789573826.844000,8.0,30.0,1.3333333333333333,98.00028800964355,100.00038146972656,0.9799991416963894,0.2999999999992724,0.42999999999938154,0.2999999999992724,0.42999999999938154,1.0,0.37391304347754567,1.0,0.2413793103448276,1.0,0.2413793103448276,0.7586206896551724,-0.14285714285714285,0.5714285714285714,1.0,0.0,0.31034482758674764,1.0
historical7d,500ms,0,PRIMARY,BUY,1,6787,7045,1789574424.972,1789574554.4499998,129.4779999256134,emergency_stop,-15.22499999999809,0.1700000000000727,-4.059999999999491,False,500.0,2.4830633284232544,0.8333333333328281,2.39344262295082,0.0987791342952145,0.059311981020164,10.048387096775258,1.358649789030611,4.869300911850251,3.0329341317367,0.0987791342952145,0.0489510489510489,-0.0336787564766839,5.179086184925007,-1.6742843427060887,1.752400921109459,0.0047449584817166,0.0037735849057426,5.943069605734347,1.9945355191244736,3845.867999792099,historical7d|500ms|0|PRIMARY|BUY|1789574424.972000,28.0,146.0,0.9589041095890412,52.00004577636719,51.999807357788086,1.0000045849896608,0.4600000000000364,3.149999999999636,0.4600000000000364,3.149999999999636,0.3650793650801213,0.43568464730277096,-0.18518518518518517,0.056338028169014086,-0.18518518518518517,0.056338028169014086,-0.24152321335419927,0.1111111111111111,0.37037037037037035,0.8620689655173496,0.06896551724289333,0.9310344827571067,0.9874015748028753
historical7d,500ms,0,PRIMARY,BUY,1,8033,9765,1789575064.35,1789575964.473,900.1229999065399,max_hold,11.325000000001635,9.399999999999636,-1.4200000000000728,False,500.0,1.33658536585373,0.8888888888879265,0.9659863945578232,0.0918102430965974,0.102189781021813,0.9726027397254812,3.320463320463977,1.8568019093082408,3.4880239520960923,0.0918102430965974,0.0985915492957746,0.0305498981670061,-0.8841991695827593,-0.1675606316321154,-0.5258799006074373,0.0291970802919465,0.0117130307466936,1.2911232785797937,0.8586545729393575,4485.246000051498,historical7d|500ms|0|PRIMARY|BUY|1789575064.350000,14.0,72.0,0.9722222222222222,55.9999942779541,52.00004577636719,1.076922018853391,-0.005000000000109139,0.39499999999952706,-0.005000000000109139,0.39499999999952706,0.0204081632659122,0.14548802946589423,-0.07692307692307693,0.11428571428571428,-0.07692307692307693,0.11428571428571428,-0.1912087912087912,-0.38461538461538464,0.46153846153846156,1.0140845070412792,0.08450704225279945,0.2816901408460808,0.9272727272710435
historical7d,500ms,0,PRIMARY,SELL,-1,11701,12244,1789576948.978,1789577221.412,272.4340000152588,momentum_zero_cross,-9.262500000000957,2.340000000000145,-2.600000000000364,False,500.0,1.6333973128605497,0.6906474820145014,1.3175355450236967,0.090163934426308,0.0564042303172089,1.4218009478681322,2.215938303340936,2.962593516209569,2.018041237114746,0.090163934426308,0.1304347826086956,0.083743842364532,-1.5407925683414367,0.19789706622619,-0.6714477510576233,0.0082256169214466,0.0070921985817132,2.152059018839966,0.90995260663522,6369.873999834061,historical7d|500ms|0|PRIMARY|SELL|1789576948.978000,27.0,139.0,0.9712230215827338,50.99987983703613,51.000118255615234,0.9999953251367397,-0.44499999999970896,-0.7449999999998909,0.44499999999970896,0.7449999999998909,0.640287769784022,0.17674970344010105,-0.3076923076923077,-0.12408759124087591,0.3076923076923077,0.12408759124087591,0.18360471645143178,0.5,0.34615384615384615,0.9230769230753086,-0.03846153846234571,0.7692307692294238,1.0
historical7d,500ms,0,PRIMARY,SELL,-1,13180,14943,1789577693.868,1789578593.993,900.125,max_hold,33.187500000001364,13.800000000000182,-1.2200000000002549,False,500.0,0.4801548886740368,0.6538461538458847,0.7466666666666667,0.0285285285285093,0.1370967741935306,-0.2022471910112818,0.0676691729324439,0.7862068965514213,1.9255813953485008,0.0285285285285093,0.0602409638554216,-0.0909090909090909,-0.9884540875627033,-1.857912222416057,-1.42318315498938,0.2379032258063776,0.0722972972972723,0.3585156502099474,0.4882051282049273,7114.763999938965,historical7d|500ms|0|PRIMARY|SELL|1789577693.868000,19.0,84.0,1.130952380952381,51.000118255615234,52.00028419494629,0.9807661447467962,-0.24499999999989086,0.10999999999967258,0.24499999999989086,-0.10999999999967258,0.46666666666597373,0.03999999999976188,-0.2222222222222222,-0.04878048780487805,0.2222222222222222,0.04878048780487805,0.17344173441734417,-0.16666666666666666,0.6111111111111112,0.7391304347814052,-0.043478260870424855,0.8695652173887254,0.09090909090799759
historical7d,500ms,0,PRIMARY,SELL,-1,16004,17275,1789579129.2659998,1789579778.929,649.6630001068115,emergency_stop,-15.149999999999864,3.130000000000109,-4.039999999999964,False,500.0,0.9158316633263012,1.0,0.8071748878923767,0.0709371293001664,0.126914660831502,2.757894736843476,1.4159292035416844,1.4692874692883608,1.4055299539170871,0.0709371293001664,0.0561797752808988,-0.0942028985507246,1.288607267555115,0.010399249624597,0.6495032585898562,0.0218818380740812,0.0072358900143666,0.739236320173696,0.8071748878923767,8550.161999702454,historical7d|500ms|0|PRIMARY|SELL|1789579129.266000,21.0,90.0,1.1666666666666667,52.500128746032715,53.00021171569824,0.9905645099618082,-0.5300000000006548,-1.0650000000005093,0.5300000000006548,1.0650000000005093,0.5955056179774363,0.2843791722294385,-0.3684210526315789,-0.045454545454545456,0.3684210526315789,0.045454545454545456,0.32296650717703346,-0.35,0.65,1.0,-0.13793103448578667,0.3793103448265048,0.942528735633013
historical7d,500ms,0,PRIMARY,BUY,1,18191,19947,1789580254.921,1789581155.406,900.4850001335144,max_hold,45.48750000000041,14.489999999999782,-0.6000000000003638,False,500.0,1.096069868995746,0.9310344827602428,0.7745098039215687,0.1077599748665535,0.1075697211157024,3.748633879781888,2.7806451612912992,1.254113345519781,2.0526893523604026,0.1077599748665535,0.1794871794871795,-0.0461538461538461,2.494520534262106,0.7279558089308966,1.6112381715965014,0.0318725099604899,0.0155945419104913,0.8489168593202346,0.7210953346868547,9675.816999912262,historical7d|500ms|0|PRIMARY|BUY|1789580254.921000,29.0,79.0,1.8354430379746836,50.99987983703613,55.9999942779541,0.9107122330030952,1.0,1.6899999999995998,1.0,1.6899999999995998,0.5813953488362009,0.5168195718653958,0.35714285714285715,0.16883116883116883,0.35714285714285715,0.16883116883116883,0.18831168831168832,0.17857142857142858,0.8214285714285714,0.9310344827602428,0.0,0.620689655170359,0.9098591549287085
historical7d,500ms,0,PRIMARY,BUY,1,20905,21093,1789581649.428,1789581743.4540002,94.02600026130676,emergency_stop,-15.412499999998772,1.949999999999818,-4.109999999999673,False,500.0,1.137472283813744,1.0,1.1935483870967742,0.0220008302199902,0.1130604288499059,0.7820512820513718,1.7730061349698387,0.5598591549294207,2.2519019442099086,0.0220008302199902,-0.0181818181818181,-0.0052770448548812,0.222192127121951,-0.4788958092400699,-0.1283518410590594,0.2943469785572388,0.086335048599118,1.3576282097131784,1.1935483870967742,11070.323999881744,historical7d|500ms|0|PRIMARY|BUY|1789581649.428000,26.0,111.0,1.1711711711711712,51.000118255615234,51.49996280670166,0.9902942735519533,0.27000000000043656,0.29500000000007276,0.27000000000043656,0.29500000000007276,0.16666666666722807,0.06190975865680133,0.12,-0.027522935779816515,0.12,-0.027522935779816515,0.1475229357798165,0.04,0.72,0.9062500000007105,-0.062499999998578915,0.46875000000213163,0.3333333333340551
historical7d,500ms,0,PRIMARY,BUY,1,22031,22224,1789582223.908,1789582321.921,98.01300001144408,emergency_stop,-15.03750000000082,0.0,-4.010000000000218,False,500.0,0.9713071200851568,1.0,1.0558375634517767,0.0640470297030206,0.126914660831502,0.6000000000015916,0.2327044025163384,1.7358490566041334,1.8131578947370808,0.0640470297030206,0.0392156862745098,0.0502793296089385,-1.1358490566025417,-1.5804534922207425,-1.3581512744116422,0.1225382932161285,0.035331230283768,1.0255425430340743,1.0558375634517767,11644.803999900818,historical7d|500ms|0|PRIMARY|BUY|1789582223.908000,28.0,104.0,1.346153846153846,51.999807357788086,52.00004577636719,0.9999954150313611,-0.1749999999992724,0.35500000000047294,-0.1749999999992724,0.35500000000047294,0.12727272727253486,0.10070921985848248,-0.07692307692307693,0.04950495049504951,-0.07692307692307693,0.04950495049504951,-0.12642802741812642,0.14814814814814814,0.7037037037037037,0.8529411764701161,-0.49999999999732503,0.617647058823372,0.11811023622317918
historical7d,500ms,0,PRIMARY,SELL,-1,24219,24982,1789583356.946,1789583760.496,403.55000019073486,emergency_stop,-15.562499999998636,2.0100000000002183,-4.149999999999636,False,500.0,0.869395711500786,0.8823529411739529,0.8888888888888888,0.1309599491417737,0.1345291479817628,2.814814814816212,1.4501718213063144,1.2935635792775844,1.4511002444988237,0.1309599491417737,0.0352941176470588,0.0409090909090909,1.5212512355386276,-0.0009284231925092,0.7601614061730593,0.0224215246633552,0.0080450522927238,0.7727961880006986,0.7843137254879581,12777.84199976921,historical7d|500ms|0|PRIMARY|SELL|1789583356.946000,21.0,88.0,1.1931818181818181,54.000020027160645,52.99973487854004,1.0188733991012024,-0.6900000000005093,-0.9200000000000728,0.6900000000005093,0.9200000000000728,0.7582417582409235,0.28840125391814314,-0.3684210526315789,-0.023809523809523808,0.3684210526315789,0.023809523809523808,0.34461152882205515,0.15,0.65,0.8571428571398874,-0.11428571428549156,0.3142857142870507,0.9004975124391796
