label,interval,opportunities,baseline_independent_lane_pnl_inr,combined_policy_pnl_inr,delta_inr,trade_retention,taken_trades,baseline_win_rate,combined_taken_win_rate,positive_policy_fraction_all_opportunities
historical_walkforward,1s,92,166.76250000003168,-49.87499999998704,-216.6375000000187,0.4673913043478261,43,0.43478260869565216,0.23255813953488372,0.10869565217391304
historical_walkforward,500ms,89,267.4218750000017,-35.10000000000389,-302.5218750000056,0.5056179775280899,45,0.48314606741573035,0.26666666666666666,0.1348314606741573
recent_after_first80,1s,44,-191.70000000002346,-77.70000000000437,114.0000000000191,0.7954545454545454,35,0.25,0.14285714285714285,0.11363636363636363
recent_after_first80,500ms,46,-352.50000000001705,-54.82499999999277,297.6750000000243,0.782608695652174,36,0.13043478260869565,0.19444444444444445,0.15217391304347827
