context,entry_ts,exit_ts,side,held_sec,peak_move_usd,exit_move_usd,retained_fraction,trade_pnl_inr
historical7d:500ms:segment0,1789575064.3500001,1789575444.4529998,BUY,380.1029996871948,9.399999999999636,4.6899999999996,0.49893617021274267,16.625491942365493
historical7d:500ms:segment0,1789592304.8969998,1789592399.967,BUY,95.07000017166138,9.100000000000364,1.4900000000006912,0.16373626373633315,5.366056501310223
historical7d:500ms:segment0,1789593033.9889998,1789593594.4899998,SELL,560.5009999275208,21.299999999999272,9.75,0.4577464788732551,32.100904361671056
historical7d:500ms:segment0,1789596332.446,1789596462.492,SELL,130.0460000038147,16.159999999999854,6.519999999999527,0.40346534653462784,27.557331411325784
historical7d:500ms:segment0,1789598469.9750001,1789598510.42,BUY,40.4449999332428,4.5900000000001455,0.7699999999995271,0.1677559912852947,3.1364307262374123
historical7d:500ms:segment0,1789598970.992,1789599101.4689999,BUY,130.47699975967407,6.169999999999163,2.889999999999418,0.4683954619124489,11.83978057602997
historical7d:500ms:segment0,1789618633.982,1789618784.344,BUY,150.3619999885559,4.039999999999964,1.6700000000000728,0.4133663366336851,6.812944550961977
historical7d:500ms:segment0,1789621006.3980002,1789621381.471,SELL,375.07299971580505,4.059999999999491,1.9399999999995998,0.4778325123152323,8.01356692337392
historical7d:500ms:segment0,1789623087.402,1789623432.9950001,SELL,345.5930001735687,4.149999999999636,1.1899999999995998,0.2867469879517359,4.832959418051657
historical7d:500ms:segment0,1789635294.824,1789635904.982,BUY,610.1580002307892,5.509999999999309,2.7100000000000364,0.49183303085306285,11.218478696564327
historical7d:500ms:segment0,1789640864.822,1789641019.996,BUY,155.17400002479553,4.079999999999927,1.8100000000004002,0.44362745098049816,7.988406679991783
historical7d:500ms:segment0,1789643496.452,1789643646.493,SELL,150.04100012779236,5.25,2.5600000000004,0.48761904761912384,11.102328186723247
historical7d:500ms:segment0,1789656821.38,1789656976.3969998,BUY,155.0169997215271,4.229999999999563,1.4799999999995634,0.3498817966902402,6.652663158571105
historical7d:500ms:segment0,1789657699.967,1789657855.4940002,BUY,155.52700018882751,4.199999999999818,1.8699999999998909,0.44523809523808855,8.620782055999962
historical7d:500ms:segment0,1789658307.451,1789658432.4940002,BUY,125.04300022125244,6.050000000000182,2.9099999999998545,0.4809917355371516,13.603376259794702
historical7d:500ms:segment0,1789661749.9420002,1789661990.224,BUY,240.28199982643127,5.920000000000073,2.3100000000004,0.3902027027027655,10.296913132491804
