interval,segment_id,candidate_d_pnl_inr,candidate_f_pnl_inr,delta_f_vs_d_inr,candidate_d_trades,candidate_f_trades,candidate_d_wins,candidate_f_wins,candidate_d_max_drawdown_inr,candidate_f_max_drawdown_inr,candidate_f_primary_ratchet_exits
500ms,0,696.8428619834062,128.48185614563056,-568.3610058377757,98,110,46,52,218.9381795572965,118.5762099554293,23
500ms,1,44.100517926115,70.10036535042718,25.99984742431218,23,23,12,12,35.71970634386099,40.122906704452646,3
500ms,2,-13.57863832016642,-13.57863832016642,0.0,8,8,3,3,29.53955840072996,29.53955840072996,1
500ms,3,34.31993370500095,34.31993370500095,0.0,16,16,7,7,45.342126358477344,45.342126358477344,0
500ms,4,212.81535096220955,212.81535096220955,0.0,18,18,13,13,22.50067024906457,22.50067024906457,0
1s,0,169.91793307493617,66.74744039213692,-103.17049268279925,98,106,42,47,172.14469599809354,159.4531878511782,17
1s,1,41.93295235703238,47.4567779306675,5.523825573635122,21,22,11,12,52.346540357980984,73.9801892919441,3
1s,2,-45.95461543615477,-29.49983851455113,16.45477692160364,8,8,1,2,55.95226824865756,47.13472956071104,2
1s,3,80.42284290821033,80.42284290821033,0.0,11,11,6,6,45.0062855503611,45.0062855503611,0
1s,4,78.27872866041719,78.27872866041719,0.0,18,18,11,11,40.75649050493149,40.75649050493149,0
