interval,extra_slippage_usd_per_side,historical_candidate_d_compounded_pnl_inr,historical_candidate_f_compounded_pnl_inr,historical_delta_f_vs_d_inr,recent_candidate_d_terminal_equity_pnl_inr,recent_candidate_f_terminal_equity_pnl_inr,recent_delta_f_vs_d_inr,historical_candidate_f_ratchet_exits,recent_candidate_f_ratchet_exits
500ms,0.0,1430.311133793068,562.0748041113592,-868.2363296817088,-223.27329174700338,-221.57732144181182,1.6959703051915653,27,6
500ms,0.05,1164.8109181225905,571.2192867573314,-593.5916313652591,-228.5917885979548,-212.02802241435234,16.563766183602468,23,6
500ms,0.1,964.1613580745292,649.1688709127408,-314.9924871617884,-232.58559413921654,-215.57501264038007,17.010581498836473,21,6
500ms,0.2,335.0871578930338,158.8440445116871,-176.24311338134672,-240.88778913584088,-224.863927745698,16.023861390142883,22,6
1s,0.0,385.2544619534224,283.97258777792325,-101.28187417549913,-135.9095261798986,-180.40810106271346,-44.498574882814864,22,5
1s,0.05,281.9016479168638,141.10841708934075,-140.79323082752305,-140.26333968522584,-169.1754797708316,-28.912140085605756,23,5
1s,0.1,248.12032921993654,125.77644522649045,-122.34388399344608,-143.91095503479,-170.78097320976713,-26.870018174977133,22,5
1s,0.2,35.88449127824222,-61.84440697821364,-97.72889825645586,-155.80934360412596,-176.47646643801625,-20.66712283389029,21,5
