interval,split,candidate_d_terminal_equity_pnl_inr,candidate_h_terminal_equity_pnl_inr,delta_h_vs_d_inr,candidate_h_primary_flow_exits
500ms,seed,-92.47632849025553,-80.57790392259221,11.898424567663312,1
500ms,evaluation,-149.92292560013215,-141.65701614833876,8.26590945179339,1
1s,seed,-86.5433495254544,-73.58004601823319,12.963303507221212,1
1s,evaluation,-52.31249415892705,-57.23928314683707,-4.926788987910015,1
