interval,extra_slippage_usd_per_side,historical_candidate_d_compounded_pnl_inr,historical_candidate_h_compounded_pnl_inr,historical_delta_h_vs_d_inr,recent_candidate_d_terminal_equity_pnl_inr,recent_candidate_h_terminal_equity_pnl_inr,recent_delta_h_vs_d_inr,historical_candidate_h_flow_exits,recent_candidate_h_flow_exits
500ms,0.0,1430.311133793068,1287.0890835318237,-143.22205026124425,-223.27329174700338,-208.4689762103303,14.804315536673073,18,2
500ms,0.05,1164.8109181225905,1063.7079344681954,-101.10298365439508,-228.5917885979548,-214.0606050534518,14.531183544502994,16,2
500ms,0.1,964.1613580745292,875.1940743033928,-88.96728377113641,-232.58559413921654,-219.15014645031755,13.43544768889899,16,2
500ms,0.2,335.0871578930338,287.88770606255974,-47.19945183047406,-240.88778913584088,-229.17428569149047,11.713503444350408,16,2
1s,0.0,385.2544619534224,360.79357527974355,-24.46088667367883,-135.9095261798986,-128.62645713776266,7.283069042135935,17,2
1s,0.05,281.9016479168638,274.43278309175156,-7.4688648251122345,-140.26333968522584,-133.06171619388073,7.201623491345117,14,2
1s,0.1,248.12032921993654,240.97302084265993,-7.147308377276602,-143.91095503479,-138.60265758541567,5.308297449374322,14,2
1s,0.2,35.88449127824222,27.98417774859041,-7.900313529651811,-155.80934360412596,-151.1297441729143,4.67959943121167,14,2
