context,real_exit_ts,legacy_release_ts,ghost_duration_sec,side,legacy_exit_reason,legacy_exit_move_usd
historical7d:500ms:segment0,1789575449.467,1789575964.473,515.0060000419617,BUY,7,3.0200000000004366
historical7d:500ms:segment0,1789578568.9190001,1789578593.993,25.073999881744385,SELL,7,8.850000000000364
historical7d:500ms:segment0,1789593249.4550002,1789593933.999,684.5439999103546,SELL,7,14.75
historical7d:500ms:segment0,1789596467.447,1789596617.4259999,149.97899985313416,SELL,2,25.090000000000146
historical7d:500ms:segment0,1789598705.334,1789599370.496,665.1619999408722,BUY,7,6.149999999999636
historical7d:500ms:segment0,1789623737.9859998,1789623987.642,249.6560001373291,SELL,7,2.2899999999999636
historical7d:500ms:segment0,1789640389.978,1789640406.004,16.026000022888184,BUY,5,7.680000000000291
historical7d:500ms:segment0,1789641340.964,1789641765.276,424.3120000362396,BUY,7,2.1400000000003274
historical7d:500ms:segment0,1789657166.99,1789657721.4380002,554.4480001926422,BUY,7,9.6899999999996
historical7d:500ms:segment0,1789658685.481,1789659125.299,439.8180000782013,BUY,7,11.509999999999309
historical7d:500ms:segment0,1789662215.485,1789662495.4540002,279.96900033950806,BUY,1,-4.0900000000001455
historical7d:500ms:segment0,1789665094.9390001,1789665122.47,27.530999898910522,BUY,1,-4.280000000000655
historical7d:500ms:segment0,1789707266.825,1789707481.849,215.0239999294281,SELL,7,-0.75
historical7d:500ms:segment0,1789712841.82,1789713111.404,269.5840001106262,SELL,7,-0.4099999999998545
historical7d:500ms:segment0,1789722217.8990002,1789722322.498,104.59899973869324,BUY,5,5.4299999999993815
historical7d:500ms:segment1,1789758849.9350002,1789758913.959,64.0239999294281,BUY,5,0.1999999999998181
historical7d:500ms:segment1,1789760128.9539998,1789760369.1529999,240.19900012016296,BUY,7,7.480000000000473
historical7d:500ms:segment2,1789968406.965,1789968412.476,5.511000156402588,SELL,7,3.699999999999818
recent24h:500ms:whole,1790249466.9910002,1790249518.46,51.4689998626709,SELL,1,-4.210000000000036
recent24h:500ms:whole,1790268204.91,1790268308.987,104.07699990272522,SELL,1,-4.1599999999998545
historical7d:1s:segment0,1789575464.982,1789575994.977,529.9949998855591,BUY,7,4.25
historical7d:1s:segment0,1789593249.952,1789593933.999,684.047000169754,SELL,7,14.75
historical7d:1s:segment0,1789623733.9859998,1789623994.9740002,260.9880003929138,SELL,7,2.100000000000364
historical7d:1s:segment0,1789641741.738,1789641806.8899999,65.15199995040894,BUY,7,1.3999999999996362
historical7d:1s:segment0,1789657166.99,1789657776.993,610.0030000209808,BUY,7,12.590000000000146
historical7d:1s:segment0,1789658684.9350002,1789659135.966,451.0309998989105,BUY,7,12.899999999999636
historical7d:1s:segment0,1789662215.99,1789662495.851,279.86100006103516,BUY,1,-4.109999999999673
historical7d:1s:segment0,1789665108.905,1789665122.976,14.071000099182129,BUY,1,-4.089999999999236
historical7d:1s:segment0,1789707266.825,1789707481.849,215.0239999294281,SELL,7,-0.75
historical7d:1s:segment0,1789712881.8609998,1789713111.404,229.54300022125244,SELL,7,-0.4099999999998545
historical7d:1s:segment0,1789722253.949,1789722322.851,68.90200018882751,BUY,5,5.469999999999345
historical7d:1s:segment1,1789749512.81,1789749991.997,479.1870000362396,SELL,7,5.569999999999709
historical7d:1s:segment1,1789760128.9539998,1789760369.956,241.00200033187866,BUY,7,7.480000000000473
historical7d:1s:segment2,1789968406.965,1789968412.9859998,6.020999908447266,SELL,7,3.869999999999891
historical7d:1s:segment2,1789994462.9699998,1789994712.9950001,250.025000333786,SELL,7,-2.5399999999999636
historical7d:1s:segment3,1790010271.993,1790010322.9980001,51.00500011444092,SELL,2,25.0600000000004
recent24h:1s:whole,1790249466.9910002,1790249521.964,54.972999811172485,SELL,1,-4.479999999999563
recent24h:1s:whole,1790269452.8969998,1790269512.829,59.932000160217285,SELL,7,2.0600000000004
