window,alignment,shift_minutes,matched_returns,pearson_return,spearman_return,direction_agreement,price_level_pearson,basis_median_usd,basis_std_usd
historical_first80,raw_reported,0,992,-0.021020677439401437,0.0029533713976560225,0.4889112903225806,0.6698515318307945,37.33240234374989,24.018229241646008
historical_first80,best_lag,180,1050,0.9920765955068005,0.9890323850120158,0.9504761904761905,0.9990969554028633,38.33735351562473,1.2962754382518478
historical_first80,mt5_minus_10797.91s,-179.96518315,1054,0.9882249092100651,0.9832293900169436,0.9421252371916509,0.999064332590822,38.340048828124964,1.320891041410274
recent24h,raw_reported,0,253,-0.09603480490211691,-0.09639355049564427,0.466403162055336,0.47796185804484886,33.210000000000036,13.645548351199793
recent24h,best_lag,180,264,0.9914570698049521,0.9911355459136484,0.9583333333333334,0.9989813904863288,34.8325488281248,0.671980224206828
recent24h,mt5_minus_10797.91s,-179.96518315,265,0.9859110972688355,0.98585660379765,0.9471698113207547,0.9988816341727167,34.840000000000146,0.6936606223716407
