window,gc_shift_minutes_to_match_mt5,matched_returns,pearson_return,spearman_return,direction_agreement,price_level_pearson,basis_median_usd,basis_std_usd
historical_first80,-240,944,-0.05924050467599926,-0.0468824581314885,0.4671610169491525,0.3609138840442781,39.89995117187573,34.15497695658104
historical_first80,-235,945,-0.008883108461061117,-0.047151980593458084,0.46984126984126984,0.3658949741920624,40.045195312499345,34.06252225517779
historical_first80,-230,946,-0.009627991235644666,0.04023335141894943,0.5158562367864693,0.37154540219604176,40.86259765624982,33.93940060171118
historical_first80,-225,947,-0.0003351533610512108,0.002817604343145291,0.4931362196409715,0.3774211786967309,40.815097656250146,33.77995805536251
historical_first80,-220,948,-0.017935187717334166,-0.04677816595406328,0.479957805907173,0.38440383355646957,41.570000000000164,33.589468460141724
historical_first80,-215,949,0.02013150408292932,0.041031182560235406,0.5089567966280295,0.3912073510341314,41.215000000000146,33.40532950924652
historical_first80,-210,950,-0.08343769546488806,-0.02589782369087724,0.4768421052631579,0.3964084534134929,40.685146484374854,33.27355120728588
historical_first80,-205,951,0.01258858225014178,0.014227915082015624,0.501577287066246,0.4046828534746575,39.945097656249345,33.03604708145136
historical_first80,-200,952,0.08379653315695566,0.06513568769372043,0.5241596638655462,0.41249754726068305,39.88269531249989,32.808790738909835
historical_first80,-195,953,-0.0002927210160254301,0.008272296050169377,0.4931794333683106,0.4185839644279906,40.100195312499636,32.62914804223194
historical_first80,-190,954,-0.023357360815200578,0.014724050354109524,0.49266247379454925,0.42397624801836176,40.76009765625031,32.4654847716559
historical_first80,-185,955,-0.01724048078366004,0.009246149489944778,0.4952879581151832,0.4295907671390745,39.56990234375007,32.28409221109168
historical_first80,-180,956,-0.011040214799512055,-0.019519700258877993,0.48221757322175735,0.435555707069041,39.467353515624836,32.104065136473025
historical_first80,-175,957,-0.04873381506484539,-0.006923443045341959,0.49007314524555906,0.44157445648592153,40.445097656249345,31.920211924261892
historical_first80,-170,958,-0.0035930250605365572,-0.015063676414178587,0.4906054279749478,0.44834710140216255,40.55519531250002,31.71723820373596
historical_first80,-165,959,-0.010897755670019752,-0.032616331371658605,0.4629822732012513,0.45626022508810704,40.45490234375029,31.488035602405404
historical_first80,-160,960,-0.040162092006943685,-0.05716873531238187,0.4583333333333333,0.4643419210105918,40.875,31.25260452127504
historical_first80,-155,961,-0.03513062944181667,-0.036155961201985956,0.4869927159209157,0.4737219715469028,40.20490234375029,30.97913361842759
historical_first80,-150,962,0.018129320197485563,0.04546281471112038,0.5145530145530145,0.48446994853624653,40.74245117187547,30.665284696043855
historical_first80,-145,963,0.04055891255672503,0.04033421841192343,0.4994807892004154,0.4943810818054978,40.05519531249956,30.374452741305532
historical_first80,-140,964,-0.03975312448018626,-0.02102157905047791,0.4979253112033195,0.5030550285685199,39.230097656249654,30.11837355714123
historical_first80,-135,965,-0.02070551043977838,-0.006694226239331107,0.48911917098445595,0.5120909074483322,38.89519531249971,29.84621800828082
historical_first80,-130,966,0.02078367586299181,0.02248267381752988,0.4989648033126294,0.5211088238543334,38.45509765625002,29.572110156931554
historical_first80,-125,967,0.02725780240167185,0.03810852473059084,0.500517063081696,0.5300054258501149,38.72509765625,29.29883426269111
historical_first80,-120,968,0.03795578596742422,0.048327596024799475,0.5103305785123967,0.5381420385188652,38.342500000000655,29.046452759373402
historical_first80,-115,969,0.012475325526426655,0.009754242886964968,0.48297213622291024,0.5450185298574037,38.78480468749967,28.821483945595915
historical_first80,-110,970,0.045262089396720065,-0.0031491177507935383,0.47525773195876286,0.5515059127009582,39.014853515624964,28.610359399098098
historical_first80,-105,971,0.011197701842118374,0.011883533083065298,0.4922760041194645,0.5571059611114654,38.594999999999345,28.42504672236485
historical_first80,-100,972,-0.007178678508791204,-9.557449794890721e-05,0.49382716049382713,0.5626656818739182,38.310146484374854,28.239182315691604
historical_first80,-95,973,-0.013629982243195792,-0.01898597040409734,0.48098663926002055,0.568832279995237,37.795195312499345,28.038789240987757
historical_first80,-90,974,0.05569269404370731,0.027130065126279527,0.5061601642710473,0.5755959655575258,38.16259765625,27.81479217376485
historical_first80,-85,975,-0.04455757831420358,-0.02500146714853471,0.4666666666666667,0.5812995539488006,38.340000000000146,27.61684375140488
historical_first80,-80,976,-0.046229381947290926,-0.040109193546791266,0.48360655737704916,0.5874625740655087,37.92750000000024,27.403673493786535
historical_first80,-75,977,0.03460438111681159,0.036362926183670034,0.5076765609007164,0.5944721026547471,37.554902343750655,27.15873252056514
historical_first80,-70,978,-0.010695988110680257,-0.008172666191431128,0.5,0.6013547534974573,37.0625,26.917698543094183
historical_first80,-65,979,-0.06900722716390979,-0.06923060009839356,0.466802860061287,0.6086653028006946,37.30980468750022,26.6564552183608
historical_first80,-60,980,-0.020038259024398684,-0.02446987369224719,0.48367346938775513,0.617571283612817,37.25,26.321228551955446
historical_first80,-55,981,0.01728023510380291,0.026818716160319174,0.49031600407747195,0.6239885494444121,36.95509765624956,26.073037028005455
historical_first80,-50,982,-0.04163036346866537,-0.04869315526319673,0.4786150712830957,0.6304862546713748,36.74269531250002,25.822330803952436
historical_first80,-45,983,0.02825935656362814,0.03139704461790972,0.4852492370295015,0.6361001552571118,36.759804687500036,25.59187041667998
historical_first80,-40,984,0.045933380697496765,0.03822276449647058,0.49898373983739835,0.6419117384767887,36.99995117187518,25.358301768901697
historical_first80,-35,985,-0.033313072912728565,-0.012877887176416513,0.4730964467005076,0.6462556514113914,36.88519531249949,25.171011763256548
historical_first80,-30,986,0.029401503652396018,0.016876275196188565,0.48782961460446245,0.6513837951231422,37.03519531249958,24.96037629688115
historical_first80,-25,987,-0.033167886369288885,-0.009116805497395086,0.4690982776089159,0.6537112408649665,36.735195312499854,24.836386482634392
historical_first80,-20,988,-0.012209110770911557,0.011456484939296274,0.48582995951417,0.6572217817307922,36.81504882812487,24.673333618443277
historical_first80,-15,989,-0.034199720671073956,-0.016899773229320215,0.47724974721941354,0.6617234932197666,37.26490234374978,24.48108657240218
historical_first80,-10,990,0.042365311314395276,0.01682377925193939,0.47878787878787876,0.6664400724249612,36.88485351562531,24.272495860905675
historical_first80,-5,991,-0.006070350848544126,-0.009553974830655797,0.496468213925328,0.6686074423127419,37.24009765624942,24.13110230581369
historical_first80,0,992,-0.021020677439401437,0.0029533713976560225,0.4889112903225806,0.6698515318307945,37.33240234374989,24.018229241646008
historical_first80,5,993,0.008450431487532776,0.036265714930941315,0.5065458207452165,0.6756422629822579,37.83019531250011,23.768188589731164
historical_first80,10,994,0.05552619769565008,0.029543356451980196,0.506036217303823,0.6803394274143444,37.55735351562498,23.528567049214043
historical_first80,15,995,-0.06554520167128891,-0.06253161323706223,0.49246231155778897,0.6855497305351661,37.33019531250011,23.280176280280784
historical_first80,20,996,0.004065116380717626,0.00289143611470218,0.49497991967871485,0.69143110108186,37.28500000000031,22.998938946407957
historical_first80,25,997,0.016109706175140223,0.04339504947934384,0.5245737211634904,0.6977966769896186,36.85490234374993,22.707848703787434
historical_first80,30,998,-0.0002801870031555655,-0.0003097354288629786,0.4749498997995992,0.7033788678193584,36.98985351562487,22.440614986011195
historical_first80,35,999,-0.03240452278531448,-0.027087564289146784,0.46846846846846846,0.7112748357422104,36.890097656249964,22.100096214137942
historical_first80,40,1000,0.015026581220955706,0.02937450702530066,0.522,0.7193570120822794,36.44735351562531,21.742240703629218
historical_first80,45,1001,-0.10765597494776875,-0.14410761807438077,0.43456543456543456,0.7266680268382,36.2200976562508,21.404039889016783
historical_first80,50,1002,0.015605968021828375,0.014557292033073694,0.4940119760479042,0.7365963330640651,36.33509765625013,20.971255709369203
historical_first80,55,1003,0.010463358419120983,-0.02535791581637671,0.46859421734795614,0.7477974089281743,36.12480468749982,20.514941411721903
historical_first80,60,1004,-0.015034593629969863,-0.01777781985854403,0.4860557768924303,0.7591676881974898,36.20740234374989,20.05356147700378
historical_first80,65,1008,0.025656336884647656,0.03536678916007882,0.49007936507936506,0.7720337461063985,36.69245117187438,19.549325705317386
historical_first80,70,1012,-0.0034356128019862324,-0.015674823438617858,0.4762845849802372,0.7846564017979544,36.38230468749953,19.056656185376305
historical_first80,75,1016,-0.002369235512611233,-0.0028996294455865042,0.4822834645669291,0.7969298517917962,36.8725000000004,18.556295508244137
historical_first80,80,1020,0.03202809326384903,0.05332165943652811,0.49117647058823527,0.8090797598974825,36.63254882812453,18.04464499021637
historical_first80,85,1024,0.03833493891365928,0.03782398583961331,0.5009765625,0.8206190137912732,36.25749999999971,17.539638503513025
historical_first80,90,1028,-0.018891797832319486,-0.020857172544006108,0.4970817120622568,0.8312897039336665,36.19504882812498,17.055026689176323
historical_first80,95,1032,0.003921936190862115,0.003802563235839862,0.4844961240310077,0.8419510017890269,36.60500000000002,16.542635484542703
historical_first80,100,1036,-0.03870885851520302,-0.008082028416452962,0.4893822393822394,0.852235417105641,36.870000000000346,16.029930420204412
historical_first80,105,1040,0.024370110901852496,0.015543684334146253,0.49038461538461536,0.8630797996214694,37.18245117187507,15.463871170173672
historical_first80,110,1044,-0.0020624124741335055,0.008936081260639536,0.49808429118773945,0.8732599541345143,37.17750000000024,14.911385736085952
historical_first80,115,1048,0.05089861014533229,0.030017031654162564,0.5066793893129771,0.8831669176443583,37.48000000000002,14.344056412566538
historical_first80,120,1052,-0.051766420731361444,0.005586850303407783,0.47338403041825095,0.8919491440168327,37.66259765625,13.820353596696306
historical_first80,125,1052,0.058932766550501434,0.03638516945586616,0.49429657794676807,0.9011023583242395,37.997402343749854,13.218268994742497
historical_first80,130,1052,-0.04641852988695752,-0.08082882323028064,0.46482889733840305,0.9091385900984786,37.87254882812476,12.668188587787029
historical_first80,135,1052,0.012187072885828012,-0.016644533462523876,0.46387832699619774,0.918048825839065,38.20250000000033,12.029186122871954
historical_first80,140,1052,-0.05128444684850288,-0.040601270199553376,0.4714828897338403,0.9268772918010568,38.24754882812476,11.35688652314642
historical_first80,145,1052,-0.024608577029327828,-0.04991318194703717,0.4686311787072243,0.9364435866722548,38.175048828125,10.582485410737231
historical_first80,150,1052,0.06534549606393378,0.017456421247532335,0.5019011406844106,0.9465325456403855,38.47009765624989,9.701322874031627
historical_first80,155,1052,-0.07601949195764336,-0.029723831900968677,0.48954372623574144,0.955299796541805,38.25,8.86854452122759
historical_first80,160,1052,0.13500651965251514,-0.020744676854781954,0.4534220532319392,0.9655671762027755,38.50500000000011,7.783094439172333
historical_first80,165,1052,-0.03984469330438037,-0.01241193197192691,0.5047528517110266,0.973178323915657,38.43504882812476,6.872317078518375
historical_first80,170,1052,0.014406692743790632,0.013431898811676933,0.4914448669201521,0.9815524543226761,38.60985351562476,5.702128154990144
historical_first80,175,1051,-0.07514109323917155,-0.013848191231972324,0.4928639391056137,0.9895675298375982,38.60009765625,4.292921363336666
historical_first80,180,1050,0.9920765955068005,0.9890323850120158,0.9504761904761905,0.9990969554028633,38.33735351562473,1.2962754382518478
historical_first80,185,1046,-0.07261318338454024,-0.020242623062782922,0.47992351816443596,0.9893172388838046,38.34754882812513,4.337432719741863
historical_first80,190,1042,0.009672906122284655,0.019489330187893356,0.5028790786948176,0.9807907727166856,38.31740234375047,5.796562217935571
historical_first80,195,1038,-0.0389476560899327,-0.016503090173931947,0.5086705202312138,0.9719585236178945,38.514853515624964,6.982197380200172
historical_first80,200,1034,0.13571860981211967,-0.016833274544845366,0.46131528046421666,0.9637378524896855,38.487695312499454,7.915487632146608
historical_first80,205,1030,-0.06507763486992246,-0.02166536587985743,0.49514563106796117,0.9526775266128757,38.83250000000044,9.013598741502024
historical_first80,210,1026,0.05958028208955587,0.023941726941933167,0.49415204678362573,0.9427148184389078,38.83249999999998,9.887397213952562
historical_first80,215,1022,-0.01639086550013165,-0.059906002289196986,0.4569471624266145,0.9314870828555963,39.02759765625024,10.776879869210415
historical_first80,220,1018,-0.04690146502623464,-0.029337999233928342,0.4724950884086444,0.9205330833067691,39.130097656249745,11.571521087476889
historical_first80,225,1014,0.00787264024294701,-0.02244287909909943,0.44970414201183434,0.9103774013331646,38.91480468750024,12.24810772896011
historical_first80,230,1010,-0.04772249615543826,-0.08466157447213134,0.4603960396039604,0.8999879384280234,39.04499999999962,12.897777314874462
historical_first80,235,1006,0.06449569602836529,0.04321201925667315,0.4960238568588469,0.8904098748886182,39.240048828125055,13.454867153296561
historical_first80,240,1002,-0.05556469363027312,0.007288427025223285,0.4810379241516966,0.8793035163859657,39.63240234375007,14.088493971444663
recent24h,-240,252,-0.004352812271646711,-0.005339085347943676,0.49206349206349204,0.24262475637947373,29.7373046875,15.94840006797742
recent24h,-235,252,0.018247087055924857,0.02779998751465111,0.5317460317460317,0.26153026446455513,29.669902343749982,15.700227779079741
recent24h,-230,252,-0.033347575516097155,-0.0029826140409334235,0.503968253968254,0.279648035963806,29.800048828125,15.454528029828444
recent24h,-225,252,-0.0016275136148104694,0.0012230404778786708,0.49603174603174605,0.300270226644123,30.162353515625,15.159584818207598
recent24h,-220,252,0.07489330500292891,0.09080981814306927,0.5595238095238095,0.3194474408588376,30.367402343749745,14.888556696253879
recent24h,-215,252,-0.04503688271370237,-0.054349939176068784,0.4523809523809524,0.3326357367075125,30.205048828125655,14.711233858044132
recent24h,-210,252,0.03575805475701241,0.04722128540356505,0.5119047619047619,0.35148244427061853,30.287402343749818,14.450209312794705
recent24h,-205,252,0.03619619370684356,0.017788077679950273,0.49206349206349204,0.3678231591472818,30.23230468749989,14.230540119699885
recent24h,-200,252,0.05731145483869636,0.025845072416043082,0.5,0.37837459249819744,30.34995117187509,14.12673714706984
recent24h,-195,252,-0.014118706071971654,-0.036406263152059755,0.48412698412698413,0.3843402478630757,30.587646484375,14.07210194209622
recent24h,-190,252,0.004961446689795961,0.043439683239284155,0.5198412698412699,0.39253813649587327,31.169902343749982,13.989962748997748
recent24h,-185,252,-0.025511451739919273,-0.03615693086579694,0.4801587301587302,0.4009491453279313,31.589853515625236,13.924713412742236
recent24h,-180,252,0.025362688899322784,0.00339804287278185,0.4642857142857143,0.4105151832795592,32.00999999999976,13.86948361772442
recent24h,-175,252,-0.0771620177684883,-0.058443112964235995,0.5119047619047619,0.41535425327991454,32.28259765624989,13.883665982516348
recent24h,-170,252,-0.018167721530176907,-0.002211371164478357,0.503968253968254,0.4228337884844806,32.10004882812518,13.865005015004316
recent24h,-165,252,0.09353528735687308,0.051080874207759724,0.4880952380952381,0.4301494427442601,31.719951171874982,13.85551118694798
recent24h,-160,252,0.04226842451431777,0.010147261647243515,0.49206349206349204,0.43310012106676166,31.119804687500164,13.865168380526347
recent24h,-155,252,-0.019785740471458823,-0.04843645223029858,0.4642857142857143,0.4360275663787572,31.397500000000036,13.850066984654678
recent24h,-150,252,0.042152828556012295,0.002609927886730051,0.4880952380952381,0.43802704469974535,30.984951171874854,13.846898059887593
