interval,window_id,source,start_ts,end_ts,candidate_d_pnl,router_v2_pnl,candidate_d_trades,router_v2_trades,candidate_d_wins,router_v2_wins,router_hold_decisions,router_routed_entries
1s,19,recent24h,1790233309.687,1790247708.9539998,-28.718269253825277,-28.718269253825277,3,3,0,0,0,4
1s,20,historical7d,1789952400.692,1789772399.9699998,0.0,0.0,0,0,0,0,0,0
1s,21,recent24h,1790242214.527,1790256613.889,-65.7819955967251,-65.7819955967251,7,7,0,0,0,7
1s,22,historical7d,1789952400.692,1789772399.9699998,0.0,0.0,0,0,0,0,0,0
1s,23,recent24h,1790255321.68,1790269720.9129999,-34.87139817365335,-25.879119693221128,10,10,3,3,1,10
1s,24,historical7d,1789577908.907,1789592307.95,29.687052807127287,29.687052807127287,10,10,3,3,0,11
1s,25,recent24h,1790235054.944,1790249451.871,-30.913602971251397,-30.913602971251397,4,4,0,0,0,5
1s,26,historical7d,1789675882.769,1789685999.957,-14.924555625000835,-14.924555625000835,2,2,0,0,0,2
1s,27,recent24h,1790211600.9950001,1790218895.6169999,0.0,0.0,0,0,0,0,0,0
1s,28,historical7d,1789952400.692,1789772399.9699998,0.0,0.0,0,0,0,0,0,0
1s,29,recent24h,1790223747.996,1790238147.464,-0.2253562500010844,-0.2253562500010844,2,2,1,1,0,2
1s,30,historical7d,1789952400.692,1789772399.9699998,0.0,0.0,0,0,0,0,0,0
1s,31,recent24h,1790196632.882,1790204399.997,-12.67500000000041,-12.67500000000041,1,1,0,0,0,1
1s,32,historical7d,1789642370.784,1789656769.514,-6.004075002103246,-6.004075002103246,5,5,1,1,0,6
1s,33,recent24h,1790196014.844,1790204399.997,18.355419374998746,18.355419374998746,2,2,1,1,0,2
1s,34,historical7d,1789583165.984,1789597564.9129999,45.449075150882436,1.737674092928728,24,23,9,8,3,23
1s,35,recent24h,1790234128.9550002,1790248527.966,-31.756441376775626,-31.756441376775626,4,4,0,0,0,4
1s,36,historical7d,1789988303.992,1790002702.484,-9.524999999999864,-9.524999999999864,1,1,0,0,0,1
1s,37,recent24h,1790241430.9169998,1790255829.46,-69.17501004545511,-69.17501004545511,7,7,0,0,0,7
1s,38,historical7d,1789702201.855,1789716600.972,-0.308031037418516,-0.308031037418516,5,5,2,2,0,5
1s,39,recent24h,1790232229.752,1790246628.8009999,-28.96556233359911,-28.96556233359911,3,3,0,0,0,3
