interval,model,segment_id,pnl_inr,profit_factor,trades,wins,max_drawdown_inr,win_rate,compounded_pnl_inr,median_segment_pf
500ms,Candidate D baseline,0,696.8428619834062,1.7428577443389235,98,46,218.9381795572965,0.46938775510204084,,
500ms,Candidate D baseline,1,44.100517926115,1.3756640618094829,23,12,35.71970634386099,0.5217391304347826,,
500ms,Candidate D baseline,2,-13.57863832016642,0.6221002242035942,8,3,29.53955840072996,0.375,,
500ms,Candidate D baseline,3,34.31993370500095,1.3509959326539795,16,7,45.342126358477344,0.4375,,
500ms,Candidate D baseline,4,212.81535096220955,4.594076885025599,18,13,22.50067024906457,0.7222222222222222,,
500ms,Router probe,0,709.3597352431655,1.7561068412331982,97,46,221.22788820016694,0.4742268041237113,,
500ms,Router probe,1,44.100517926115,1.3756640618094829,23,12,35.71970634386099,0.5217391304347826,,
500ms,Router probe,2,-13.57863832016642,0.6221002242035942,8,3,29.53955840072996,0.375,,
500ms,Router probe,3,34.31993370500095,1.3509959326539795,16,7,45.342126358477344,0.4375,,
500ms,Router probe,4,197.23221104534366,4.38224873467372,17,12,22.008774146881706,0.7058823529411765,,
500ms,Candidate D baseline,aggregate,,,,163,81,218.9381795572965,0.49693251533742333,1430.311133793068,1.3756640618094829
500ms,Router probe,aggregate,,,,161,80,221.22788820016694,0.4968944099378882,1407.8581663179127,1.3756640618094829
1s,Candidate D baseline,0,169.91793307493617,1.1919652394865075,98,42,172.14469599809354,0.42857142857142855,,
1s,Candidate D baseline,1,41.93295235703238,1.3782424048517317,21,11,52.346540357980984,0.5238095238095238,,
1s,Candidate D baseline,2,-45.95461543615477,0.23840252009619664,8,1,55.95226824865756,0.125,,
1s,Candidate D baseline,3,80.42284290821033,2.2676857449932504,11,6,45.0062855503611,0.5454545454545454,,
1s,Candidate D baseline,4,78.27872866041719,1.6772007246054033,18,11,40.75649050493149,0.6111111111111112,,
1s,Router probe,0,179.60226535626566,1.203093416013963,97,42,164.5265011449145,0.4329896907216495,,
1s,Router probe,1,41.93295235703238,1.3782424048517317,21,11,52.346540357980984,0.5238095238095238,,
1s,Router probe,2,-45.95461543615477,0.23840252009619664,8,1,55.95226824865756,0.125,,
1s,Router probe,3,80.42284290821033,2.2676857449932504,11,6,45.0062855503611,0.5454545454545454,,
1s,Router probe,4,78.27872866041719,1.6772007246054033,18,11,40.75649050493149,0.6111111111111112,,
1s,Candidate D baseline,aggregate,,,,156,71,172.14469599809354,0.4551282051282051,385.2544619534224,1.3782424048517317
1s,Router probe,aggregate,,,,155,71,164.5265011449145,0.45806451612903226,398.0516986593211,1.3782424048517317
