engine,dimension,blocked_category,seed_500ms_pnl_inr,seed_500ms_delta_inr,seed_500ms_trades,seed_500ms_wins,seed_500ms_win_rate,seed_500ms_max_dd_inr,seed_1s_pnl_inr,seed_1s_delta_inr,seed_1s_trades,seed_1s_wins,seed_1s_win_rate,seed_1s_max_dd_inr,joint_min_pnl_improvement_ratio
MICRO,volatility,low,709.3597352431655,12.516873259759222,97,46,0.4742268041237113,221.22788820016694,179.60226535626566,9.684332281329489,97,42,0.4329896907216495,164.5265011449145,0.017962260851941192
SECONDARY,efficiency,efficient,700.2204472441736,3.3775852607673187,98,46,0.46938775510204084,219.5560404242326,170.7997225393151,0.8817894643789259,98,42,0.42857142857142855,172.37128401997734,0.004846982648503806
