interval,batch,seed,window_id,source,source_range_id,start_ts,end_ts,D_pnl,H_pnl,J_pnl,D_trades,H_trades,J_trades,D_wins,H_wins,J_wins,J_delayed_entries,J_skipped_entries,J_phase_exits
1s,B,20261014,11,recent24h,0,1790189947.777,1790204346.789,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,B,20261014,12,historical7d,364,1789749804.938,1789764203.907,17.85407159226249,19.803195666287927,19.803195666287927,8,8,8,4,4,4,0,0,1
1s,B,20261014,13,recent24h,0,1790189941.825,1790204340.9390001,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,B,20261014,14,historical7d,364,1789752775.9,1789767174.999,10.988054746574676,12.911336176000532,12.911336176000532,7,7,7,3,3,3,0,0,1
1s,B,20261014,15,recent24h,0,1790189962.903,1790204361.948,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,B,20261014,16,historical7d,364,1789755416.9699998,1789769815.6729999,25.18841106913044,27.16514048301042,27.16514048301042,7,7,7,3,3,3,0,0,1
1s,B,20261014,17,recent24h,0,1790189969.912,1790204368.962,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,B,20261014,18,historical7d,364,1789744834.981,1789759233.665,-5.445472586825588,-14.880591717478069,8.289864366225117,13,13,12,6,6,6,0,1,1
1s,B,20261014,19,recent24h,0,1790189988.9390001,1790204387.932,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,B,20261014,20,historical7d,0,1789581487.985,1789595886.968,91.1339451280495,88.49929074120678,-5.91757242086544,20,20,15,8,8,6,0,5,0
1s,B,20261014,21,recent24h,0,1790189940.92,1790204339.8300002,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,B,20261014,22,historical7d,0,1789577329.949,1789591729.1539998,-12.038856685011865,-12.038856685011865,13.84417990809311,12,12,10,3,3,3,0,2,0
1s,B,20261014,23,recent24h,0,1790189945.9750001,1790204344.8860002,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,B,20261014,24,historical7d,0,1789576762.8609998,1789591161.992,-12.152061053981072,-12.152061053981072,13.724970813410096,12,12,10,3,3,3,0,2,0
1s,B,20261014,25,recent24h,0,1790189994.9,1790204393.9980001,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,B,20261014,26,historical7d,153,1789660028.849,1789674428.592,-29.784889759456107,-24.76415224522009,-26.856740526061742,14,14,14,5,5,5,2,1,1
1s,B,20261014,27,recent24h,0,1790189929.949,1790204328.471,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,B,20261014,28,historical7d,0,1789571643.951,1789586042.761,14.609864783686362,12.926707139933342,-2.876167560172007,15,15,13,6,6,5,0,2,1
1s,B,20261014,29,recent24h,0,1790189971.9169998,1790204370.9139998,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,B,20261014,30,historical7d,364,1789744771.9390001,1789759170.582,-0.6760992184962333,-10.202208530037638,13.191698255362098,15,15,14,7,7,7,0,1,1
1s,B,20261014,31,recent24h,0,1790189951.981,1790204350.9950001,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,B,20261014,32,historical7d,153,1789656127.965,1789670526.86,35.911783055848794,57.7284891888407,56.31159822593977,17,17,16,8,9,8,2,1,2
1s,B,20261014,33,recent24h,0,1790189929.949,1790204328.471,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,B,20261014,34,historical7d,153,1789658505.972,1789672904.952,-47.79148248611398,-27.294990267273647,-28.496128153823634,17,17,16,6,7,6,2,1,1
1s,B,20261014,35,recent24h,0,1790189943.2659998,1790204342.983,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,B,20261014,36,historical7d,364,1789751163.9910002,1789765561.654,17.968629812802078,19.918185066570572,19.918185066570572,9,9,9,5,5,5,0,0,1
1s,B,20261014,37,recent24h,0,1790189960.8019998,1790204359.8620002,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,B,20261014,38,historical7d,153,1789657690.61,1789672089.552,-31.47794864379334,-10.24204041107686,-11.486509643239852,18,18,17,7,8,7,2,1,1
1s,B,20261014,39,recent24h,0,1790189951.981,1790204350.9950001,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,C,20261028,0,historical7d,0,1789573052.697,1789587451.503,36.317683860355146,34.5635254758306,29.126320947419572,14,14,11,6,6,5,0,3,1
1s,C,20261028,1,recent24h,0,1790189928.548,1790204328.471,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,C,20261028,2,historical7d,153,1789654005.9580002,1789668405.484,101.43678393460743,92.53053520263313,91.06937227951141,18,18,17,9,10,9,1,1,3
1s,C,20261028,3,recent24h,0,1790189973.9689999,1790204372.865,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,C,20261028,4,historical7d,0,1789573478.943,1789587877.905,-4.525009566398182,-4.525009566398182,-11.097652014866526,14,14,11,4,4,3,0,3,0
1s,C,20261028,5,recent24h,0,1790189986.687,1790204385.88,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,C,20261028,6,historical7d,153,1789655963.879,1789670362.894,33.63051261441967,55.354349345386595,53.98486180635143,17,17,16,8,9,8,1,1,2
1s,C,20261028,7,recent24h,0,1790189940.92,1790204339.8300002,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,C,20261028,8,historical7d,364,1789755689.826,1789770088.984,25.18841106913044,27.16514048301042,27.16514048301042,7,7,7,3,3,3,0,0,1
1s,C,20261028,9,recent24h,0,1790189991.996,1790204390.981,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,C,20261028,10,historical7d,364,1789746540.796,1789760939.651,-12.641512412450766,-20.13999768464646,2.7792566682910547,11,11,10,5,5,5,0,1,2
1s,C,20261028,11,recent24h,0,1790189970.9699998,1790204369.7129998,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,C,20261028,12,historical7d,364,1789741625.884,1789756024.957,9.974756484777231,0.2454499789255351,24.138361769127187,13,13,12,7,7,7,0,1,1
1s,C,20261028,13,recent24h,0,1790189971.9169998,1790204370.9139998,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,C,20261028,14,historical7d,0,1789585069.727,1789599467.981,63.87927464386428,61.36609295833591,-28.69761045907785,29,29,24,12,12,10,0,5,0
1s,C,20261028,15,recent24h,0,1790189944.922,1790204342.983,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,C,20261028,16,historical7d,364,1789754552.907,1789768951.7710001,25.18841106913044,27.16514048301042,27.16514048301042,7,7,7,3,3,3,0,0,1
1s,C,20261028,17,recent24h,0,1790189990.95,1790204389.983,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,C,20261028,18,historical7d,153,1789655258.987,1789669657.884,36.917977929550716,83.9442853213435,57.220419312329,15,15,13,7,9,7,1,2,2
1s,C,20261028,19,recent24h,0,1790189970.9699998,1790204369.7129998,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,C,20261028,20,historical7d,0,1789580570.64,1789594969.959,-24.451516044003142,-26.571011819431305,-27.225002067979915,16,16,12,5,5,4,0,4,0
1s,C,20261028,21,recent24h,0,1790189933.812,1790204332.775,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,C,20261028,22,historical7d,0,1789577772.9329998,1789592172.4350002,-1.9636678466524575,-1.9636678466524575,24.453789334973344,11,11,9,3,3,3,0,2,0
1s,C,20261028,23,recent24h,0,1790189985.994,1790204385.88,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,C,20261028,24,historical7d,364,1789751804.944,1789766203.6,17.968629812802078,19.918185066570572,19.918185066570572,9,9,9,5,5,5,0,0,1
1s,C,20261028,25,recent24h,0,1790189961.9539998,1790204360.848,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,C,20261028,26,historical7d,364,1789754268.945,1789768667.856,26.25191760154337,28.232649892486734,28.232649892486734,8,8,8,4,4,4,0,0,1
1s,C,20261028,27,recent24h,0,1790189978.922,1790204377.967,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,C,20261028,28,historical7d,364,1789742025.962,1789756425.76,9.974756484777231,0.2454499789255351,24.138361769127187,13,13,12,7,7,7,0,1,1
1s,C,20261028,29,recent24h,0,1790189963.947,1790204362.8009999,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,C,20261028,30,historical7d,153,1789661230.8,1789675629.227,-30.655266370938705,-25.643822331985746,-29.279303070096887,13,13,12,5,5,4,2,1,1
1s,C,20261028,31,recent24h,0,1790189943.2659998,1790204342.983,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,C,20261028,32,historical7d,0,1789582072.999,1789596471.901,101.05661645502562,98.37773721904955,2.3760090553940927,20,20,15,8,8,6,0,5,0
1s,C,20261028,33,recent24h,0,1790189958.994,1790204358.595,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,C,20261028,34,historical7d,153,1789659707.9299998,1789674106.9740002,-34.54792658005704,-13.451166055633712,-21.258211977770486,13,13,12,4,5,4,2,2,1
1s,C,20261028,35,recent24h,0,1790189962.903,1790204362.8009999,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,C,20261028,36,historical7d,0,1789577847.981,1789592246.951,16.77284125605941,16.77284125605941,44.18414345460158,10,10,8,3,3,3,0,2,0
1s,C,20261028,37,recent24h,0,1790189946.829,1790204345.882,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
1s,C,20261028,38,historical7d,153,1789656548.769,1789670947.34,-44.44297331768382,-4.677186236102273,-5.9357956974674835,15,15,14,5,6,5,2,1,2
1s,C,20261028,39,recent24h,0,1790189955.949,1790204354.9550002,-27.861680295516123,-27.861680295516123,-12.958201253885306,8,8,7,2,2,2,0,1,0
