interval,batch,seed,window_id,source,source_range_id,start_ts,end_ts,D_pnl,H_pnl,J_pnl,D_trades,H_trades,J_trades,D_wins,H_wins,J_wins,J_delayed_entries,J_skipped_entries,J_phase_exits
500ms,A,20261001,39,recent24h,0,1790189929.3500001,1790204328.471,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,B,20261013,0,historical7d,0,1789574018.33,1789588417.324,-10.874080860114304,-12.766139860421504,-2.3909920445513535,13,13,12,3,3,3,0,1,1
500ms,B,20261013,1,recent24h,0,1790189934.9580002,1790204334.3270001,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,B,20261013,2,historical7d,335,1789746468.7020001,1789760868.3409998,18.90412379629754,22.066379328752987,37.51699097444168,12,12,11,7,7,7,2,1,2
500ms,B,20261013,3,recent24h,0,1790189933.4099998,1790204332.124,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,B,20261013,4,historical7d,0,1789577415.965,1789591815.4899998,-10.503496474502242,-10.503496474502242,-0.08016797681989374,12,12,11,3,3,3,0,1,0
500ms,B,20261013,5,recent24h,0,1790189939.965,1790204339.379,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,B,20261013,6,historical7d,335,1789742135.3990002,1789756534.9139998,9.462971469549643,9.462971469549643,26.073485476387873,15,15,14,7,7,7,1,1,0
500ms,B,20261013,7,recent24h,0,1790189990.95,1790204390.483,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,B,20261013,8,historical7d,0,1789576486.477,1789590886.208,-24.672780668530777,-24.672780668530777,-14.55117261760887,13,13,12,3,3,3,0,1,0
500ms,B,20261013,9,recent24h,0,1790189998.952,1790204398.446,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,B,20261013,10,historical7d,0,1789582345.951,1789596745.443,158.87775184909015,81.1465721132821,107.89897462479462,19,19,17,6,6,6,2,2,2
500ms,B,20261013,11,recent24h,0,1790189962.903,1790204362.4550002,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
500ms,B,20261013,12,historical7d,0,1789578575.328,1789592974.9740002,-98.02081501674127,-99.82272820986907,-110.52209615401273,12,12,10,2,2,1,0,2,0
500ms,B,20261013,13,recent24h,0,1790189952.9859998,1790204352.3430002,-27.100950513536418,-27.100950513536418,-19.41822854340984,8,8,6,2,2,1,0,2,0
