interval,batch,window_id,source,match,candidate_d_entries,candidate_j_shadow_entries
1s,A,26,historical7d,True,15,15
1s,A,27,recent24h,True,8,8
1s,A,28,historical7d,True,15,15
1s,A,29,recent24h,True,8,8
1s,A,30,historical7d,True,14,14
1s,A,31,recent24h,True,8,8
1s,A,32,historical7d,True,10,10
1s,A,33,recent24h,True,8,8
1s,A,34,historical7d,True,13,13
1s,A,35,recent24h,True,8,8
1s,A,36,historical7d,True,14,14
1s,A,37,recent24h,True,8,8
1s,A,38,historical7d,True,14,14
1s,A,39,recent24h,True,8,8
1s,B,0,historical7d,True,10,10
1s,B,1,recent24h,True,8,8
1s,B,2,historical7d,True,18,18
1s,B,3,recent24h,True,8,8
1s,B,4,historical7d,True,18,18
1s,B,5,recent24h,True,8,8
1s,B,6,historical7d,True,21,21
1s,B,7,recent24h,True,8,8
1s,B,8,historical7d,True,16,16
1s,B,9,recent24h,True,8,8
1s,B,10,historical7d,True,7,7
1s,B,11,recent24h,True,8,8
1s,B,12,historical7d,True,9,9
1s,B,13,recent24h,True,8,8
1s,B,14,historical7d,True,7,7
1s,B,15,recent24h,True,8,8
1s,B,16,historical7d,True,7,7
1s,B,17,recent24h,True,8,8
1s,B,18,historical7d,True,13,13
1s,B,19,recent24h,True,8,8
1s,B,20,historical7d,True,20,20
1s,B,21,recent24h,True,8,8
1s,B,22,historical7d,True,12,12
1s,B,23,recent24h,True,8,8
1s,B,24,historical7d,True,12,12
1s,B,25,recent24h,True,8,8
1s,B,26,historical7d,True,15,15
1s,B,27,recent24h,True,8,8
1s,B,28,historical7d,True,15,15
1s,B,29,recent24h,True,8,8
1s,B,30,historical7d,True,15,15
1s,B,31,recent24h,True,8,8
1s,B,32,historical7d,True,18,18
1s,B,33,recent24h,True,8,8
1s,B,34,historical7d,True,17,17
1s,B,35,recent24h,True,8,8
1s,B,36,historical7d,True,9,9
1s,B,37,recent24h,True,8,8
1s,B,38,historical7d,True,19,19
1s,B,39,recent24h,True,8,8
1s,C,0,historical7d,True,14,14
1s,C,1,recent24h,True,8,8
1s,C,2,historical7d,True,18,18
1s,C,3,recent24h,True,8,8
1s,C,4,historical7d,True,14,14
1s,C,5,recent24h,True,8,8
1s,C,6,historical7d,True,17,17
1s,C,7,recent24h,True,8,8
1s,C,8,historical7d,True,7,7
1s,C,9,recent24h,True,8,8
1s,C,10,historical7d,True,11,11
1s,C,11,recent24h,True,8,8
1s,C,12,historical7d,True,13,13
1s,C,13,recent24h,True,8,8
1s,C,14,historical7d,True,29,29
1s,C,15,recent24h,True,8,8
1s,C,16,historical7d,True,7,7
1s,C,17,recent24h,True,8,8
1s,C,18,historical7d,True,15,15
1s,C,19,recent24h,True,8,8
1s,C,20,historical7d,True,16,16
1s,C,21,recent24h,True,8,8
1s,C,22,historical7d,True,12,12
1s,C,23,recent24h,True,8,8
1s,C,24,historical7d,True,9,9
1s,C,25,recent24h,True,8,8
1s,C,26,historical7d,True,8,8
1s,C,27,recent24h,True,8,8
1s,C,28,historical7d,True,13,13
