context,variant,ghost_kind,ghost_engine,ghost_side,origin_ts,legacy_release_ts,ghost_duration_sec,legacy_exit_reason,legacy_exit_move_usd
historical7d:500ms:segment3,GC-entry,admission_skip,1,SELL,1790009592.7849998,1790010322.499,729.7140002250671,2,25.289999999999964
historical7d:500ms:segment3,GC-entry,admission_skip,2,BUY,1790016648.988,1790016677.4950001,28.507000207901,1,-4.1599999999998545
historical7d:500ms:segment3,I,admission_skip,1,SELL,1790005642.848,1790005976.655,333.8069999217987,1,-4.0
historical7d:500ms:segment3,I,admission_skip,1,BUY,1790006912.309,1790007812.4540002,900.1450002193451,7,3.2799999999997453
historical7d:500ms:segment3,I,admission_skip,2,BUY,1790009383.4910002,1790009571.948,188.45699977874756,1,-4.050000000000182
historical7d:500ms:segment3,I,admission_skip,1,SELL,1790009592.7849998,1790010322.499,729.7140002250671,2,25.289999999999964
historical7d:500ms:segment3,I,admission_skip,2,BUY,1790016648.988,1790016677.4950001,28.507000207901,1,-4.1599999999998545
historical7d:500ms:segment4,GC-entry,admission_skip,2,BUY,1790077022.458,1790077286.496,264.0380001068115,2,8.170000000000073
historical7d:500ms:segment4,GC-entry,admission_skip,2,SELL,1790078293.477,1790078642.9190001,349.44200015068054,2,8.090000000000146
historical7d:500ms:segment4,I,admission_skip,2,BUY,1790077022.458,1790077286.496,264.0380001068115,2,8.170000000000073
historical7d:500ms:segment4,I,admission_skip,2,SELL,1790078293.477,1790078642.9190001,349.44200015068054,2,8.090000000000146
recent24h:500ms:whole,H,post_real_exit,1,SELL,1790249466.9910002,1790249518.46,51.4689998626709,1,-4.210000000000036
recent24h:500ms:whole,H,post_real_exit,1,SELL,1790268204.91,1790268308.987,104.07699990272522,1,-4.1599999999998545
recent24h:500ms:whole,GC-entry,admission_skip,2,SELL,1790194322.379,1790194893.464,571.085000038147,1,-4.079999999999927
recent24h:500ms:whole,GC-entry,admission_skip,2,BUY,1790196065.932,1790196279.938,214.00600004196167,2,8.489999999999782
recent24h:500ms:whole,GC-entry,admission_skip,2,BUY,1790270870.484,1790271029.387,158.90300011634827,1,-4.0600000000004
recent24h:500ms:whole,GC-entry,admission_skip,1,SELL,1790272615.978,1790273516.407,900.4290001392365,7,4.980000000000473
recent24h:500ms:whole,I,admission_skip,2,SELL,1790194322.379,1790194893.464,571.085000038147,1,-4.079999999999927
recent24h:500ms:whole,I,admission_skip,2,BUY,1790196065.932,1790196279.938,214.00600004196167,2,8.489999999999782
recent24h:500ms:whole,I,admission_skip,2,BUY,1790270870.484,1790271029.387,158.90300011634827,1,-4.0600000000004
recent24h:500ms:whole,I,admission_skip,1,SELL,1790272615.978,1790273516.407,900.4290001392365,7,4.980000000000473
historical7d:1s:segment0,H,post_real_exit,1,BUY,1789575464.982,1789575994.977,529.9949998855591,7,4.25
historical7d:1s:segment0,H,post_real_exit,1,SELL,1789593249.952,1789593933.999,684.047000169754,7,14.75
historical7d:1s:segment0,H,post_real_exit,1,SELL,1789623733.9859998,1789623994.9740002,260.9880003929138,7,2.100000000000364
historical7d:1s:segment0,H,post_real_exit,1,BUY,1789641741.738,1789641806.8899999,65.15199995040894,7,1.3999999999996362
historical7d:1s:segment0,H,post_real_exit,1,BUY,1789657166.99,1789657776.993,610.0030000209808,7,12.590000000000146
historical7d:1s:segment0,H,post_real_exit,1,BUY,1789658684.9350002,1789659135.966,451.0309998989105,7,12.899999999999636
historical7d:1s:segment0,H,post_real_exit,1,BUY,1789662215.99,1789662495.851,279.86100006103516,1,-4.109999999999673
historical7d:1s:segment0,H,post_real_exit,1,BUY,1789665108.905,1789665122.976,14.071000099182129,1,-4.089999999999236
historical7d:1s:segment0,H,post_real_exit,1,SELL,1789707266.825,1789707481.849,215.0239999294281,7,-0.75
historical7d:1s:segment0,H,post_real_exit,1,SELL,1789712881.8609998,1789713111.404,229.54300022125244,7,-0.4099999999998545
historical7d:1s:segment0,H,post_real_exit,1,BUY,1789722253.949,1789722322.851,68.90200018882751,5,5.469999999999345
historical7d:1s:segment0,GC-entry,admission_skip,1,SELL,1789579129.869,1789579777.976,648.1070001125336,1,-4.050000000000182
