interval,extra_slippage_usd_per_side,D_historical_compounded_pnl_inr,D_recent_terminal_equity_pnl_inr,H_historical_compounded_pnl_inr,H_recent_terminal_equity_pnl_inr,I_historical_compounded_pnl_inr,I_recent_terminal_equity_pnl_inr
500ms,0.0,1430.311133793068,-223.27329174700338,1287.0890835318237,-208.4689762103303,1044.616173916179,-233.16451242541297
500ms,0.05,1164.8109181225905,-228.5917885979548,1063.7079344681954,-214.0606050534518,845.126633265376,-237.9998436869364
500ms,0.1,964.1613580745292,-232.58559413921654,875.1940743033928,-219.15014645031755,679.0714778284963,-241.34581930940328
500ms,0.2,335.0871578930338,-240.88778913584088,287.88770606255974,-229.17428569149047,206.79928917606938,-248.38513545438062
1s,0.0,385.2544619534224,-135.9095261798986,360.79357527974355,-128.62645713776266,345.9052777638213,-137.53263144428837
1s,0.05,281.9016479168638,-140.26333968522584,274.43278309175156,-133.06171619388073,273.05607782565875,-141.90990978771015
1s,0.1,248.12032921993654,-143.91095503479,240.97302084265993,-138.60265758541567,201.18986549862527,-144.208794345643
1s,0.2,35.88449127824222,-155.80934360412596,27.98417774859041,-151.1297441729143,3.282161774507797,-155.61808434611606
