timestamp_utc,close,volume,gc_ret5,gc_ret15,gc_ret30,volume_median_1h,volume_rel_1h
2026-09-16 09:55:00+00:00,4379.10009765625,0.0,,,,,
2026-09-16 10:00:00+00:00,4380.0,979.0,0.0002054782653200249,,,,
2026-09-16 10:05:00+00:00,4386.39990234375,1223.0,0.0014600984559294261,,,,
2026-09-16 10:10:00+00:00,4383.7998046875,2365.0,-0.0005929392304135916,0.0010726374908373985,,1101.0,2.148047229791099
2026-09-16 10:15:00+00:00,4384.2001953125,547.0,9.132997839422785e-05,0.0009584892039109515,,979.0,0.5587334014300307
2026-09-16 10:20:00+00:00,4383.39990234375,454.0,-0.00018255690543789171,-0.0006841661574571349,,763.0,0.5950196592398427
2026-09-16 10:25:00+00:00,4389.2998046875,1135.0,0.0013450598858462115,0.0012538329588021098,0.002326470449639501,979.0,1.1593462717058223
2026-09-16 10:30:00+00:00,4389.2001953125,441.0,-2.269393973897138e-05,0.0011398090406682646,0.0020982982445792945,763.0,0.5779816513761468
2026-09-16 10:35:00+00:00,4388.89990234375,350.0,-6.8418670448267e-05,0.001253947275658899,0.0005697811182017184,547.0,0.6398537477148081
2026-09-16 10:40:00+00:00,4390.2001953125,445.0,0.0002962246617066455,0.000205112051519161,0.0014589450103213442,500.5,0.8891108891108891
2026-09-16 10:45:00+00:00,4389.89990234375,315.0,-6.840308550515317e-05,0.00015940290575309577,0.0012992119464214382,454.0,0.6938325991189427
2026-09-16 10:50:00+00:00,4387.10009765625,446.0,-0.0006379867340715606,-0.0004101651578697998,0.0008437821177892355,450.0,0.9911111111111112
2026-09-16 10:55:00+00:00,4391.89990234375,598.0,0.0010934742375567907,0.0003870844179803503,0.0005921964694995036,500.5,1.1948051948051948
2026-09-16 11:00:00+00:00,4391.2001953125,1555.0,-0.00015933031047055124,0.00029615719301523733,0.0004555600987681884,500.5,3.1068931068931067
2026-09-16 11:05:00+00:00,4390.89990234375,664.0,-6.8387507663914e-05,0.0008657564194214108,0.00045559126155160913,500.5,1.3266733266733266
2026-09-16 11:10:00+00:00,4388.10009765625,658.0,-0.0006378413902314861,-0.000865559208367236,-0.0004784747903870016,500.5,1.3146853146853146
2026-09-16 11:15:00+00:00,4388.7998046875,291.0,0.00015944286490920945,-0.0005467860329851097,-0.0002506288399698602,450.0,0.6466666666666666
2026-09-16 11:20:00+00:00,4389.60009765625,491.0,0.00018233231109832104,-0.0002960662142234691,0.0005696902051978429,468.5,1.048025613660619
2026-09-16 11:25:00+00:00,4391.7998046875,965.0,0.0005009923478542788,0.0008427675238622925,-2.27916845049263e-05,468.5,2.0597652081109925
2026-09-16 11:30:00+00:00,4392.0,364.0,4.558284956068803e-05,0.0007289075085123738,0.0001821214755271834,468.5,0.7769477054429029
2026-09-16 11:35:00+00:00,4391.7001953125,510.0,-6.826387079428287e-05,0.00047831132661996006,0.00018224511239639364,500.5,1.018981018981019
2026-09-16 11:40:00+00:00,4390.89990234375,720.0,-0.00018224511239672836,-0.00020492613363032962,0.0006378413902318892,554.0,1.2996389891696751
2026-09-16 11:45:00+00:00,4388.2001953125,359.0,-0.0006150304897580838,-0.0008655394729495793,-0.00013663196443720822,554.0,0.648014440433213
