candidate,seed_score,500ms_pnl,500ms_capture,500ms_trades,500ms_median_pf,500ms_max_dd,500ms_neg_segments,500ms_exposure_h,500ms_pnl_per_exposure_h,500ms_mean_hold_s,500ms_pnl_per_trade,500ms_burst_pnl,500ms_burst_trades,500ms_burst_pnl_per_exposure_h,500ms_mean_mfe_usd,500ms_mean_mae_usd,1s_pnl,1s_capture,1s_trades,1s_median_pf,1s_max_dd,1s_neg_segments,1s_exposure_h,1s_pnl_per_exposure_h,1s_mean_hold_s,1s_pnl_per_trade,1s_burst_pnl,1s_burst_trades,1s_burst_pnl_per_exposure_h,1s_mean_mfe_usd,1s_mean_mae_usd
mh120_tt5.5_gb2.0_flow0_decay0,1.0,690.2222861824041,0.09224364341036592,98,1.7333092949229225,218.67791606541255,0,10.11112944410907,68.26361881703932,371.42924488563926,7.043084552881674,28.317714541375864,7,282.88797139371854,4.775714285714253,-2.330918367346951,169.469069596115,0.02264842028120105,98,1.191227296391133,172.37599843368207,0,10.98862416651514,15.422228208743926,403.66374489239286,1.7292762203685204,4.316799423244993,5,71.1765661856875,4.200000000000004,-2.683877551020394
mh120_tt5.5_gb2.0_flow0_decay1,1.0,690.2222861824041,0.09224364341036592,98,1.7333092949229225,218.67791606541255,0,10.11112944410907,68.26361881703932,371.42924488563926,7.043084552881674,28.317714541375864,7,282.88797139371854,4.775714285714253,-2.330918367346951,169.469069596115,0.02264842028120105,98,1.191227296391133,172.37599843368207,0,10.98862416651514,15.422228208743926,403.66374489239286,1.7292762203685204,4.316799423244993,5,71.1765661856875,4.200000000000004,-2.683877551020394
mh120_tt5.5_gb2.0_flow1_decay0,1.0,690.2222861824041,0.09224364341036592,98,1.7333092949229225,218.67791606541255,0,10.11112944410907,68.26361881703932,371.42924488563926,7.043084552881674,28.317714541375864,7,282.88797139371854,4.775714285714253,-2.330918367346951,169.469069596115,0.02264842028120105,98,1.191227296391133,172.37599843368207,0,10.98862416651514,15.422228208743926,403.66374489239286,1.7292762203685204,4.316799423244993,5,71.1765661856875,4.200000000000004,-2.683877551020394
mh120_tt5.5_gb2.0_flow1_decay1,1.0,690.2222861824041,0.09224364341036592,98,1.7333092949229225,218.67791606541255,0,10.11112944410907,68.26361881703932,371.42924488563926,7.043084552881674,28.317714541375864,7,282.88797139371854,4.775714285714253,-2.330918367346951,169.469069596115,0.02264842028120105,98,1.191227296391133,172.37599843368207,0,10.98862416651514,15.422228208743926,403.66374489239286,1.7292762203685204,4.316799423244993,5,71.1765661856875,4.200000000000004,-2.683877551020394
mh120_tt5.5_gb2.5_flow0_decay0,1.0,690.2222861824041,0.09224364341036592,98,1.7333092949229225,218.67791606541255,0,10.11112944410907,68.26361881703932,371.42924488563926,7.043084552881674,28.317714541375864,7,282.88797139371854,4.775714285714253,-2.330918367346951,169.469069596115,0.02264842028120105,98,1.191227296391133,172.37599843368207,0,10.98862416651514,15.422228208743926,403.66374489239286,1.7292762203685204,4.316799423244993,5,71.1765661856875,4.200000000000004,-2.683877551020394
mh120_tt5.5_gb2.5_flow0_decay1,1.0,690.2222861824041,0.09224364341036592,98,1.7333092949229225,218.67791606541255,0,10.11112944410907,68.26361881703932,371.42924488563926,7.043084552881674,28.317714541375864,7,282.88797139371854,4.775714285714253,-2.330918367346951,169.469069596115,0.02264842028120105,98,1.191227296391133,172.37599843368207,0,10.98862416651514,15.422228208743926,403.66374489239286,1.7292762203685204,4.316799423244993,5,71.1765661856875,4.200000000000004,-2.683877551020394
mh120_tt5.5_gb2.5_flow1_decay0,1.0,690.2222861824041,0.09224364341036592,98,1.7333092949229225,218.67791606541255,0,10.11112944410907,68.26361881703932,371.42924488563926,7.043084552881674,28.317714541375864,7,282.88797139371854,4.775714285714253,-2.330918367346951,169.469069596115,0.02264842028120105,98,1.191227296391133,172.37599843368207,0,10.98862416651514,15.422228208743926,403.66374489239286,1.7292762203685204,4.316799423244993,5,71.1765661856875,4.200000000000004,-2.683877551020394
mh120_tt5.5_gb2.5_flow1_decay1,1.0,690.2222861824041,0.09224364341036592,98,1.7333092949229225,218.67791606541255,0,10.11112944410907,68.26361881703932,371.42924488563926,7.043084552881674,28.317714541375864,7,282.88797139371854,4.775714285714253,-2.330918367346951,169.469069596115,0.02264842028120105,98,1.191227296391133,172.37599843368207,0,10.98862416651514,15.422228208743926,403.66374489239286,1.7292762203685204,4.316799423244993,5,71.1765661856875,4.200000000000004,-2.683877551020394
mh120_tt6.5_gb2.0_flow0_decay0,1.0,690.2222861824041,0.09224364341036592,98,1.7333092949229225,218.67791606541255,0,10.11112944410907,68.26361881703932,371.42924488563926,7.043084552881674,28.317714541375864,7,282.88797139371854,4.775714285714253,-2.330918367346951,169.469069596115,0.02264842028120105,98,1.191227296391133,172.37599843368207,0,10.98862416651514,15.422228208743926,403.66374489239286,1.7292762203685204,4.316799423244993,5,71.1765661856875,4.200000000000004,-2.683877551020394
mh120_tt6.5_gb2.0_flow0_decay1,1.0,690.2222861824041,0.09224364341036592,98,1.7333092949229225,218.67791606541255,0,10.11112944410907,68.26361881703932,371.42924488563926,7.043084552881674,28.317714541375864,7,282.88797139371854,4.775714285714253,-2.330918367346951,169.469069596115,0.02264842028120105,98,1.191227296391133,172.37599843368207,0,10.98862416651514,15.422228208743926,403.66374489239286,1.7292762203685204,4.316799423244993,5,71.1765661856875,4.200000000000004,-2.683877551020394
