window,side,entry_500ms,entry_1s,entry_delta_sec,pnl_500ms,pnl_1s,same_pnl_sign
historical7d,SELL,1789592901.981,1789592901.981,0.0,13.687499999998634,14.024999999999181,True
historical7d,BUY,1789593008.819,1789593008.819,0.0,-15.787500000000136,-15.787500000000136,True
historical7d,SELL,1789593605.994,1789593652.988,46.99399995803833,-15.112500000002456,-6.824999999998909,True
historical7d,BUY,1789594429.967,1789594435.9689999,6.001999855041504,-16.38749999999959,-16.275000000000546,True
historical7d,BUY,1789595301.486,1789595331.961,30.47499990463257,-15.037500000000819,-17.624999999999318,True
historical7d,SELL,1789597763.9550002,1789597851.881,87.92599987983704,-18.112499999999727,-15.0,True
historical7d,SELL,1790081619.9550002,1790081624.809,4.853999853134155,15.7124999999985,12.712499999997815,True
