window,interval,segment_id,engine,side,side_sign,entry_index,exit_index,entry_ts,exit_ts,hold_sec,exit_reason,entry_usd,entry_oz,pnl_inr,mfe_usd,mae_usd,censored,fixed_balance_inr,range60_rel,spread_rel,activity_rel,er60,spread_to_range,dir_m10_rel,dir_m30_rel,dir_m60_rel,dir_m300_rel,dir_eff60,flow_align10,flow_align60,accel_10_60,accel_30_300,short_long_balance,pullback60,pullback300,market_heat,execution_heat,session_age_sec
historical7d,500ms,0,SNAPBACK,SELL,-1,40295,40334,1789592771.459,1789592790.983,19.5239999294281,emergency_stop,4332.31,0.039184093139022026,-16.574999999996862,0.2899999999999636,-4.419999999999163,False,500.0,4.981609195402522,0.9666666666674246,2.912,0.05381038246178762,0.0267651130595281,2.0828402366837793,1.3873873873874465,-4.984615384618238,-2.4481605351171383,-0.05381038246178762,-0.01098901098901099,-0.07330827067669173,7.067455621302018,3.8355479225045848,5.451501771903301,0.6326718966312982,0.6735723293100432,14.506445977012145,2.8149333333355404,22192.355000019073
historical7d,500ms,0,SNAPBACK,SELL,-1,40556,40601,1789592901.981,1789592924.4940002,22.51300024986267,trail,4341.12,0.039184093139022026,13.687499999998634,6.069999999999709,0.0,False,500.0,5.239595050620284,0.9000000000022738,2.772727272727273,0.022344013490720953,0.023185916702484023,5.614583333334409,-4.154285714282765,-1.8637362637372108,-1.9130434782607901,-0.022344013490720953,0.12222222222222222,-0.017964071856287425,7.47831959707162,-2.241242236021975,2.6185386805248223,0.6024044654358149,0.7966176147594973,14.527968094901698,2.4954545454608503,22322.87699985504
historical7d,500ms,0,SNAPBACK,BUY,1,40770,40790,1789593008.819,1789593018.977,10.157999992370605,emergency_stop,4333.74,0.039184093139022026,-15.787500000000136,0.5,-4.210000000000036,False,500.0,2.713195201745051,0.9666666666659592,2.3496503496503496,0.046498111014248354,0.04662379421221771,4.398058252423258,0.37179487179441334,-1.9364599092292445,4.046822742474725,-0.046498111014248354,0.15853658536585366,0.02045209903121636,6.334518161652502,-3.6750278706803114,1.3297451454860956,0.5329581993570511,0.6058664037466582,6.37506005444991,2.271328671327009,22429.71499991417
historical7d,500ms,0,SNAPBACK,SELL,-1,41964,42023,1789593605.994,1789593635.471,29.47699999809265,emergency_stop,4317.11,0.039184093139022026,-15.112500000002456,2.9099999999998545,-4.030000000000655,False,500.0,1.8786751023445583,0.6511627906987566,1.0948012232415902,0.06239301103830106,0.022187004754408643,2.0189125295521104,-0.7132867132863646,-1.847902097901671,-4.663594470047319,-0.06239301103830106,0.09195402298850575,0.01417004048582996,3.866814627453781,3.9503077567609544,3.908561192107368,0.641838351822492,0.707821590174508,2.056775800120342,0.7128938197864063,23026.889999866486
historical7d,500ms,0,SNAPBACK,BUY,1,43611,43666,1789594429.967,1789594457.493,27.526000022888184,emergency_stop,4287.36,0.039184093139022026,-16.38749999999959,2.350000000000364,-4.369999999999891,False,500.0,1.7534976682212622,0.6511627906973301,1.125748502994012,0.04224627952812294,0.021276595744660266,3.0695970695972674,-0.155866900175347,-2.287703016241383,-17.179190751450093,-0.04224627952812294,0.11229946524064172,0.03919781221513218,5.35730008583865,17.023323851274746,11.1903119685567,0.6553951367781465,0.8897264437690029,1.9739973750035766,0.7330455368329225,23850.862999916077
historical7d,500ms,0,SNAPBACK,SELL,-1,44332,44357,1789594790.408,1789594802.978,12.569999933242798,emergency_stop,4288.86,0.039184093139022026,-15.975000000000819,0.589999999999236,-4.260000000000218,False,500.0,1.3359605911330623,0.5581395348855409,0.9702380952380952,0.0540054956668762,0.023598820059064846,0.9068541300535466,-1.2855796418471885,-1.3350751143043351,-3.14086471408679,-0.0540054956668762,0.1464968152866242,-0.017364657814096015,2.2419292443578818,1.8552850722396013,2.0486071582987417,0.7030481809242464,0.899114748621998,1.2961998592541022,0.5415282392044236,24211.303999900818
historical7d,500ms,0,SNAPBACK,BUY,1,45354,45485,1789595301.486,1789595366.952,65.46599984169006,emergency_stop,4295.63,0.039184093139022026,-15.037500000000819,1.7299999999995634,-4.010000000000218,False,500.0,1.0811940298508398,0.6206896551734953,1.072289156626506,0.034318145653208426,0.029817780231963322,0.6610738255034345,-0.818268315889678,-0.6306042884989481,-3.059734513274025,-0.034318145653208426,0.1348314606741573,-0.02462121212121212,1.2916781140023827,2.241466197384347,1.7665721556933647,0.8133627829928718,0.9027338129496634,1.1593526344183704,0.6655587868727841,24722.381999969482
historical7d,500ms,0,SNAPBACK,BUY,1,46043,46125,1789595645.9859998,1789595686.971,40.985000133514404,emergency_stop,4268.79,0.039184093139022026,-18.000000000000682,1.6300000000001091,-4.800000000000182,False,500.0,1.3402249923988716,0.5393258426959403,1.1104477611940298,0.04047490555857141,0.021778584391995648,0.27725856697800866,-0.5004703668860102,-0.7906085289888801,-9.343283582086892,-0.04047490555857141,0.06593406593406594,0.02389705882352941,1.0678670959668888,8.842813215200882,4.955340155583885,0.7345735027222952,0.9062049062049016,1.4882498423056125,0.5988931745757904,25066.881999731064
historical7d,500ms,0,SNAPBACK,SELL,-1,46540,46618,1789595894.483,1789595933.414,38.930999994277954,emergency_stop,4266.65,0.039184093139022026,-16.91250000000082,0.6899999999995998,-4.510000000000218,False,500.0,1.1703826039086298,0.5869565217400331,0.9022988505747126,0.03971405877681012,0.02539981185328634,0.39943342776213014,-1.0421052631579955,-0.7383479464697714,2.516967509024916,-0.03971405877681012,0.08280254777070063,0.026919242273180457,1.1377813742319016,-3.559072772182912,-1.210645698975505,0.9012229539040291,0.4897750511247534,1.0560348782393958,0.5296101949033631,25315.3789999485
historical7d,500ms,0,SNAPBACK,BUY,1,49956,50025,1789597602.448,1789597636.982,34.53400015830994,emergency_stop,4245.27,0.039184093139022026,-16.725000000000136,0.4899999999997817,-4.460000000000036,False,500.0,0.825540148339241,0.5376344086019823,1.0424242424242425,0.05032899342011838,0.03906250000000222,0.4229508196723922,0.41290322580673283,-0.8694074969769168,-0.9378531073444569,-0.05032899342011838,0.023529411764705882,-0.11815561959654179,1.292358316649309,1.3507563331511898,1.3215573249002492,0.6898437499998914,0.8644125683059658,0.8605630637233301,0.560443141088127,27023.34399986267
historical7d,500ms,0,SNAPBACK,SELL,-1,50279,50354,1789597763.9550002,1789597801.496,37.54099988937378,emergency_stop,4250.34,0.039184093139022026,-18.112499999999727,1.4200000000000728,-4.829999999999927,False,500.0,1.1172506738545,0.6304347826085667,0.8963414634146342,0.030800821355254863,0.03498190591073159,0.18803418803386912,-2.6735266604303445,-0.4712892741063879,0.096852300242033,-0.030800821355254863,0.22448979591836735,-0.014460511679644048,0.659323462140257,-2.7703789606723777,-1.0555277492660604,0.9034981905911609,0.5951853901494849,1.0014381040037288,0.5650848356308494,27184.851000070572
historical7d,500ms,0,SNAPBACK,SELL,-1,50486,50606,1789597867.403,1789597927.463,60.05999994277954,stagnation,4257.15,0.039184093139022026,-10.425000000002456,0.0,-3.8900000000003274,False,500.0,0.680935133355358,0.4680851063837198,0.9325153374233128,0.04182967198316045,0.042553191489410364,0.23304347826089486,0.5425023877746558,-0.5984930032294221,-2.101694915254098,-0.04182967198316045,0.32413793103448274,0.1226215644820296,0.831536481490317,2.6441973030287538,1.7378668922595355,0.6905222437136671,0.9163617354939739,0.6349824556442603,0.43649654092224177,27288.299000024796
historical7d,500ms,0,SNAPBACK,SELL,-1,67656,67891,1789618079.8430002,1789618199.994,120.1509997844696,max_hold,4308.32,0.039184093139022026,17.8125,4.75,-2.1400000000003274,False,500.0,1.7748633879772844,0.5411764705896955,1.3076923076923077,0.07166230366481582,0.056650246305542315,3.3333333333400703,-2.3932203389816715,-1.6192236598881695,-9.451505016719688,-0.07166230366481582,0.4823529411764706,0.13320079522862824,4.95255699322824,7.058284677738016,6.005420835483128,0.6071428571427452,0.9095292115711716,2.3209751996626027,0.7076923076942172,1800.230000257492
historical7d,500ms,0,SNAPBACK,SELL,-1,193854,194088,1789704084.983,1789704205.452,120.4689998626709,max_hold,4361.42,0.039184093139022026,-2.8500000000008185,1.3800000000001091,-2.0599999999994907,False,500.0,3.786802030457668,0.5476190476185062,3.903225806451613,0.053228285933864694,0.04110813226087406,8.113207547172337,-4.173410404621616,-4.103703703704662,-6.126168224295797,-0.053228285933864694,0.2066115702479339,-0.05401844532279315,12.216911250876999,1.952757819674181,7.08483453527559,0.5612153708668071,0.739798622151557,14.780743409205737,2.1374807987690083,694.978000164032
historical7d,500ms,3,SNAPBACK,BUY,1,391961,392082,1790008406.8569999,1790008467.4620001,60.605000257492065,stagnation,4355.19,0.039184093139022026,-9.82499999999959,0.06000000000040018,-2.6599999999998545,False,500.0,1.7379310344828047,0.9508196721315386,2.027027027027027,0.05070943861853381,0.07671957671959072,3.6178343949053144,-1.3564668769721264,-2.0862944162446437,-4.224277456647678,-0.05070943861853381,0.13513513513513514,0.00936768149882904,5.704128811149959,2.8678105796755515,4.285969695412755,0.5899470899471562,0.8672945205480005,3.5228331780056856,1.9273371732396054,6929.976999759674
historical7d,500ms,3,SNAPBACK,SELL,-1,396079,396198,1790010495.716,1790010555.887,60.1710000038147,stagnation,4331.32,0.039184093139022026,-12.525000000000544,0.2999999999992724,-3.7100000000000364,False,500.0,2.2311827956994477,0.8253968253973754,1.0566037735849056,0.038966725044093556,0.04176706827312499,1.0788381742748299,0.0616966580981071,-1.0394160583945087,2.1387283236999326,-0.038966725044093556,0.1926605504587156,0.0326975476839237,2.1182542326693383,-2.0770316656018255,0.020611283533756408,0.6160642570280823,0.6251783166904461,2.357476161493756,0.8721174004198683,9018.835999965668
historical7d,500ms,4,SNAPBACK,SELL,-1,496929,497170,1790081619.9550002,1790081740.3609998,120.40599966049194,max_hold,4330.79,0.039184093139022026,15.7124999999985,4.1899999999996,-3.180000000000291,False,500.0,2.7578215527230707,1.041666666667614,2.5873015873015874,0.06664274822887939,0.04201680672268394,0.6875000000019895,-6.1074380165343545,-4.904290429042036,-3.2645161290323186,-0.06664274822887939,0.12658227848101267,0.0660377358490566,5.591790429044026,-2.842921887502036,1.374434270770995,0.8184873949578647,0.9075342465752732,7.135316080854929,2.6951058201082714,415.25300002098083
historical7d,1s,0,SNAPBACK,SELL,-1,21883,21906,1789592901.981,1789592924.999,23.01800012588501,trail,4341.12,0.039184093139022026,14.024999999999181,5.75,0.0,False,500.0,5.239595050620284,0.9000000000022738,2.772727272727273,0.022344013490720953,0.023185916702484023,5.614583333334409,-4.154285714282765,-1.8637362637372108,-1.9130434782607901,-0.022344013490720953,0.12222222222222222,-0.017964071856287425,7.47831959707162,-2.241242236021975,2.6185386805248223,0.6024044654358149,0.7966176147594973,14.527968094901698,2.4954545454608503,22322.87699985504
historical7d,1s,0,SNAPBACK,BUY,1,21990,22000,1789593008.819,1789593018.977,10.157999992370605,emergency_stop,4333.74,0.039184093139022026,-15.787500000000136,0.5,-4.210000000000036,False,500.0,2.713195201745051,0.9666666666659592,2.3496503496503496,0.046498111014248354,0.04662379421221771,4.398058252423258,0.37179487179441334,-1.9364599092292445,4.046822742474725,-0.046498111014248354,0.15853658536585366,0.02045209903121636,6.334518161652502,-3.6750278706803114,1.3297451454860956,0.5329581993570511,0.6058664037466582,6.37506005444991,2.271328671327009,22429.71499991417
