window,interval,block_id,trades,wins,win_rate,pnl_inr
historical7d,1s,124277,6,1,0.16666666666666666,-57.48749999999973
historical7d,1s,124311,1,1,1.0,12.712499999997815
historical7d,500ms,124277,12,1,0.08333333333333333,-161.36250000000587
historical7d,500ms,124279,1,1,1.0,17.8125
historical7d,500ms,124285,1,0,0.0,-2.8500000000008185
historical7d,500ms,124306,2,0,0.0,-22.350000000000136
historical7d,500ms,124311,1,1,1.0,15.7124999999985
