label,interval,episodes,onset_entry_pnl_inr,episode_policy_pnl_inr,delta_policy_vs_onset_inr,taken_episodes,episode_retention,onset_win_rate,policy_taken_win_rate,median_wait_sec_taken
historical_walkforward,1s,662,-75.79687499994589,-657.1031249999879,-581.3062500000422,214,0.32326283987915405,0.3338368580060423,0.29906542056074764,0.0
historical_walkforward,500ms,1129,274.293750000071,-1101.8624999999827,-1376.1562500000537,346,0.30646589902568644,0.3356953055801594,0.3063583815028902,0.0
recent_after_first80,1s,381,-1928.4750000000452,-1400.9625000000278,527.5125000000173,163,0.42782152230971127,0.30971128608923887,0.17177914110429449,0.0
recent_after_first80,500ms,715,-4188.374999999985,-2802.3749999999495,1386.0000000000355,312,0.43636363636363634,0.2853146853146853,0.1794871794871795,0.0
