window,interval,segment_id,engine_id,engine,side,side_sign,episode_id,episode_start_ts,episode_age_sec,episode_checkpoint_index,simultaneous_engine_count,same_side_engine_count,entry_index,entry_ts,segment_end_index,counterfactual_pnl_inr,counterfactual_hold_sec,counterfactual_mfe_usd,counterfactual_mae_usd,counterfactual_exit_reason,censored,range60_rel,spread_rel,activity_rel,er60,spread_to_range,dir_m10_rel,dir_m30_rel,dir_m60_rel,dir_m300_rel,dir_eff60,flow_align10,flow_align60,accel_10_60,accel_30_300,short_long_balance,pullback60,pullback300,market_heat,execution_heat,session_age_sec,raw_count2,raw_count10,event_rate_accel_2_10,median_iat2_ms,median_iat10_ms,iat_ratio_2_10,mid_move2,mid_move10,dir_mid_move2,dir_mid_move10,event_eff2,event_eff10,event_imb2,event_imb10,dir_event_imb2,dir_event_imb10,dir_imbalance_delta_2_10,quote_sidedness2,two_sided_update_frac2,spread_rel10,spread_change_rel2,spread_compression10,dir_range_position10
historical7d,500ms,0,4,BURST,BUY,1,historical7d|500ms|0|4|1,1789573152.468,0.0,0,1,1,4530,1789573152.468,251402,3.000000000000682,42.84700012207031,1.4400000000005093,-0.3000000000001819,momentum_zero_cross,False,2.3526011560685527,0.875,1.4634146341463414,0.11926075656954953,0.06879606879601115,3.100775193800723,5.287553648072838,2.5415384615405108,nan,0.11926075656954953,0.28888888888888886,0.05668934240362812,0.5592367322602123,nan,nan,0.034398034397893844,0.13721185510427225,3.442830960100321,1.2804878048780488,2573.3639998435974,15.0,90.0,0.8333333333333334,50.50003528594971,52.00004577636719,0.9711536698088985,-0.11499999999978172,0.9500000000007276,-0.11499999999978172,0.9500000000007276,0.2839506172855032,0.2802359882014542,0.14285714285714285,0.2808988764044944,0.14285714285714285,0.2808988764044944,-0.13804173354735155,-0.42857142857142855,0.42857142857142855,0.9999999999967518,0.17857142857166058,0.3214285714315876,0.7488789237678111
historical7d,500ms,0,1,PRIMARY,BUY,1,historical7d|500ms|0|1|2,1789573826.844,0.0,0,1,1,5718,1789573826.844,251402,-15.412499999998772,139.1159999370575,0.0,-4.109999999999673,emergency_stop,False,1.187861271676144,0.9666666666674246,0.49586776859504134,0.13560016386721335,0.14111922141115452,1.4285714285677162,2.4796380090489096,2.0623052959504347,2.2485029940113987,0.13560016386721335,0.26666666666666666,0.09836065573770492,-0.6337338673827184,0.23113501503751088,-0.20129942617260377,0.0,0.0,0.5890221181865177,0.4793388429755825,3247.7400000095367,8.0,30.0,1.3333333333333333,98.00028800964355,100.00038146972656,0.9799991416963894,0.2999999999992724,0.42999999999938154,0.2999999999992724,0.42999999999938154,1.0,0.37391304347754567,1.0,0.2413793103448276,1.0,0.2413793103448276,0.7586206896551724,-0.14285714285714285,0.5714285714285714,1.0,0.0,0.31034482758674764,1.0
historical7d,500ms,0,1,PRIMARY,BUY,1,historical7d|500ms|0|1|3,1789573827.748,0.0,0,1,1,5720,1789573827.748,251402,-15.112499999999045,140.21399998664856,0.02999999999974534,-4.029999999999745,emergency_stop,False,1.187861271676144,0.9333333333333333,0.5619834710743802,0.11980830670931322,0.1362530413623872,1.0952380952358267,2.407239819005344,1.8691588785062405,2.2994011976047775,0.11980830670931322,0.35294117647058826,0.10326086956521739,-0.7739207832704138,0.10783862140056666,-0.3330410809349237,0.06082725060826389,0.02515090543259889,0.6675584006113868,0.5245179063360882,3248.643999814987,13.0,34.0,1.911764705882353,50.50003528594971,99.00021553039551,0.5101002559983816,0.08999999999923602,0.30499999999938154,0.08999999999923602,0.30499999999938154,0.14516129032179986,0.20677966101660636,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,-0.08333333333333333,0.5833333333333334,0.9655172413785533,0.06896551723975715,0.34482758620819426,0.41860465116195456
historical7d,500ms,0,1,PRIMARY,BUY,1,historical7d|500ms|0|1|4,1789573829.994,0.0,0,1,1,5724,1789573829.994,251402,-15.037500000000819,138.41499996185303,0.06999999999970896,-4.010000000000218,emergency_stop,False,1.187861271676144,0.9666666666674246,0.7933884297520661,0.09666937449230419,0.14111922141115452,0.8253968253944881,2.180995475113852,1.482866043614452,2.317365269460367,0.09666937449230419,0.25,0.0948509485094851,-0.657469218219964,-0.13636979434651497,-0.3969195062832396,0.0827250608272743,0.034205231388349126,0.9424353890984284,0.7669421487609319,3250.8899998664856,15.0,48.0,1.5625,51.50008201599121,52.99997329711914,0.9717001502487652,-0.015000000000327418,0.11499999999978172,-0.015000000000327418,0.11499999999978172,0.049180327870025686,0.06906906906897721,0.14285714285714285,0.23404255319148937,0.14285714285714285,0.23404255319148937,-0.09118541033434652,-0.35714285714285715,0.35714285714285715,1.0,0.10344827586120381,0.31034482758674764,0.08108108107815792
historical7d,500ms,0,1,PRIMARY,BUY,1,historical7d|500ms|0|1|5,1789573830.947,0.0,0,1,1,5726,1789573830.947,251402,-15.299999999999727,140.51500010490417,0.22999999999956344,-4.079999999999927,emergency_stop,False,1.187861271676144,0.8333333333340912,0.859504132231405,0.08387622149848231,0.12165450121652778,0.16393442622696622,1.9819004524899317,1.2834890965751011,2.176646706586862,0.08387622149848231,0.15384615384615385,0.08648648648648649,-1.119554670348135,-0.19474625409693047,-0.6571504622225326,0.1508515815082466,0.06237424547274276,1.0209716715232975,0.7162534435268222,3251.84299993515,18.0,52.0,1.7307692307692306,50.99987983703613,52.99997329711914,0.9622623685323305,-0.08500000000003638,0.04500000000007276,-0.08500000000003638,0.04500000000007276,0.22666666666951238,0.025641025641105368,-0.058823529411764705,0.13725490196078433,-0.058823529411764705,0.13725490196078433,-0.19607843137254904,-0.058823529411764705,0.47058823529411764,0.8620689655173496,-0.10344827586434,0.44827586206939807,-0.6756756756775358
historical7d,500ms,0,1,PRIMARY,BUY,1,historical7d|500ms|0|1|6,1789574390.441,0.0,0,1,1,6718,1789574390.441,251402,-4.7250000000008185,78.54299998283386,1.449999999999818,-2.119999999999891,momentum_zero_cross,False,2.1178203240052014,0.9666666666659592,2.033333333333333,0.11054342777533474,0.08066759388037359,6.631578947372956,5.291139240508972,2.8936170212754666,1.6727748691100006,0.11054342777533474,0.04201680672268908,-0.034990791896869246,3.7379619260974897,3.6183643713989717,3.678163148748231,0.09179415855351986,0.07656612528999922,4.306234658810576,1.965555555554117,3811.3369998931885,36.0,122.0,1.4754098360655739,50.00019073486328,52.00004577636719,0.9615412830576239,0.21000000000094587,1.8800000000010186,0.21000000000094587,1.8800000000010186,0.08433734939785441,0.2740524781343814,-0.29411764705882354,0.03389830508474576,-0.29411764705882354,0.03389830508474576,-0.3280159521435693,0.0,0.8285714285714286,0.8787878787879623,-0.1212121212120377,0.6363636363638869,0.701357466063542
historical7d,500ms,0,1,PRIMARY,BUY,1,historical7d|500ms|0|1|7,1789574392.4889998,0.0,0,1,1,6722,1789574392.4889998,251402,-6.262500000000272,76.49500012397766,1.0399999999999636,-2.5299999999997453,momentum_zero_cross,False,2.176730486007802,0.8666666666668688,2.35,0.12474530224140666,0.07036535859275744,8.017543859652706,5.400843881858554,3.34954407294572,1.8560209424081147,0.12474530224140666,0.050359712230215826,-0.024734982332155476,4.667999786706986,3.5448229394504396,4.1064113630787125,0.0013531799729660442,0.001133786848097348,5.115316642118335,2.036666666667142,3813.3849997520447,30.0,141.0,1.0638297872340425,50.99987983703613,52.00004577636719,0.9807660565601731,0.4650000000001455,2.2600000000002183,0.4650000000001455,2.2600000000002183,0.5636363636348002,0.3005319148935559,0.1724137931034483,0.043478260869565216,0.1724137931034483,0.043478260869565216,0.12893553223388307,0.27586206896551724,0.5862068965517241,0.7878787878796231,-0.2727272727277738,0.7272727272722261,0.9955849889623767
historical7d,500ms,0,1,PRIMARY,BUY,1,historical7d|500ms|0|1|8,1789574393.487,0.0,0,1,1,6724,1789574393.487,251402,-6.712499999999864,75.49699997901917,0.9200000000000728,-2.649999999999636,momentum_zero_cross,False,2.2916053019138647,0.8333333333328281,2.433333333333333,0.1229471815358055,0.06426735218508456,7.64912280702247,5.637130801690432,3.3677811550129726,1.9057591623035277,0.1229471815358055,0.08333333333333333,-0.012131715771230503,4.281341652009498,3.7313716393869045,4.006356645698201,0.019280205655712413,0.016286644951296395,5.576239567990403,2.0277777777765484,3814.382999897003,34.0,146.0,1.1643835616438356,50.00019073486328,51.000118255615234,0.980393623486513,0.2250000000003638,2.1899999999996,0.2250000000003638,2.1899999999996,0.24861878453060884,0.28185328185311553,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.1818181818181818,0.3333333333333333,0.6060606060606061,0.7575757575759247,-0.39393939393981153,0.7575757575759247,0.9349240780904833
historical7d,500ms,0,1,PRIMARY,BUY,1,historical7d|500ms|0|1|9,1789574397.445,0.0,0,1,1,6732,1789574397.445,251402,-4.087500000000546,71.53900003433228,1.6199999999998909,-1.949999999999818,momentum_zero_cross,False,2.2916053019138647,0.8333333333328281,2.6166666666666667,0.09448319594167762,0.06426735218508456,2.263157894739529,4.405063291140581,2.717325227960904,1.5759162303663512,0.09448319594167762,-0.038461538461538464,-0.016339869281045753,-0.4541673332213749,2.82914706077423,1.1874898637764275,0.19922879177390243,0.1682953311618819,5.996367206674613,2.1805555555542337,3818.34099984169,33.0,157.0,1.0509554140127388,50.00007152557373,51.000118255615234,0.9803912860548829,-0.06499999999959982,0.5749999999998181,-0.06499999999959982,0.5749999999998181,0.08496732026087843,0.07283090563642655,-0.0625,-0.04516129032258064,-0.0625,-0.04516129032258064,-0.017338709677419357,0.40625,0.40625,0.8064516129021848,-0.41935483870948814,0.8064516129021848,-0.14814814814864719
historical7d,500ms,0,1,PRIMARY,BUY,1,historical7d|500ms|0|1|10,1789574419.963,0.0,0,1,1,6777,1789574419.963,251402,-2.2500000000013642,49.020999908447266,2.1099999999996726,-0.6000000000003638,momentum_zero_cross,False,2.2916053019138647,0.9666666666659592,2.540983606557377,0.06066945606696357,0.07455012853468874,2.161290322584194,-0.691983122362921,2.8206686930075624,1.883233532934311,0.06066945606696357,-0.02631578947368421,-0.033288948069241014,-0.6593783704233682,-2.575216655297232,-1.6172975128603002,0.33033419023129723,0.27904451682947284,5.8229315048630985,2.4562841530036668,3840.858999967575,28.0,155.0,0.9032258064516129,52.00004577636719,51.000118255615234,1.019606376513487,0.4900000000006912,0.7400000000006912,0.4900000000006912,0.7400000000006912,0.41176470588244285,0.1012311901506182,0.037037037037037035,-0.019867549668874173,0.037037037037037035,-0.019867549668874173,0.05690458670591121,0.1111111111111111,0.5185185185185185,1.0357142857150978,0.14285714285714285,0.8214285714277594,0.9196787148605996
