policy,label,interval,trades,legacy_pnl_inr,policy_pnl_inr,delta_inr,policy_exits,policy_exit_fraction,improved_trades,harmed_trades,avoided_loss_or_giveback_inr,false_early_exit_cost_inr,legacy_win_rate,policy_win_rate
confirmed_30s_model,historical_walkforward,1s,89,170.06250000002865,-61.837499999961665,-231.8999999999903,88,0.9887640449438202,48,40,431.88749999999345,663.7874999999838,0.449438202247191,0.4044943820224719
confirmed_30s_model,historical_walkforward,500ms,85,270.57187500000225,-61.31249999999454,-331.8843749999968,84,0.9882352941176471,43,41,329.5875000000012,661.471874999998,0.49411764705882355,0.4117647058823529
confirmed_30s_model,recent_after_first80,1s,44,-191.70000000002346,-74.77500000001555,116.92500000000791,43,0.9772727272727273,32,11,287.1000000000049,170.174999999997,0.25,0.25
confirmed_30s_model,recent_after_first80,500ms,46,-352.50000000001705,-85.98749999999086,266.5125000000262,45,0.9782608695652174,36,9,365.62500000002046,99.11249999999427,0.13043478260869565,0.30434782608695654
