context,variant,entry_ts,exit_ts,side,held_sec,mfe_usd,exit_move_usd,giveback_usd,retained_fraction,micro_dir_mid_move2,micro_dir_event_imb2,phase,dir_mid_move2,dir_mid_move10,aligned_mag2,adverse_mag2,aligned_mag10,adverse_mag10,aligned_count2,adverse_count2,aligned_count10,adverse_count10,path_efficiency2,path_efficiency10,adverse_tail_run2,last_nonzero_sign2,seconds_since_aligned2,seconds_since_adverse2,bid_update_frac2,ask_update_frac2,both_update_frac2,bid_ask_update_imb2,bid_update_frac10,ask_update_frac10,both_update_frac10,bid_ask_update_imb10,spread_change2,spread_change10
historical7d:500ms:segment0,Quote-exit,1789575064.3500001,1789575449.467,BUY,385.11699986457825,9.399999999999636,4.819999999999709,4.579999999999927,0.5127659574467974,-0.4750000000003638,-0.30434782608695654,REVERSAL,-0.4750000000003638,-0.5399999999999636,0.2999999999992724,0.7749999999996362,2.224999999998545,2.7649999999985084,8,15,51,58,0.44186046511706606,0.10821643286578808,3,-1,0.2519998550415039,0.0,0.875,0.8333333333333334,0.7083333333333334,0.024390243902439025,0.8392857142857143,0.8392857142857143,0.6785714285714286,0.0,0.010000000001127773,0.0
historical7d:500ms:segment0,Quote-exit,1789577693.868,1789578568.9190001,SELL,875.0510001182556,13.800000000000182,8.300000000000182,5.5,0.6014492753623241,-0.31999999999970896,-0.15384615384615385,REVERSAL,-0.31999999999970896,-0.1750000000010914,0.3150000000005093,0.6349999999993088,2.1100000000051296,2.2850000000053114,11,14,62,65,0.33684210526259356,0.039817974971704084,0,1,0.0,0.10300016403198242,0.6296296296296297,0.8888888888888888,0.5185185185185185,-0.17073170731707318,0.6106870229007634,0.9083969465648855,0.5190839694656488,-0.19597989949748743,-0.020000000000436557,0.010000000000218279
historical7d:500ms:segment0,Quote-exit,1789593033.9889998,1789593249.4550002,SELL,215.46600031852722,19.139999999999418,14.3799999999992,4.760000000000218,0.7513061650992496,-0.3000000000010914,-0.13333333333333333,REVERSAL,-0.3000000000010914,-2.280000000000655,1.1249999999990905,1.425000000000182,6.034999999998945,8.3149999999996,13,17,65,93,0.11764705882399097,0.15888501742166453,0,1,0.0,0.14499998092651367,0.967741935483871,0.9032258064516129,0.8709677419354839,0.034482758620689655,0.9503105590062112,0.9130434782608695,0.8633540372670807,0.02,-0.07999999999992724,0.03999999999996362
historical7d:500ms:segment0,Quote-exit,1789596332.446,1789596467.447,SELL,135.00099992752075,16.159999999999854,6.75,9.409999999999854,0.41769801980198396,-1.0400000000008731,-0.2413793103448276,REVERSAL,-1.0400000000008731,-2.730000000000473,0.5249999999996362,1.5650000000005093,8.780000000002474,11.510000000002947,11,18,77,96,0.49760765550277547,0.13454903893542353,2,-1,0.20099997520446777,0.0,0.8,0.7666666666666667,0.5666666666666667,0.02127659574468085,0.76,0.88,0.64,-0.07317073170731707,-0.3600000000005821,-0.32000000000061846
historical7d:500ms:segment0,Quote-exit,1789598469.9750001,1789598705.334,BUY,235.35899996757507,4.5900000000001455,-1.199999999999818,5.789999999999964,-0.26143790849668413,-0.3600000000005821,-0.4666666666666667,REVERSAL,-0.3600000000005821,-1.1650000000008731,0.08499999999912689,0.44499999999970896,4.754999999996471,5.919999999997344,4,11,60,70,0.6792452830214581,0.10913348946150334,6,-1,0.7480001449584961,0.0,0.9375,0.8125,0.75,0.07142857142857142,0.732824427480916,0.8931297709923665,0.6259541984732825,-0.09859154929577464,0.0,0.17000000000007276
historical7d:500ms:segment0,Quote-exit,1789623087.402,1789623737.9859998,SELL,650.5839998722076,6.089999999999236,1.1499999999996362,4.9399999999996,0.1888341543513597,-0.569999999999709,-0.2727272727272727,REVERSAL,-0.569999999999709,-0.9099999999998545,0.11500000000069122,0.6850000000004002,1.0799999999990177,1.9899999999988722,4,7,19,29,0.7124999999986642,0.2964169381109055,2,-1,0.14899992942810059,0.0,0.6666666666666666,0.9166666666666666,0.5833333333333334,-0.15789473684210525,0.7551020408163265,0.673469387755102,0.42857142857142855,0.05714285714285714,-0.16000000000076398,-0.1000000000003638
historical7d:500ms:segment0,Quote-exit,1789639759.456,1789640389.978,BUY,630.521999835968,13.69000000000051,8.650000000000546,5.039999999999964,0.6318480642805131,-0.5500000000001819,-0.6,REVERSAL,-0.5500000000001819,-0.9349999999994907,0.1000000000003638,0.6500000000005457,0.7199999999984357,1.6549999999979264,3,12,23,35,0.7333333333326866,0.3936842105267044,2,-1,0.3529999256134033,0.0,0.875,0.9375,0.8125,-0.034482758620689655,0.9166666666666666,0.8,0.7166666666666667,0.06796116504854369,-0.06000000000040018,-0.010000000000218279
historical7d:500ms:segment0,Quote-exit,1789640864.822,1789641340.964,BUY,476.1419999599457,7.050000000000182,2.850000000000364,4.199999999999818,0.40425531914897733,-0.06999999999970896,-0.6,REVERSAL,-0.06999999999970896,-0.375,0.024999999999636202,0.09499999999934516,0.9849999999987631,1.359999999998763,1,4,22,32,0.5833333333358597,0.15991471215368683,0,1,0.0,0.4509999752044678,0.5,1.0,0.5,-0.3333333333333333,0.8214285714285714,0.8571428571428571,0.6785714285714286,-0.02127659574468085,-0.07999999999992724,-0.02999999999974534
historical7d:500ms:segment0,Quote-exit,1789656821.38,1789657166.99,BUY,345.6099998950958,13.36999999999989,7.430000000000291,5.9399999999996,0.5557217651458752,-0.8700000000008004,-0.42857142857142855,REVERSAL,-0.8700000000008004,-1.3950000000004366,0.18500000000221917,1.0550000000030195,2.1000000000012733,3.49500000000171,4,10,31,43,0.7016129032234878,0.24932975871308183,0,1,0.0,0.15199995040893555,0.8666666666666667,0.8666666666666667,0.7333333333333333,0.0,0.8,0.84,0.64,-0.024390243902439025,0.0,0.049999999999272404
historical7d:500ms:segment0,Quote-exit,1789658224.968,1789658685.481,BUY,460.5130000114441,14.779999999999745,9.960000000000036,4.819999999999709,0.6738836265223416,-0.5249999999996362,-0.4117647058823529,REVERSAL,-0.5249999999996362,-1.4699999999993452,0.24499999999807187,0.7699999999977081,2.709999999999127,4.179999999998472,5,12,42,62,0.517241379312137,0.21335268505077756,2,-1,0.24699997901916504,0.0,0.4444444444444444,0.9444444444444444,0.3888888888888889,-0.36,0.638095238095238,0.8380952380952381,0.47619047619047616,-0.13548387096774195,-0.049999999999272404,-0.1000000000003638
